contrast,metric,effect,n,mean,median,ci_low,ci_high,win_fraction,tie_fraction,log_count,log_ci_low,log_ci_high
grpo_9041__apr_9145,DAC,total_gain,1000,-0.00128125,0.0,-0.003500390625,0.0001875,0.001,0.995,512,-0.0035455767137913,0.0
grpo_9041__apr_9145,DAC,center_contribution,1000,-0.001359375,0.0,-0.0036328125,7.8125e-05,0.001,0.995,512,-0.003865328267976,-3.79533845433301e-05
grpo_9041__apr_9145,DAC,residual_shape_contribution,1000,7.8125e-05,0.0,-3.90625e-05,0.0002578125,0.002,0.995,512,-4.448086801270096e-05,0.000306080438624
grpo_9041__apr_9145,DDC,total_gain,1000,0.0078984375,0.0,0.00276484375,0.0135158203125,0.021,0.975,512,0.0027993818013465,0.0135057478564042
grpo_9041__apr_9145,DDC,center_contribution,1000,0.007875,0.0,0.00275751953125,0.01345029296875,0.022,0.974,512,0.0028807246266557,0.0135575560452611
grpo_9041__apr_9145,DDC,residual_shape_contribution,1000,2.34375e-05,0.0,-0.00016796875,0.00023046875,0.01,0.978,512,-0.0001502658367618,0.0002086542230459
grpo_9041__apr_9145,EP,total_gain,1000,0.0062260105842576,0.0,0.0022404408804453,0.0103203335440102,0.393,0.383,512,0.00242286063233,0.0105782421593323
grpo_9041__apr_9145,EP,center_contribution,1000,0.00606571294337,0.0,0.0022610627193138,0.0101391881422834,0.396,0.374,512,0.0020076514794936,0.010285769389703
grpo_9041__apr_9145,EP,residual_shape_contribution,1000,0.0001602976408876,0.0,-8.607796558579533e-05,0.0004549625191559,0.378,0.374,512,-0.0001109129393669,0.0004786941735898
grpo_9041__apr_9145,HQ_mass,total_gain,1000,0.0380625,0.0,0.020934375,0.0551421875,0.172,0.722,512,0.0194733508201142,0.055933549529018
grpo_9041__apr_9145,HQ_mass,center_contribution,1000,0.03990625,0.0,0.0241083984374999,0.056992578125,0.2,0.694,512,0.0212103978417337,0.0578356042470219
grpo_9041__apr_9145,HQ_mass,residual_shape_contribution,1000,-0.00184375,0.0,-0.0033126953125,-0.0003904296874999,0.118,0.715,512,-0.0033570110782514,-0.0003690068767472
grpo_9041__apr_9145,Hit8,total_gain,1000,0.015875,0.0,-0.0020031249999999,0.034625,0.084,0.856,512,-0.0030846183782203,0.0353541890801506
grpo_9041__apr_9145,Hit8,center_contribution,1000,0.011875,0.0,-0.0056875,0.0290015625,0.082,0.852,512,-0.0070165022917999,0.0307000194818221
grpo_9041__apr_9145,Hit8,residual_shape_contribution,1000,0.004,0.0,0.0008125,0.00725,0.06,0.906,512,0.0010070139047388,0.0070002614068441
grpo_9041__apr_9145,NC,total_gain,1000,0.0019375,0.0,-0.0004535156249999,0.005234375,0.005,0.993,512,-0.0004056109305643,0.0053380605058819
grpo_9041__apr_9145,NC,center_contribution,1000,0.0018515625,0.0,-0.0005158203125,0.005219140625,0.004,0.991,512,-0.0004705180583612,0.0051730359164962
grpo_9041__apr_9145,NC,residual_shape_contribution,1000,8.59375e-05,0.0,-0.000140625,0.0003515625,0.005,0.992,512,-0.0001531975714327,0.0003506111484164
grpo_9041__apr_9145,PDMS,total_gain,1000,0.2971775243440707,0.0,-0.0382881972862944,0.6268334684107386,0.392,0.379,512,-0.0461186846915601,0.6320000104534937
grpo_9041__apr_9145,PDMS,center_contribution,1000,0.2961625184737533,0.0,-0.0316036770473688,0.6097190296537955,0.397,0.37,512,-0.0496471284610683,0.6153717565385074
grpo_9041__apr_9145,PDMS,residual_shape_contribution,1000,0.0010150058703172,0.0,-0.023138619919309,0.0270979321765017,0.38,0.37,512,-0.0240106627801961,0.0296976235508096
grpo_9041__apr_9145,TTC,total_gain,1000,0.0019375,0.0,-0.00228125,0.0065625,0.012,0.98,512,-0.0024816245335546,0.0062530900094229
grpo_9041__apr_9145,TTC,center_contribution,1000,0.0022109375,0.0,-0.0019068359374999,0.006492578125,0.011,0.981,512,-0.0019332216923613,0.0065589162091661
grpo_9041__apr_9145,TTC,residual_shape_contribution,1000,-0.0002734375,0.0,-0.0006330078125,4.6875e-05,0.006,0.98,512,-0.0006274975113502,4.003656053966009e-05
grpo_9041__apr_9145,feasible,total_gain,1000,0.0104375,0.0,0.00245234375,0.018641015625,0.03,0.954,512,0.0024949643886162,0.0182296875
grpo_9041__apr_9145,feasible,center_contribution,1000,0.0106640625,0.0,0.0027728515625,0.018515625,0.031,0.953,512,0.002905037357038,0.0188588138441483
grpo_9041__apr_9145,feasible,residual_shape_contribution,1000,-0.0002265625,0.0,-0.00071875,0.0002421875,0.015,0.961,512,-0.000715950746365,0.0002718474310387
grpo_9041__apr_9145,hard_failure,total_gain,1000,-0.000625,0.0,-0.004203515625,0.00286015625,0.006,0.989,512,-0.0043181672473246,0.0027771083121064
grpo_9041__apr_9145,hard_failure,center_contribution,1000,-0.0004765625,0.0,-0.0039765625,0.0030626953125,0.009,0.987,512,-0.0042080263649176,0.0029077347415344
grpo_9041__apr_9145,hard_failure,residual_shape_contribution,1000,-0.0001484375,0.0,-0.00046875,0.0001173828125,0.006,0.988,512,-0.0005244980759443,0.0001411897590361
official_il__apr_9145,DAC,total_gain,1000,0.013375,0.0,0.00720234375,0.019875,0.038,0.959,512,0.007187847371681,0.020120903283534
official_il__apr_9145,DAC,center_contribution,1000,0.013046875,0.0,0.0067732421875,0.0201958984375,0.041,0.956,512,0.0070915876116071,0.0197070358530557
official_il__apr_9145,DAC,residual_shape_contribution,1000,0.000328125,0.0,-0.0002580078124999,0.0009298828125,0.022,0.96,512,-0.0002882339899178,0.0009736684318009
official_il__apr_9145,DDC,total_gain,1000,-0.0011484375,0.0,-0.0053832031249999,0.0028828125,0.007,0.984,512,-0.0053190676183833,0.0029011012446186
official_il__apr_9145,DDC,center_contribution,1000,-0.001015625,0.0,-0.0051484375,0.00284814453125,0.007,0.981,512,-0.0051273848624791,0.0027740252477676
official_il__apr_9145,DDC,residual_shape_contribution,1000,-0.0001328125,0.0,-0.00040234375,0.0001015625,0.009,0.984,512,-0.000392663697204,9.483983384038768e-05
official_il__apr_9145,EP,total_gain,1000,0.0515081672844539,0.0077734389059809,0.0419444270138559,0.0610809026586004,0.544,0.312,512,0.0418311737135395,0.0615461174898258
official_il__apr_9145,EP,center_contribution,1000,0.0509683358822068,0.0069092912249594,0.0419214133804894,0.0598788610179984,0.547,0.303,512,0.041084164536772,0.0604008918980698
official_il__apr_9145,EP,residual_shape_contribution,1000,0.0005398314022471,0.0,-6.455837348600165e-06,0.0011378522326655,0.424,0.305,512,-1.65115567509401e-05,0.0011255099066085
official_il__apr_9145,HQ_mass,total_gain,1000,0.362890625,0.0,0.334404296875,0.391626171875,0.491,0.407,512,0.3303428024794728,0.3949818401776628
official_il__apr_9145,HQ_mass,center_contribution,1000,0.3704296875,0.015625,0.3420076171875,0.3988986328125,0.505,0.397,512,0.3381250851034858,0.4046878536846076
official_il__apr_9145,HQ_mass,residual_shape_contribution,1000,-0.0075390625,0.0,-0.0099142578124999,-0.0052496093749999,0.211,0.493,512,-0.0099886612213011,-0.0050452148318015
official_il__apr_9145,Hit8,total_gain,1000,0.257,0.0,0.225121875,0.288753125,0.418,0.485,512,0.220801567743685,0.2941775728035538
official_il__apr_9145,Hit8,center_contribution,1000,0.284,0.0,0.2545625,0.3120015625,0.459,0.447,512,0.2523595744349164,0.3170376531094209
official_il__apr_9145,Hit8,residual_shape_contribution,1000,-0.027,0.0,-0.0359375,-0.0183093749999999,0.165,0.612,512,-0.036795403865213,-0.0172142334720675
official_il__apr_9145,NC,total_gain,1000,0.00171875,0.0,-0.003375,0.00665703125,0.008,0.987,512,-0.0041178100043806,0.0070209570306051
official_il__apr_9145,NC,center_contribution,1000,0.00159375,0.0,-0.0031720703125,0.006563671875,0.007,0.987,512,-0.0039909286738602,0.006851558386257
official_il__apr_9145,NC,residual_shape_contribution,1000,0.000125,0.0,-0.000203125,0.000453125,0.006,0.99,512,-0.0001943916070371,0.0004561069130966
official_il__apr_9145,PDMS,total_gain,1000,3.200600720185583,0.5520261389887366,2.421997224602382,3.997743577661547,0.563,0.296,512,2.4271584032105307,3.970973876262816
official_il__apr_9145,PDMS,center_contribution,1000,3.147313474258619,0.5521467045498945,2.327125903442599,3.930761064332633,0.568,0.284,512,2.362618074551463,3.945587920829656
official_il__apr_9145,PDMS,residual_shape_contribution,1000,0.053287245926964,0.0,-0.0046741611893853,0.1150374992834805,0.434,0.285,512,-0.0065147119581461,0.1159693776540549
official_il__apr_9145,TTC,total_gain,1000,0.008078125,0.0,0.000562109375,0.015844140625,0.042,0.945,512,-0.0003449655219641,0.0161249299206618
official_il__apr_9145,TTC,center_contribution,1000,0.0079140625,0.0,0.000453125,0.015547265625,0.048,0.939,512,-0.0003792568222785,0.0163057633540177
official_il__apr_9145,TTC,residual_shape_contribution,1000,0.0001640625,0.0,-0.000515625,0.0007580078125,0.033,0.943,512,-0.0004674537441498,0.0007729652042437
official_il__apr_9145,feasible,total_gain,1000,0.0174375,0.0,0.007702734375,0.027767578125,0.077,0.902,512,0.0076227944617499,0.0278138219288543
official_il__apr_9145,feasible,center_contribution,1000,0.0170234375,0.0,0.0065384765625,0.02790078125,0.086,0.89,512,0.0060920201651218,0.0276256906761059
official_il__apr_9145,feasible,residual_shape_contribution,1000,0.0004140625,0.0,-0.0004689453124999,0.0013283203125,0.058,0.897,512,-0.0004611575241698,0.0012772423769049
official_il__apr_9145,hard_failure,total_gain,1000,-0.013734375,0.0,-0.021421875,-0.0059499999999999,0.008,0.949,512,-0.0215528747237993,-0.0052507086958973
official_il__apr_9145,hard_failure,center_contribution,1000,-0.0131953125,0.0,-0.02118984375,-0.0051320312499999,0.008,0.946,512,-0.0210259950367697,-0.0054156898617833
official_il__apr_9145,hard_failure,residual_shape_contribution,1000,-0.0005390625,0.0,-0.0012109375,0.000109375,0.02,0.953,512,-0.0012413985599396,0.000100020974516
official_il__grpo_9041,DAC,total_gain,1000,0.01465625,0.0,0.008875,0.02111015625,0.039,0.961,512,0.0089155162247388,0.0212960145290447
official_il__grpo_9041,DAC,center_contribution,1000,0.014328125,0.0,0.0084453125,0.0206650390625,0.043,0.955,512,0.0084806076729804,0.0204642019315707
official_il__grpo_9041,DAC,residual_shape_contribution,1000,0.000328125,0.0,-8.59375e-05,0.0007734375,0.022,0.961,512,-8.936510185026799e-05,0.0007921814978771
official_il__grpo_9041,DDC,total_gain,1000,-0.009046875,0.0,-0.0148203125,-0.0041951171875,0.003,0.976,512,-0.0156087973899857,-0.0036594516450354
official_il__grpo_9041,DDC,center_contribution,1000,-0.00909375,0.0,-0.0149259765625,-0.0039838867187499,0.003,0.971,512,-0.0154491869900891,-0.0037116312339646
official_il__grpo_9041,DDC,residual_shape_contribution,1000,4.6875e-05,0.0,-0.000234375,0.0003125,0.015,0.974,512,-0.0002072704081632,0.0002922073739473
official_il__grpo_9041,EP,total_gain,1000,0.0452821567001962,0.0082586602712193,0.0372627620757742,0.0537120037436414,0.56,0.316,512,0.0370391566278059,0.0539490376178079
official_il__grpo_9041,EP,center_contribution,1000,0.0447135500242448,0.007879819826874,0.0365762866507343,0.0528743717742602,0.562,0.313,512,0.0367297003161746,0.0524731699969687
official_il__grpo_9041,EP,residual_shape_contribution,1000,0.0005686066759514,0.0,0.0001923326677555,0.0009722451732319,0.381,0.318,512,0.0001638083652757,0.0009718470699653
official_il__grpo_9041,HQ_mass,total_gain,1000,0.324828125,0.0,0.298139453125,0.352439453125,0.492,0.426,512,0.293167116316847,0.3572613594337316
official_il__grpo_9041,HQ_mass,center_contribution,1000,0.329875,0.0078125,0.30356171875,0.3561494140625,0.505,0.417,512,0.2994792930451564,0.3617523710405002
official_il__grpo_9041,HQ_mass,residual_shape_contribution,1000,-0.005046875,0.0,-0.0069453125,-0.0031716796874999,0.169,0.554,512,-0.0070239555275332,-0.0031828570973496
official_il__grpo_9041,Hit8,total_gain,1000,0.241125,0.0,0.211496875,0.271,0.419,0.501,512,0.2080716798171697,0.2781261598290284
official_il__grpo_9041,Hit8,center_contribution,1000,0.2724375,0.0,0.2435625,0.300875,0.448,0.478,512,0.2388254194343742,0.3085632826145966
official_il__grpo_9041,Hit8,residual_shape_contribution,1000,-0.0313125,0.0,-0.0385,-0.0246859374999999,0.089,0.71,512,-0.0384481272814122,-0.0242277826398948
official_il__grpo_9041,NC,total_gain,1000,-0.00021875,0.0,-0.004671875,0.00415625,0.006,0.99,512,-0.006019694115464,0.0043416361304542
official_il__grpo_9041,NC,center_contribution,1000,-0.000390625,0.0,-0.0050390625,0.0037501953125,0.006,0.99,512,-0.0058344013634434,0.0041573766097343
official_il__grpo_9041,NC,residual_shape_contribution,1000,0.000171875,0.0,-1.5625e-05,0.0004296875,0.004,0.994,512,-1.5486398235148803e-05,0.0004135218189995
official_il__grpo_9041,PDMS,total_gain,1000,2.903423195841512,0.5347181637107639,2.192184717243605,3.62797561568977,0.581,0.298,512,2.2030281766195063,3.649463760736217
official_il__grpo_9041,PDMS,center_contribution,1000,2.849262501010201,0.523647128776723,2.1643186399075893,3.590097172759033,0.583,0.294,512,2.1799653786132294,3.5841608507539138
official_il__grpo_9041,PDMS,residual_shape_contribution,1000,0.0541606948313114,0.0,0.0113625482300197,0.1016487242084177,0.391,0.3,512,0.0112639354576916,0.0987953907449603
official_il__grpo_9041,TTC,total_gain,1000,0.006140625,0.0,-0.0008914062499999,0.01325,0.044,0.944,512,-0.0017544202740999,0.0136761648818458
official_il__grpo_9041,TTC,center_contribution,1000,0.0060078125,0.0,-0.0018048828125,0.01357890625,0.044,0.943,512,-0.0022212148416114,0.0139652376046077
official_il__grpo_9041,TTC,residual_shape_contribution,1000,0.0001328125,0.0,-0.0004220703124999,0.0006796875,0.028,0.952,512,-0.0003969938858695,0.0006814919100744
official_il__grpo_9041,feasible,total_gain,1000,0.007,0.0,-0.0043125,0.018001171875,0.078,0.895,512,-0.0051029104731871,0.0183254028331195
official_il__grpo_9041,feasible,center_contribution,1000,0.006484375,0.0,-0.0042353515625,0.01750078125,0.081,0.886,512,-0.0045485409610897,0.0183280766589126
official_il__grpo_9041,feasible,residual_shape_contribution,1000,0.000515625,0.0,-0.000234375,0.0012734375,0.056,0.902,512,-0.0002123030773561,0.0012078810316837
official_il__grpo_9041,hard_failure,total_gain,1000,-0.013109375,0.0,-0.020687890625,-0.0059058593749999,0.003,0.954,512,-0.0201433693338675,-0.0065166450896394
official_il__grpo_9041,hard_failure,center_contribution,1000,-0.01253125,0.0,-0.01986796875,-0.0055546875,0.005,0.948,512,-0.019558526238197,-0.0058958016039196
official_il__grpo_9041,hard_failure,residual_shape_contribution,1000,-0.000578125,0.0,-0.0010859375,-0.000140625,0.016,0.958,512,-0.0010768575974241,-0.0001282018442622
official_il__mts_8692,DAC,total_gain,1000,0.007375,0.0,-0.0011410156249999,0.01601640625,0.039,0.95,512,-0.0011505429964539,0.0159333429249511
official_il__mts_8692,DAC,center_contribution,1000,0.0069296875,0.0,-0.0013517578124999,0.015453515625,0.039,0.94,512,-0.0014241751715024,0.0154762729076455
official_il__mts_8692,DAC,residual_shape_contribution,1000,0.0004453125,0.0,-0.000578125,0.0014453125,0.037,0.944,512,-0.0006081714621585,0.0014190425675889
official_il__mts_8692,DDC,total_gain,1000,0.0033984375,0.0,0.0005546875,0.0069923828125,0.009,0.986,512,0.0006303891499732,0.00709335493814
official_il__mts_8692,DDC,center_contribution,1000,0.00355078125,0.0,0.00075390625,0.007101953125,0.009,0.986,512,0.0006243918375205,0.0070969774560691
official_il__mts_8692,DDC,residual_shape_contribution,1000,-0.00015234375,0.0,-0.000484375,0.000140625,0.006,0.988,512,-0.0004773635656222,0.0001189578157102
official_il__mts_8692,EP,total_gain,1000,0.0072523414094401,0.0,-0.0018556188165154,0.0157291983263684,0.299,0.301,512,-0.001774172840353,0.01640268611792
official_il__mts_8692,EP,center_contribution,1000,0.0066090558857721,0.0,-0.0021488352977027,0.0157993954573603,0.293,0.294,512,-0.0026840397025911,0.015920725278236
official_il__mts_8692,EP,residual_shape_contribution,1000,0.0006432855236679,3.5983478335888115e-08,-0.0002857626069547,0.0015813896521816,0.507,0.295,512,-0.000352108742932,0.0016369292612118
official_il__mts_8692,HQ_mass,total_gain,1000,0.10478125,0.0,0.08507265625,0.125913671875,0.22,0.602,512,0.0840827325390671,0.125032041697423
official_il__mts_8692,HQ_mass,center_contribution,1000,0.1200859375,0.0,0.0997263671875,0.1413607421875,0.268,0.578,512,0.0992882794235827,0.1418532376846595
official_il__mts_8692,HQ_mass,residual_shape_contribution,1000,-0.0153046875,0.0,-0.0186023437499999,-0.0118748046874999,0.109,0.592,512,-0.0188680003288185,-0.0115638261035216
official_il__mts_8692,Hit8,total_gain,1000,-0.0095,0.0,-0.03125625,0.011875,0.162,0.666,512,-0.0322059762602358,0.0134024247619882
official_il__mts_8692,Hit8,center_contribution,1000,0.077875,0.0,0.0581234375,0.098128125,0.225,0.627,512,0.0578441611914007,0.0992847043158978
official_il__mts_8692,Hit8,residual_shape_contribution,1000,-0.087375,0.0,-0.0983140625,-0.0771234374999999,0.022,0.662,512,-0.0984693575523429,-0.0762292306718332
official_il__mts_8692,NC,total_gain,1000,0.007453125,0.0,0.00315625,0.01264140625,0.011,0.988,512,0.002905563311071,0.0127443532787686
official_il__mts_8692,NC,center_contribution,1000,0.00747265625,0.0,0.00304658203125,0.0128912109375,0.011,0.987,512,0.0030023295188542,0.0131275238310785
official_il__mts_8692,NC,residual_shape_contribution,1000,-1.953125e-05,0.0,-0.000390625,0.0003515625,0.006,0.99,512,-0.0004273867519962,0.0003428066020109
official_il__mts_8692,PDMS,total_gain,1000,1.5592121420600047,0.0,0.6203419813545231,2.5267685650622647,0.323,0.285,512,0.6514993862905046,2.513183792940755
official_il__mts_8692,PDMS,center_contribution,1000,1.461963062834662,0.0,0.5731612075565439,2.392094465116178,0.32,0.276,512,0.5015530915016887,2.431416072597868
official_il__mts_8692,PDMS,residual_shape_contribution,1000,0.0972490792253429,4.182725032109147e-06,-0.0083431132890757,0.1979970769149645,0.517,0.276,512,-0.0095746729969679,0.1992398100601232
official_il__mts_8692,TTC,total_gain,1000,0.020390625,0.0,0.01213984375,0.029297265625,0.049,0.942,512,0.0127990274565617,0.0286226766465089
official_il__mts_8692,TTC,center_contribution,1000,0.0195078125,0.0,0.011515234375,0.028516015625,0.053,0.935,512,0.0118456764519143,0.0281252268877057
official_il__mts_8692,TTC,residual_shape_contribution,1000,0.0008828125,0.0,-0.000234375,0.002015625,0.036,0.941,512,-0.0002757772045972,0.0020452722134252
