token,log,step,PDMS,median_PDMS,P10_PDMS,feasible,hard_failure,zero_score,oracle64,oracle_gap,CVaR20,NC,DAC,EP,TTC,Comfort,DDC,HQ_mass,Hit8,best8,pairwise_ADE,Spread_AUC,mean_center_shift
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,0,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.1223982544936789,0.1017181660251324,0.0
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,1330,99.97719683440658,100.0,100.0,1.0,0.0,0.0,100.0,0.0228031655934159,99.8957569572872,1.0,1.0,0.9994527240257578,1.0,1.0,1.0,0.0,0.0,100.0,0.2139888566669209,0.18250081853416,0.4951109819181776
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,6650,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.1743303560271379,0.1449154688925586,0.7168153029921601
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,13300,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.1477716536572871,0.1234562621093357,0.364577338958322
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,11970,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.1476959006517076,0.1233219416264879,0.4138448525876402
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,0,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.1321933152874045,0.1126035122637571,0.0
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,1330,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.3066052503145653,0.2606842074166132,0.4411839963772793
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,6650,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.2096379475397981,0.1781010145073175,0.3754372275930884
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,13300,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.1694706907158238,0.1443697399168645,0.4516227546052084
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,11970,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.1692038105139136,0.1440116359599855,0.5210102146044951
b23ede9a183b5b71,2021.06.09.12.06.35_veh-35_01164_01494,0,89.47066272787909,89.44399735763386,89.1638123355919,1.0,0.0,0.0,89.88346423331367,0.4128015054345866,89.130436047376,1.0,1.0,0.747295905469098,1.0,1.0,1.0,0.0,0.0,89.85517099851612,0.1482391028180673,0.1247514780444233,0.0
b23ede9a183b5b71,2021.06.09.12.06.35_veh-35_01164_01494,1330,90.45447835371816,90.41152432965652,89.86305991669595,1.0,0.0,0.0,91.22663083049086,0.7721524767727033,89.8274450751793,1.0,1.0,0.7709074804892359,1.0,1.0,1.0,0.4375,1.0,91.13031445502726,0.3705220575426609,0.3157711119073005,0.6265415915740474
b23ede9a183b5b71,2021.06.09.12.06.35_veh-35_01164_01494,6650,89.91716979234657,89.85653561326737,89.4813335384256,1.0,0.0,0.0,90.59321182025836,0.6760420279117909,89.40292506577828,1.0,1.0,0.7580120750163177,1.0,1.0,1.0,0.09375,0.5,90.46521827316874,0.25433854767747,0.2150645579328967,0.1733249522342988
b23ede9a183b5b71,2021.06.09.12.06.35_veh-35_01164_01494,13300,89.74270823804518,89.73235186377173,89.36869577468299,1.0,0.0,0.0,90.16512409911624,0.4224158610710589,89.36146476663178,1.0,1.0,0.7538249977130842,1.0,1.0,1.0,0.0,0.0,90.12595062583615,0.1750921345585903,0.1479018951207385,0.2519298190175256
b23ede9a183b5b71,2021.06.09.12.06.35_veh-35_01164_01494,11970,90.28385224828686,90.23553890395196,89.94199547759558,1.0,0.0,0.0,90.72827226387533,0.444420015588463,89.90607958212071,1.0,1.0,0.7668124539588846,1.0,1.0,1.0,0.28125,1.0,90.68211462472468,0.1782544426220004,0.1507474603357902,0.4119101752924817
759e9e451eba5b47,2021.06.14.14.25.15_veh-26_05108_05312,0,97.13302836343624,97.10356648691968,96.2513174126321,1.0,0.0,0.0,98.78986341351388,1.656835050077646,96.18662135070088,1.0,1.0,0.9311926807224696,1.0,1.0,1.0,0.09375,0.5,98.2319183975348,0.1591205423460993,0.1377881465456026,0.0
759e9e451eba5b47,2021.06.14.14.25.15_veh-26_05108_05312,1330,99.94089642923564,100.0,100.0,1.0,0.0,0.0,100.0,0.0591035707643641,99.72981224793436,1.0,1.0,0.9985815143016554,1.0,1.0,1.0,1.0,1.0,100.0,0.3612750675780922,0.3127632150344959,0.6583100535548052
759e9e451eba5b47,2021.06.14.14.25.15_veh-26_05108_05312,6650,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.2253722574865541,0.1930580359142105,0.573142881262563
759e9e451eba5b47,2021.06.14.14.25.15_veh-26_05108_05312,13300,99.9941799840626,100.0,100.0,1.0,0.0,0.0,100.0,0.0058200159374024,99.97339421285758,1.0,1.0,0.9998603196175024,1.0,1.0,1.0,1.0,1.0,100.0,0.1633136797499863,0.1403463860455014,0.6711558636408972
759e9e451eba5b47,2021.06.14.14.25.15_veh-26_05108_05312,11970,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.1686261288327194,0.1447607125871206,0.7142536527331628
2ab1b3941f7153cb,2021.06.23.15.18.10_veh-26_00165_02848,0,95.4917762949535,95.4843558069566,95.1124178369584,1.0,0.0,0.0,96.12008785981917,0.628311564865669,95.0571203705788,1.0,1.0,0.8918026310788841,1.0,1.0,1.0,0.0,0.0,95.93529534551185,0.1192347435562019,0.1027932062178675,0.0
2ab1b3941f7153cb,2021.06.23.15.18.10_veh-26_00165_02848,1330,96.25605188327503,96.22427902930052,95.69200127915556,1.0,0.0,0.0,97.30199019963302,1.04593831635799,95.63085693677792,1.0,1.0,0.9101452451986006,1.0,1.0,1.0,0.4375,1.0,97.06091891153176,0.2734682733110399,0.236737863281694,0.439152083977535
2ab1b3941f7153cb,2021.06.23.15.18.10_veh-26_00165_02848,6650,96.81274664917414,96.84095731633212,96.34108431521594,1.0,0.0,0.0,97.36112981490312,0.5483831657289642,96.35136577917736,1.0,1.0,0.9235059195801794,1.0,1.0,1.0,0.90625,1.0,97.29262621700347,0.1990558231792467,0.1675010984222099,0.3326337673135885
2ab1b3941f7153cb,2021.06.23.15.18.10_veh-26_00165_02848,13300,96.4583822879533,96.45200999485772,96.15971655090138,1.0,0.0,0.0,96.85658468726078,0.398202399307479,96.13137593679778,1.0,1.0,0.9150011749108792,1.0,1.0,1.0,0.65625,1.0,96.77899996872456,0.1404977658857301,0.1196191018361813,0.2735443757663058
2ab1b3941f7153cb,2021.06.23.15.18.10_veh-26_00165_02848,11970,96.6538646468926,96.60306443391823,96.39599639181613,1.0,0.0,0.0,97.13124323562558,0.4773785887329893,96.32373404343907,1.0,1.0,0.919692751525422,1.0,1.0,1.0,0.90625,1.0,97.00469815072655,0.141736877889249,0.1210114208845874,0.3342013969991972
3387bab95d41528a,2021.08.31.16.37.21_veh-40_00798_00955,0,99.92822344336426,100.0,99.7540384472027,1.0,0.0,0.0,100.0,0.07177655663574,99.6718785982366,1.0,1.0,0.9982773626407422,1.0,1.0,1.0,0.0,0.0,100.0,0.1195012191440413,0.0966366149920052,0.0
3387bab95d41528a,2021.08.31.16.37.21_veh-40_00798_00955,1330,98.25187973588612,98.17230306474308,97.323087820984,1.0,0.0,0.0,99.78427389457148,1.5323941586853351,97.345120085554,1.0,1.0,0.9580451136612672,1.0,1.0,1.0,0.0,0.0,99.2808110670074,0.3102303026404027,0.2467300229548428,0.324258223287602
3387bab95d41528a,2021.08.31.16.37.21_veh-40_00798_00955,6650,100.0,100.0,100.0,0.875,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.0,0.0,100.0,0.1913290543490896,0.1542611183860471,0.8128046664524626
3387bab95d41528a,2021.08.31.16.37.21_veh-40_00798_00955,13300,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.1403992115459771,0.1151583133390662,0.3434178049378491
3387bab95d41528a,2021.08.31.16.37.21_veh-40_00798_00955,11970,100.0,100.0,100.0,1.0,0.0,0.0,100.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0,0.1440548497899033,0.1187483971547849,0.3934145063233581
