model,epoch,optimizer_step,metric,value,wall_time
mts_8692,165,133961,train/loss_epoch,0.02618912048637867,1784058400.707401
mts_8692,165,133961,train/total_loss_epoch,0.02618912048637867,1784058400.7074919
mts_8692,165,133961,train/diffusion_loss_epoch,0.025207150727510452,1784058400.707505
mts_8692,165,133961,train/jepa_alignment_loss_epoch,0.0,1784058400.7075145
mts_8692,165,133961,train/vggt_alignment_loss_epoch,0.0,1784058400.7075233
mts_8692,165,133961,train/x0_aux_loss_epoch,0.0,1784058400.7075317
mts_8692,165,133961,train/delta_aux_loss_epoch,0.0,1784058400.7075396
mts_8692,165,133961,train/geo_aux_loss_epoch,0.0,1784058400.7075477
mts_8692,165,133961,train/planning_token_norm_epoch,18.23390007019043,1784058400.7075558
mts_8692,165,133961,train/planning_token_pairwise_cosine_epoch,0.8609210252761841,1784058400.7075644
mts_8692,165,133961,train/planning_condition_keep_ratio_epoch,0.9007143378257751,1784058400.7075725
mts_8692,165,133961,train/planning_context_gate_epoch,0.07409841567277908,1784058400.707734
mts_8692,165,133961,train/planning_layer_gate_mean_epoch,0.0452549122273922,1784058400.7090464
mts_8692,165,133961,train/planning_delta_norm_epoch,14.376152038574219,1784058400.710116
mts_8692,165,133961,train/planning_adapter_forward_count_epoch,1.0,1784058400.7110765
mts_8692,165,133961,train/trajectory_aux_loss_epoch,0.01963687688112259,1784058400.7120354
mts_8692,165,133961,train/feasibility_aux_loss_epoch,1.2673379387706518e-05,1784058400.713025
mts_8692,165,133961,train/tangent_excess_loss_epoch,1.405960802003392e-06,1784058400.7139535
mts_8692,165,133961,train/curvature_excess_loss_epoch,1.1267421541560907e-05,1784058400.7148604
mts_8692,165,133961,train/aux_alpha_weight_mean_epoch,0.490787148475647,1784058400.715699
mts_8692,165,133961,train/aux_warmup_ramp_epoch,1.0,1784058400.716543
mts_8692,165,133961,train/selected_target_is_gt_ratio_epoch,0.8249920606613159,1784058400.7173696
mts_8692,165,133961,train/selected_target_source_code_epoch,1.6891248226165771,1784058400.7182314
mts_8692,165,133961,train/residual_alpha_epoch,0.0,1784058400.7191155
mts_8692,165,133961,train/full_x0_reconstruction_l1_epoch,0.16972148418426514,1784058400.7199655
mts_8692,165,133961,train/fs_target_abs_gt3_ratio_epoch,0.01692100241780281,1784058400.7208033
mts_8692,165,133961,train/fs_target_abs_gt5_ratio_epoch,0.0002074116637231782,1784058400.7216506
mts_8692,165,133961,train/fs_output_bound_hit_ratio_epoch,0.010493665002286434,1784058400.7224166
mts_8692,165,133961,train/early_kink_rate_epoch,0.0,1784058400.7232153
mts_8692,165,133961,train/tail_reverse_rate_epoch,0.0,1784058400.7240088
mts_8692,165,133961,train/curvature_violation_rate_epoch,0.0,1784058400.7248487
mts_8692,165,133961,train/dpsi_enabled_epoch,1.0,1784058400.7256715
mts_8692,165,133961,train/dpsi_loss_epoch,0.025207150727510452,1784058400.726455
mts_8692,165,133961,train/dpsi_pairwise_rank_loss_epoch,0.0,1784058400.7272801
mts_8692,165,133961,train/dpsi_invalid_repulsion_loss_epoch,0.0,1784058400.7281408
mts_8692,165,133961,train/dpsi_preference_dpo_loss_epoch,0.0,1784058400.728988
mts_8692,165,133961,train/dpsi_loss_weight_effective_epoch,1.0,1784058400.7298715
mts_8692,165,133961,train/dpsi_bc_loss_epoch,0.0,1784058400.7307038
mts_8692,165,133961,train/dpsi_per_sample_loss_mean_epoch,0.059196263551712036,1784058400.7315645
mts_8692,165,133961,train/dpsi_target_norm_mean_epoch,0.6569784879684448,1784058400.7324524
mts_8692,165,133961,train/dpsi_gt_target_loss_epoch,0.018175940960645676,1784058400.7333302
mts_8692,165,133961,train/dpsi_non_gt_target_loss_epoch,0.0597083754837513,1784058400.7341852
mts_8692,165,133961,train/dpsi_non_gt_to_gt_loss_ratio_epoch,4.668444633483887,1784058400.734972
mts_8692,165,133961,train/dpsi_non_gt_residual_mass_ratio_epoch,0.3319155275821686,1784058400.7357864
mts_8692,165,133961,train/dpsi_non_gt_target_weight_ratio_epoch,0.17500793933868408,1784058400.736548
mts_8692,165,133961,train/dpsi_paired_target_randomness_epoch,1.0,1784058400.7373414
mts_8692,165,133961,train/dpsi_residual_budget_enabled_epoch,1.0,1784058400.7381124
mts_8692,165,133961,train/dpsi_residual_budget_cap_epoch,0.35000285506248474,1784058400.738956
mts_8692,165,133961,train/dpsi_residual_budget_active_ratio_epoch,0.9171152710914612,1784058400.7397597
mts_8692,165,133961,train/dpsi_residual_budget_scale_mean_epoch,0.2661067843437195,1784058400.7405827
mts_8692,165,133961,train/dpsi_residual_budget_unanchored_ratio_epoch,0.0,1784058400.741517
mts_8692,165,133961,train/dpsi_gt_anchor_injected_ratio_epoch,0.0,1784058400.742354
mts_8692,165,133961,train/dpsi_non_gt_exposure_ratio_epoch,0.4829762578010559,1784058400.7432344
mts_8692,165,133961,train/dpsi_non_gt_residual_mass_ratio_pre_budget_epoch,0.6743731498718262,1784058400.744084
mts_8692,165,133961,train/dpsi_non_gt_residual_mass_ratio_post_budget_epoch,0.3319155275821686,1784058400.7449954
mts_8692,165,133961,train/dpsi_non_gt_target_weight_ratio_pre_budget_epoch,0.4680747091770172,1784058400.7458735
mts_8692,165,133961,train/dpsi_non_gt_target_weight_ratio_post_budget_epoch,0.17500793933868408,1784058400.7467127
mts_8692,165,133961,train/dpsi_effective_weight_sum_epoch,15.998838424682617,1784058400.7479377
mts_8692,165,133961,train/dpsi_zero_weight_ratio_epoch,0.03192529454827309,1784058400.7489176
mts_8692,165,133961,train/dpsi_sampled_weight_sum_mean_epoch,1.0,1784058400.7498324
mts_8692,165,133961,train/dpsi_sampled_real_ratio_epoch,0.9680746793746948,1784058400.750709
mts_8692,165,133961,train/dpsi_support_count_mean_epoch,2.563831329345703,1784058400.7865489
mts_8692,165,133961,train/dpsi_pairwise_distance_mean_epoch,1.6046394109725952,1784058400.7963736
mts_8692,165,133961,train/dpsi_source_entropy_mean_epoch,0.8763291835784912,1784058400.797376
mts_8692,165,133961,train/dpsi_beta_mean_epoch,0.4680747091770172,1784058400.8013036
mts_8692,165,133961,train/dpsi_beta_max_epoch,0.5,1784058400.83357
mts_8692,165,133961,train/dpsi_low_support_ratio_epoch,0.5568313598632812,1784058400.8504903
mts_8692,165,133961,train/dpsi_high_gt_saturated_ratio_epoch,0.0,1784058400.8682294
mts_8692,165,133961,train/dpsi_selected_has_improver_ratio_epoch,0.3263496160507202,1784058400.8729212
mts_8692,165,133961,train/dpsi_strong_improver_ratio_epoch,0.2256118804216385,1784058400.8783
mts_8692,165,133961,train/dpsi_scene_weight_mean_epoch,1.0,1784058400.8906603
mts_8692,165,133961,train/dpsi_scene_uniform_weighting_epoch,1.0,1784058400.922675
mts_8692,165,133961,train/dpsi_policy_reachability_mean_epoch,0.47684285044670105,1784058400.9708986
mts_8692,165,133961,train/dpsi_policy_reachability_max_epoch,0.8430507779121399,1784058400.972111
mts_8692,165,133961,train/dpsi_pareto_objective_novelty_mean_epoch,0.5393201112747192,1784058400.9733994
mts_8692,165,133961,train/dpsi_mode_balance_enabled_epoch,0.0,1784058400.9744666
mts_8692,165,133961,train/dpsi_frontier_v4_enabled_epoch,0.0,1784058401.0065138
mts_8692,165,133961,train/dpsi_learning_frontier_v5_enabled_epoch,0.0,1784058401.0220895
mts_8692,165,133961,train/dpsi_mode_effective_count_mean_epoch,2.1762301921844482,1784058401.0429046
mts_8692,165,133961,train/dpsi_mode_capacity_mean_epoch,0.5045246481895447,1784058401.0442631
mts_8692,165,133961,train/dpsi_mode_density_ess_mean_epoch,2.531515598297119,1784058401.0451324
mts_8692,165,133961,train/dpsi_mode_nearest_neighbor_distance_mean_epoch,0.5656683444976807,1784058401.0460992
mts_8692,165,133961,train/dpsi_mode_beta_mean_epoch,0.4680747091770172,1784058401.0469954
mts_8692,165,133961,train/dpsi_anchor_weight_mean_epoch,0.5319253206253052,1784058401.047913
mts_8692,165,133961,train/dpsi_pareto_weight_mean_epoch,0.4680747091770172,1784058401.048828
