model,epoch,optimizer_step,metric,value,wall_time
mts_8692,0,806,train/loss_epoch,0.22756247222423553,1783963006.024641
mts_8692,1,1613,train/loss_epoch,0.11011075973510742,1783963546.7099981
mts_8692,2,2420,train/loss_epoch,0.10167419910430908,1783964086.7645013
mts_8692,3,3227,train/loss_epoch,0.08843725919723511,1783964617.8855693
mts_8692,4,4034,train/loss_epoch,0.08328871428966522,1783965151.3328092
mts_8692,5,4841,train/loss_epoch,0.08080549538135529,1783965712.6748183
mts_8692,6,5648,train/loss_epoch,0.07907792925834656,1783966240.4640505
mts_8692,7,6455,train/loss_epoch,0.07780525088310242,1783966787.9065456
mts_8692,8,7262,train/loss_epoch,0.07640442997217178,1783967323.7860997
mts_8692,9,8069,train/loss_epoch,0.07621686905622482,1783967849.4228141
mts_8692,10,8876,train/loss_epoch,0.07540589570999146,1783968385.2949066
mts_8692,11,9683,train/loss_epoch,0.07460010051727295,1783968923.5076153
mts_8692,12,10490,train/loss_epoch,0.0737600177526474,1783969463.2091715
mts_8692,13,11297,train/loss_epoch,0.07365266978740692,1783970006.7014346
mts_8692,14,12104,train/loss_epoch,0.07350210100412369,1783970542.9584203
mts_8692,15,12911,train/loss_epoch,0.0734187662601471,1783971066.0941093
mts_8692,16,13718,train/loss_epoch,0.07374188303947449,1783971594.1351526
mts_8692,17,14525,train/loss_epoch,0.071844182908535,1783972128.2265654
mts_8692,18,15332,train/loss_epoch,0.07214552909135818,1783972665.1725295
mts_8692,19,16139,train/loss_epoch,0.0708891749382019,1783973224.060469
mts_8692,20,16946,train/loss_epoch,0.06996647268533707,1783973756.002785
mts_8692,21,17753,train/loss_epoch,0.06966236978769302,1783974283.3340132
mts_8692,22,18560,train/loss_epoch,0.06944607943296432,1783974815.8860223
mts_8692,23,19367,train/loss_epoch,0.0688810870051384,1783975344.6156762
mts_8692,24,20174,train/loss_epoch,0.06857287138700485,1783975875.1490583
mts_8692,25,20981,train/loss_epoch,0.06780824065208435,1783976401.2993886
mts_8692,26,21788,train/loss_epoch,0.06662997603416443,1783976925.8139615
mts_8692,27,22595,train/loss_epoch,0.06564382463693619,1783977464.5800369
mts_8692,28,23402,train/loss_epoch,0.06619451940059662,1783977995.565294
mts_8692,29,24209,train/loss_epoch,0.0646318644285202,1783978529.2608414
mts_8692,30,25016,train/loss_epoch,0.06443499773740768,1783979061.6909602
mts_8692,31,25823,train/loss_epoch,0.0633920207619667,1783979589.640125
mts_8692,32,26630,train/loss_epoch,0.06327559053897858,1783980122.300054
mts_8692,33,27437,train/loss_epoch,0.0625474750995636,1783980664.5400097
mts_8692,34,28244,train/loss_epoch,0.06234036758542061,1783981211.0657198
mts_8692,35,29051,train/loss_epoch,0.061072710901498795,1783981743.3538387
mts_8692,36,29858,train/loss_epoch,0.06112673133611679,1783982282.1746192
mts_8692,37,30665,train/loss_epoch,0.06013740226626396,1783982815.6940393
mts_8692,38,31472,train/loss_epoch,0.060921553522348404,1783983356.8078315
mts_8692,39,32279,train/loss_epoch,0.06013704836368561,1783983893.6325536
mts_8692,40,33086,train/loss_epoch,0.059849612414836884,1783984568.6864548
mts_8692,41,33893,train/loss_epoch,0.05893326923251152,1783985099.7327628
mts_8692,42,34700,train/loss_epoch,0.0585385262966156,1783985631.966263
mts_8692,43,35507,train/loss_epoch,0.05775892734527588,1783986167.431343
mts_8692,44,36314,train/loss_epoch,0.05754941701889038,1783986702.7132664
mts_8692,45,37121,train/loss_epoch,0.05759381130337715,1783987231.257882
mts_8692,46,37928,train/loss_epoch,0.057416122406721115,1783987763.9453156
mts_8692,47,38735,train/loss_epoch,0.057204052805900574,1783988303.5899165
mts_8692,48,39542,train/loss_epoch,0.056585244834423065,1783988828.9238513
mts_8692,49,40349,train/loss_epoch,0.05535883456468582,1783989360.1425622
mts_8692,50,41156,train/loss_epoch,0.055466178804636,1783989883.4619765
mts_8692,51,41963,train/loss_epoch,0.055091895163059235,1783990413.642223
mts_8692,52,42770,train/loss_epoch,0.0551338717341423,1783990942.9347544
mts_8692,53,43577,train/loss_epoch,0.05470617860555649,1783991487.1507783
mts_8692,54,44384,train/loss_epoch,0.053843047469854355,1783992032.0444
mts_8692,55,45191,train/loss_epoch,0.05366671830415726,1783992624.888425
mts_8692,56,45998,train/loss_epoch,0.05366789177060127,1783993221.979042
mts_8692,57,46805,train/loss_epoch,0.05276292935013771,1783993807.4462607
mts_8692,58,47612,train/loss_epoch,0.05271875485777855,1783994394.569401
mts_8692,59,48419,train/loss_epoch,0.05225208029150963,1783994951.3223672
mts_8692,60,49226,train/loss_epoch,0.051239263266325,1783995583.9922721
mts_8692,61,50033,train/loss_epoch,0.051097191870212555,1783996184.955593
mts_8692,62,50840,train/loss_epoch,0.05172662064433098,1783996760.7957802
mts_8692,63,51647,train/loss_epoch,0.051198676228523254,1783997350.3186307
mts_8692,64,52454,train/loss_epoch,0.05088728666305542,1783997945.751352
mts_8692,65,53261,train/loss_epoch,0.05062194541096687,1783998518.7169633
mts_8692,66,54068,train/loss_epoch,0.05000598728656769,1783999077.4128928
mts_8692,67,54875,train/loss_epoch,0.04978419467806816,1783999639.8420477
mts_8692,68,55682,train/loss_epoch,0.04901532083749771,1784000201.9611988
mts_8692,69,56489,train/loss_epoch,0.049401942640542984,1784000754.053149
mts_8692,70,57296,train/loss_epoch,0.048483673483133316,1784001313.104419
mts_8692,71,58103,train/loss_epoch,0.04842347279191017,1784001860.9919991
mts_8692,72,58910,train/loss_epoch,0.048126839101314545,1784002436.9318538
mts_8692,73,59717,train/loss_epoch,0.04767831042408943,1784003013.5512059
mts_8692,74,60524,train/loss_epoch,0.047417353838682175,1784003581.9049506
mts_8692,75,61331,train/loss_epoch,0.04719753935933113,1784004167.1149852
mts_8692,76,62138,train/loss_epoch,0.04681076109409332,1784004743.7312093
mts_8692,77,62945,train/loss_epoch,0.04688194394111633,1784005320.4414935
mts_8692,78,63752,train/loss_epoch,0.046278201043605804,1784005900.2021785
mts_8692,79,64559,train/loss_epoch,0.0458776094019413,1784006489.0633175
mts_8692,80,65366,train/loss_epoch,0.046113792806863785,1784007063.8484552
mts_8692,81,66173,train/loss_epoch,0.04586220532655716,1784007623.227719
mts_8692,82,66980,train/loss_epoch,0.04496147483587265,1784008204.4826791
mts_8692,83,67787,train/loss_epoch,0.0444672591984272,1784008793.875772
mts_8692,84,68594,train/loss_epoch,0.04459715634584427,1784009360.5678341
mts_8692,85,69401,train/loss_epoch,0.04446081444621086,1784009928.6660295
mts_8692,86,70208,train/loss_epoch,0.04368145763874054,1784010510.5593963
mts_8692,87,71015,train/loss_epoch,0.0435057058930397,1784011078.1492183
mts_8692,88,71822,train/loss_epoch,0.04328923672437668,1784011653.0602899
mts_8692,89,72629,train/loss_epoch,0.04280314967036247,1784012225.510539
mts_8692,90,73436,train/loss_epoch,0.042693499475717545,1784012798.6094837
mts_8692,91,74243,train/loss_epoch,0.04217682033777237,1784013368.1527824
mts_8692,92,75050,train/loss_epoch,0.04203946143388748,1784013935.8592043
mts_8692,93,75857,train/loss_epoch,0.04125962778925896,1784014497.9404771
mts_8692,94,76664,train/loss_epoch,0.04157928004860878,1784015066.7659383
mts_8692,95,77471,train/loss_epoch,0.04119567945599556,1784015631.9189646
mts_8692,96,78278,train/loss_epoch,0.04072568938136101,1784016198.9632227
mts_8692,97,79085,train/loss_epoch,0.04076911509037018,1784016748.631333
mts_8692,98,79892,train/loss_epoch,0.04078901931643486,1784017339.6884706
mts_8692,99,80699,train/loss_epoch,0.03953138366341591,1784018209.9316642
mts_8692,100,81506,train/loss_epoch,0.03928748890757561,1784018821.9732234
mts_8692,101,82313,train/loss_epoch,0.03967247158288956,1784019405.0452313
mts_8692,102,83120,train/loss_epoch,0.039060212671756744,1784020144.4097002
mts_8692,103,83927,train/loss_epoch,0.039092276245355606,1784020893.3878465
mts_8692,104,84734,train/loss_epoch,0.0383206270635128,1784021528.6897726
mts_8692,105,85541,train/loss_epoch,0.03891961649060249,1784022147.1563175
mts_8692,106,86348,train/loss_epoch,0.03798704221844673,1784022812.8280227
mts_8692,107,87155,train/loss_epoch,0.038307491689920425,1784023434.544685
mts_8692,108,87962,train/loss_epoch,0.037440743297338486,1784024108.4604182
