model,component,value,count
official_il,Comfort,0.0,197936
official_il,Comfort,1.0,442064
official_il,DAC,0.0,90777
official_il,DAC,1.0,549223
official_il,DDC,0.0,11303
official_il,DDC,0.5,15047
official_il,DDC,1.0,613650
official_il,NC,0.0,26299
official_il,NC,0.5,6542
official_il,NC,1.0,607159
official_il,TTC,0.0,104809
official_il,TTC,1.0,535191
original_grpo_11970,Comfort,0.0,187425
original_grpo_11970,Comfort,1.0,452575
original_grpo_11970,DAC,0.0,40741
original_grpo_11970,DAC,1.0,599259
original_grpo_11970,DDC,0.0,19981
original_grpo_11970,DDC,0.5,16905
original_grpo_11970,DDC,1.0,603114
original_grpo_11970,NC,0.0,19048
original_grpo_11970,NC,0.5,3200
original_grpo_11970,NC,1.0,617752
original_grpo_11970,TTC,0.0,81447
original_grpo_11970,TTC,1.0,558553
