token,log,component,both_pass,IL_fail_GRPO_pass,IL_pass_GRPO_fail,both_fail
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,feasible,0.5546875,0.0390625,0.296875,0.109375
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,NC,1.0,0.0,0.0,0.0
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,DAC,0.9296875,0.0390625,0.0,0.03125
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,TTC,0.984375,0.0078125,0.0078125,0.0
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,Comfort,0.625,0.078125,0.015625,0.28125
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,DDC,0.59375,0.0,0.3203125,0.0859375
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,feasible,0.703125,0.1640625,0.0390625,0.09375
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,NC,1.0,0.0,0.0,0.0
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,DAC,0.734375,0.1640625,0.0078125,0.09375
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,TTC,0.953125,0.0,0.0390625,0.0078125
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,Comfort,0.7109375,0.046875,0.015625,0.2265625
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,DDC,0.9921875,0.0078125,0.0,0.0
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,feasible,0.6953125,0.078125,0.0078125,0.21875
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,NC,0.984375,0.0078125,0.0078125,0.0
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,DAC,0.7890625,0.078125,0.0,0.1328125
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,TTC,0.859375,0.0234375,0.0078125,0.109375
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,Comfort,0.7421875,0.046875,0.015625,0.1953125
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,DDC,1.0,0.0,0.0,0.0
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,feasible,0.6171875,0.15625,0.1953125,0.03125
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,NC,0.96875,0.015625,0.0,0.015625
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,DAC,0.84375,0.15625,0.0,0.0
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,TTC,0.96875,0.0078125,0.0078125,0.015625
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,Comfort,0.6484375,0.0625,0.0,0.2890625
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,DDC,0.7578125,0.0234375,0.1953125,0.0234375
86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,feasible,0.984375,0.0,0.0,0.015625
86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,NC,1.0,0.0,0.0,0.0
86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,DAC,1.0,0.0,0.0,0.0
86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,TTC,0.984375,0.0,0.0,0.015625
86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,Comfort,0.671875,0.0546875,0.078125,0.1953125
86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,DDC,1.0,0.0,0.0,0.0
f8268857204e554e,2021.10.05.06.31.40_veh-52_01598_02013,feasible,0.203125,0.1484375,0.34375,0.3046875
f8268857204e554e,2021.10.05.06.31.40_veh-52_01598_02013,NC,1.0,0.0,0.0,0.0
f8268857204e554e,2021.10.05.06.31.40_veh-52_01598_02013,DAC,0.5234375,0.1953125,0.1796875,0.1015625
f8268857204e554e,2021.10.05.06.31.40_veh-52_01598_02013,TTC,1.0,0.0,0.0,0.0
f8268857204e554e,2021.10.05.06.31.40_veh-52_01598_02013,Comfort,0.703125,0.03125,0.0078125,0.2578125
f8268857204e554e,2021.10.05.06.31.40_veh-52_01598_02013,DDC,0.375,0.0078125,0.421875,0.1953125
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,feasible,0.46875,0.328125,0.015625,0.1875
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,NC,1.0,0.0,0.0,0.0
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,DAC,0.4765625,0.3203125,0.015625,0.1875
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,TTC,0.9921875,0.0078125,0.0,0.0
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,Comfort,0.6953125,0.0625,0.0234375,0.21875
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,DDC,0.9921875,0.0078125,0.0,0.0
3764407c90d65df3,2021.10.01.19.16.42_veh-28_01731_01935,feasible,0.703125,0.0234375,0.0,0.2734375
3764407c90d65df3,2021.10.01.19.16.42_veh-28_01731_01935,NC,0.890625,0.0078125,0.0078125,0.09375
3764407c90d65df3,2021.10.01.19.16.42_veh-28_01731_01935,DAC,0.984375,0.0,0.0,0.015625
3764407c90d65df3,2021.10.01.19.16.42_veh-28_01731_01935,TTC,0.71875,0.0234375,0.0,0.2578125
3764407c90d65df3,2021.10.01.19.16.42_veh-28_01731_01935,Comfort,0.7265625,0.0703125,0.0078125,0.1953125
3764407c90d65df3,2021.10.01.19.16.42_veh-28_01731_01935,DDC,1.0,0.0,0.0,0.0
38cfd81687975661,2021.10.01.15.32.11_veh-28_01178_01392,feasible,0.59375,0.1484375,0.046875,0.2109375
38cfd81687975661,2021.10.01.15.32.11_veh-28_01178_01392,NC,1.0,0.0,0.0,0.0
38cfd81687975661,2021.10.01.15.32.11_veh-28_01178_01392,DAC,0.953125,0.0,0.046875,0.0
38cfd81687975661,2021.10.01.15.32.11_veh-28_01178_01392,TTC,1.0,0.0,0.0,0.0
38cfd81687975661,2021.10.01.15.32.11_veh-28_01178_01392,Comfort,0.6015625,0.0703125,0.0546875,0.2734375
38cfd81687975661,2021.10.01.15.32.11_veh-28_01178_01392,DDC,0.640625,0.1484375,0.0,0.2109375
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,feasible,0.7734375,0.1640625,0.0,0.0625
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,NC,1.0,0.0,0.0,0.0
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,DAC,0.7734375,0.1640625,0.0,0.0625
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,TTC,1.0,0.0,0.0,0.0
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,Comfort,0.7109375,0.0,0.0234375,0.265625
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,DDC,1.0,0.0,0.0,0.0
b34272d337d350d2,2021.10.05.07.38.12_veh-50_01085_01463,feasible,0.8125,0.0625,0.03125,0.09375
b34272d337d350d2,2021.10.05.07.38.12_veh-50_01085_01463,NC,1.0,0.0,0.0,0.0
b34272d337d350d2,2021.10.05.07.38.12_veh-50_01085_01463,DAC,0.8125,0.0625,0.03125,0.09375
