comparison,metric,unit,baseline_mean,after_mean,mean_difference,median_difference,ci_low,ci_high,token_win_fraction,scene_win_fraction,n_tokens,n_scene_clusters,seed_protocol,safety_regression_fraction,safety_regression_contribution,nonregression_contribution,total_delta,worst5_contribution,zero_score_repairs,new_zero_scores,NC_repairs,NC_regressions,DAC_repairs,DAC_regressions,TTC_repairs,TTC_regressions,mean_trajectory_shift_ADE_m,mean_endpoint_x_shift_m,mean_endpoint_y_shift_m
official_11970,EP,percentage_points,80.6867373520872,85.69799530165642,5.01125794956923,0.1595246667872418,4.454265037996148,5.598028649418079,0.5065908716427747,0.6749792186201163,12138,1203.0,not_CRN_July_IL_June_RL,,,,,,,,,,,,,,,,
official_11970,NC,percentage_points,97.94859120118636,98.2698961937716,0.3213049925852694,0.0,0.0331701907221601,0.6117858724332207,0.0108749382105783,0.0689941812136325,12138,1203.0,not_CRN_July_IL_June_RL,,,,,,,,,,,,,,,,
official_11970,TTC,percentage_points,93.73043334981053,95.32871972318338,1.5982863733728787,0.0,1.075810852023731,2.15479221436654,0.0311418685121107,0.1471321695760598,12138,1203.0,not_CRN_July_IL_June_RL,,,,,,,,,,,,,,,,
official_11970,DAC,percentage_points,94.389520514088,97.43779864887132,3.048278134783325,0.0,2.527977488154084,3.5824158028176205,0.0379798978414895,0.1787198669991687,12138,1203.0,not_CRN_July_IL_June_RL,,,,,,,,,,,,,,,,
psi_21000,EP,percentage_points,83.85466421598063,87.64688974314814,3.792225527167503,0.0,3.0957091610441467,4.495666629178855,0.4620201021585104,0.5985037406483791,12138,1203.0,not_CRN_historical,,,,,,,,,,,,,,,,
psi_21000,NC,percentage_points,97.99802273850716,97.86208601087492,-0.1359367276322293,0.0,-0.4869767828071087,0.2190460618690787,0.0118635689569945,0.0673316708229426,12138,1203.0,not_CRN_historical,,,,,,,,,,,,,,,,
psi_21000,TTC,percentage_points,93.9199209095403,94.65315537979896,0.7332344702586917,0.0,0.1423255258535657,1.3573509468316838,0.0335310594826165,0.1629260182876143,12138,1203.0,not_CRN_historical,,,,,,,,,,,,,,,,
psi_21000,DAC,percentage_points,94.98269896193771,97.53666172351294,2.5539627615752183,0.0,1.9579749678395972,3.1412360696171016,0.0355907068709836,0.1512884455527847,12138,1203.0,not_CRN_historical,,,,,,,,,,,,,,,,
a5_e2,EP,percentage_points,82.05859564207391,88.09543228719383,6.036836645119911,6.052466710979642,5.29683168482842,6.774252018003232,0.6039710001647718,0.7298420615128844,12138,1203.0,CRN_seed0,,,,,,,,,,,,,,,,
a5_e2,NC,percentage_points,98.08040863404185,95.8230350963915,-2.2573735376503543,0.0,-2.71919677340507,-1.8196163578890003,0.0035425935079914,0.0249376558603491,12138,1203.0,CRN_seed0,,,,,,,,,,,,,,,,
a5_e2,TTC,percentage_points,94.29065743944636,89.69352446861097,-4.597132970835393,0.0,-5.276250136263406,-3.9250198657502,0.0084033613445378,0.0432252701579384,12138,1203.0,CRN_seed0,,,,,,,,,,,,,,,,
a5_e2,DAC,percentage_points,95.3781512605042,95.44405997693195,0.0659087164277475,0.0,-0.3751412757247557,0.4651805754141929,0.0194430713461855,0.1022443890274314,12138,1203.0,CRN_seed0,,,,,,,,,,,,,,,,
v6_s3300,EP,percentage_points,81.47354159392052,85.95598636874394,4.4824447748234135,5.82550926373751,3.85931614126122,5.10726560576295,0.6178118306145988,0.7298420615128844,12138,1203.0,CRN_seed0,,,,,,,,,,,,,,,,
v6_s3300,NC,percentage_points,98.16279452957652,96.32970835392982,-1.8330861756467287,0.0,-2.260895529856962,-1.4419604661335317,0.0027187345526445,0.0207813798836242,12138,1203.0,CRN_seed0,,,,,,,,,,,,,,,,
v6_s3300,TTC,percentage_points,94.65315537979896,90.37732740154884,-4.275827978250123,0.0,-4.9050861759062165,-3.653508850938683,0.0073323447025869,0.0349127182044887,12138,1203.0,CRN_seed0,,,,,,,,,,,,,,,,
v6_s3300,DAC,percentage_points,95.3534354918438,95.4028670291646,0.0494315373208106,0.0,-0.3264991857593228,0.4288757150710858,0.0149942329873125,0.084788029925187,12138,1203.0,CRN_seed0,,,,,,,,,,,,,,,,
official_11970,,,,,,,,,,,12138,,,0.0252924699291481,-1.6112353804437831,6.080610700013581,4.469375319569798,-1.827967370191672,571.0,170.0,132.0,87.0,461.0,91.0,378.0,184.0,,,
psi_21000,,,,,,,,,,,12138,,,0.0408634041852034,-2.538184760010498,5.759728128434867,3.2215433684243693,-2.7512590472488085,540.0,263.0,144.0,152.0,432.0,122.0,407.0,318.0,,,
a5_e2,,,,,,,,,,,12138,,,0.086422804415884,-5.007988066693491,5.360986129099854,0.3529980624063635,-3.801375936602821,266.0,516.0,43.0,318.0,236.0,228.0,102.0,660.0,1.9112983637255816,3.56189973893718,0.1355545655185101
v6_s3300,,,,,,,,,,,12138,,,0.0755478662053056,-4.309556043648615,4.152406043409106,-0.1571500002395093,-3.445777077527437,203.0,413.0,33.0,256.0,182.0,176.0,89.0,608.0,,,
