run,tag,step,value,wall_time
a5_lfp,train/bc_loss_epoch,1613,0.0,1783854903.1190414
a5_lfp,train/bc_loss_epoch,3227,0.0,1783864678.7040105
a5_lfp,train/bc_loss_epoch,4841,0.0,1783874470.6236286
a5_lfp,train/bc_loss_epoch,6455,0.0,1783884282.1469688
a5_lfp,train/bc_loss_epoch,8069,0.0,1783894140.5539126
a5_lfp,train/lfp_negative_advantage_ratio_epoch,1613,0.43770694732666016,1783854903.130455
a5_lfp,train/lfp_negative_advantage_ratio_epoch,3227,0.4139899015426636,1783864678.7159631
a5_lfp,train/lfp_negative_advantage_ratio_epoch,4841,0.4151287078857422,1783874470.6366527
a5_lfp,train/lfp_negative_advantage_ratio_epoch,6455,0.4191986322402954,1783884282.1535995
a5_lfp,train/lfp_negative_advantage_ratio_epoch,8069,0.4121340215206146,1783894140.5665588
a5_lfp,train/lfp_positive_advantage_ratio_epoch,1613,0.36431506276130676,1783854903.1297753
a5_lfp,train/lfp_positive_advantage_ratio_epoch,3227,0.3985893726348877,1783864678.7158942
a5_lfp,train/lfp_positive_advantage_ratio_epoch,4841,0.40109026432037354,1783874470.6358256
a5_lfp,train/lfp_positive_advantage_ratio_epoch,6455,0.4026665687561035,1783884282.1535304
a5_lfp,train/lfp_positive_advantage_ratio_epoch,8069,0.41543909907341003,1783894140.5657694
a5_lfp,train/lfp_zero_advantage_ratio_epoch,1613,0.19797798991203308,1783854903.1311018
a5_lfp,train/lfp_zero_advantage_ratio_epoch,3227,0.18742072582244873,1783864678.7160304
a5_lfp,train/lfp_zero_advantage_ratio_epoch,4841,0.18378102779388428,1783874470.6375093
a5_lfp,train/lfp_zero_advantage_ratio_epoch,6455,0.17813479900360107,1783884282.1536765
a5_lfp,train/lfp_zero_advantage_ratio_epoch,8069,0.17242684960365295,1783894140.5673409
a5_lfp,train/reference_kl_coeff_epoch,1613,0.005000085104256868,1783854903.148028
a5_lfp,train/reference_kl_coeff_epoch,3227,0.005000085104256868,1783864678.7177444
a5_lfp,train/reference_kl_coeff_epoch,4841,0.005000085104256868,1783874470.658739
a5_lfp,train/reference_kl_coeff_epoch,6455,0.005000085104256868,1783884282.1553552
a5_lfp,train/reference_kl_coeff_epoch,8069,0.005000085104256868,1783894140.5876298
a5_lfp,train/reference_kl_loss_epoch,1613,0.23195421695709229,1783854903.1473432
a5_lfp,train/reference_kl_loss_epoch,3227,0.27163490653038025,1783864678.7176783
a5_lfp,train/reference_kl_loss_epoch,4841,0.29102823138237,1783874470.657879
a5_lfp,train/reference_kl_loss_epoch,6455,0.29116570949554443,1783884282.1552906
a5_lfp,train/reference_kl_loss_epoch,8069,0.281639963388443,1783894140.5868595
a5_lfp,train/reward_epoch,1613,0.9558735489845276,1783854903.119023
a5_lfp,train/reward_epoch,3227,0.9524325132369995,1783864678.7039921
a5_lfp,train/reward_epoch,4841,0.9588372707366943,1783874470.6236093
a5_lfp,train/reward_epoch,6455,0.9614739418029785,1783884282.146951
a5_lfp,train/reward_epoch,8069,0.9647088646888733,1783894140.5538943
official_original,train/bc_loss_epoch,1329,-0.10019422322511673,1780965349.702122
official_original,train/bc_loss_epoch,2659,-0.10117693245410919,1780971313.5018952
official_original,train/bc_loss_epoch,3989,-0.10180512815713882,1780977293.1332366
official_original,train/bc_loss_epoch,5319,-0.1023135781288147,1780983291.0590122
official_original,train/bc_loss_epoch,6649,-0.10338567197322845,1780990834.219101
official_original,train/bc_loss_epoch,7979,-0.10483340919017792,1780996784.1078196
official_original,train/bc_loss_epoch,9309,-0.10575275123119354,1781003490.6811838
official_original,train/bc_loss_epoch,10639,-0.10523601621389389,1781009463.033567
official_original,train/bc_loss_epoch,11969,-0.10626933723688126,1781015799.1109998
official_original,train/bc_loss_epoch,13299,-0.10774058103561401,1781022128.13213
official_original,train/reward_epoch,1329,0.7659486532211304,1780965349.7021008
official_original,train/reward_epoch,2659,0.7819413542747498,1780971313.5018737
official_original,train/reward_epoch,3989,0.7894821763038635,1780977293.1332147
official_original,train/reward_epoch,5319,0.7933908104896545,1780983291.0589914
official_original,train/reward_epoch,6649,0.7991524934768677,1780990834.2190795
official_original,train/reward_epoch,7979,0.8042013049125671,1780996784.1077979
official_original,train/reward_epoch,9309,0.8085820078849792,1781003490.6811619
official_original,train/reward_epoch,10639,0.8125090599060059,1781009463.033546
official_original,train/reward_epoch,11969,0.8153508305549622,1781015799.1109786
official_original,train/reward_epoch,13299,0.817207932472229,1781022128.1321068
psi_sr,train/bc_loss_epoch,1329,-0.1004113182425499,1782584072.4662404
psi_sr,train/bc_loss_epoch,2659,-0.09954513609409332,1782599127.0424678
psi_sr,train/bc_loss_epoch,3989,-0.10043558478355408,1782614259.6407142
psi_sr,train/bc_loss_epoch,5319,-0.10045739263296127,1782629436.1407862
psi_sr,train/bc_loss_epoch,6649,-0.09972713142633438,1782644602.9131231
psi_sr,train/bc_loss_epoch,7979,-0.0992932841181755,1782659726.9153268
psi_sr,train/bc_loss_epoch,9309,-0.09878596663475037,1782674844.1357696
psi_sr,train/bc_loss_epoch,10639,-0.0999566987156868,1782689925.2143621
psi_sr,train/bc_loss_epoch,11969,-0.10034447908401489,1782705065.088437
psi_sr,train/bc_loss_epoch,13299,-0.10028502345085144,1782720645.4924035
psi_sr,train/bc_loss_epoch,14629,-0.10044115036725998,1782736643.3026867
psi_sr,train/bc_loss_epoch,15959,-0.10174708813428879,1782753624.6212265
psi_sr,train/bc_loss_epoch,17289,-0.10102462023496628,1782769639.0667415
psi_sr,train/bc_loss_epoch,18619,-0.10226956754922867,1782785690.334101
psi_sr,train/bc_loss_epoch,19949,-0.1034107655286789,1782801913.9013853
psi_sr,train/bc_loss_epoch,21279,-0.10239087790250778,1782817959.0233605
psi_sr,train/bc_loss_epoch,22609,-0.10355467349290848,1782834193.7249124
psi_sr,train/bc_loss_epoch,23939,-0.10392006486654282,1782850183.3516347
psi_sr,train/bc_loss_epoch,25269,-0.10401011258363724,1782866467.8044288
psi_sr,train/bc_loss_epoch,26599,-0.1044275313615799,1782882487.6618772
psi_sr,train/occupied_support_bucket_count_epoch,1329,2.4634716510772705,1782584072.572688
psi_sr,train/occupied_support_bucket_count_epoch,2659,2.459888219833374,1782599127.14731
psi_sr,train/occupied_support_bucket_count_epoch,3989,2.4585018157958984,1782614259.7489161
psi_sr,train/occupied_support_bucket_count_epoch,5319,2.4560227394104004,1782629436.2480884
psi_sr,train/occupied_support_bucket_count_epoch,6649,2.4539430141448975,1782644603.0225992
psi_sr,train/occupied_support_bucket_count_epoch,7979,2.4498543739318848,1782659727.0256798
psi_sr,train/occupied_support_bucket_count_epoch,9309,2.4492199420928955,1782674844.2470307
psi_sr,train/occupied_support_bucket_count_epoch,10639,2.450676679611206,1782689925.3200164
psi_sr,train/occupied_support_bucket_count_epoch,11969,2.450794219970703,1782705065.2002244
psi_sr,train/occupied_support_bucket_count_epoch,13299,2.4517459869384766,1782720645.6097465
psi_sr,train/occupied_support_bucket_count_epoch,14629,2.4513933658599854,1782736643.4170568
psi_sr,train/occupied_support_bucket_count_epoch,15959,2.4513583183288574,1782753624.7257686
psi_sr,train/occupied_support_bucket_count_epoch,17289,2.4494900703430176,1782769639.1655538
psi_sr,train/occupied_support_bucket_count_epoch,18619,2.450770854949951,1782785690.4760714
psi_sr,train/occupied_support_bucket_count_epoch,19949,2.4498074054718018,1782801914.0038223
psi_sr,train/occupied_support_bucket_count_epoch,21279,2.4500069618225098,1782817959.1178086
psi_sr,train/occupied_support_bucket_count_epoch,22609,2.4514405727386475,1782834193.8285198
psi_sr,train/occupied_support_bucket_count_epoch,23939,2.4516754150390625,1782850183.450297
psi_sr,train/occupied_support_bucket_count_epoch,25269,2.4518985748291016,1782866467.9065084
psi_sr,train/occupied_support_bucket_count_epoch,26599,2.452897310256958,1782882487.761587
psi_sr,train/rankable_support_bucket_count_epoch,1329,1.5528128147125244,1782584072.5736606
psi_sr,train/rankable_support_bucket_count_epoch,2659,1.5699431896209717,1782599127.1483426
psi_sr,train/rankable_support_bucket_count_epoch,3989,1.58976411819458,1782614259.749887
psi_sr,train/rankable_support_bucket_count_epoch,5319,1.595662236213684,1782629436.249084
psi_sr,train/rankable_support_bucket_count_epoch,6649,1.5930538177490234,1782644603.0235872
psi_sr,train/rankable_support_bucket_count_epoch,7979,1.6085511445999146,1782659727.0267625
psi_sr,train/rankable_support_bucket_count_epoch,9309,1.616740345954895,1782674844.2480402
