model,protocol,token,group,batch_size,positive_count,negative_count,zero_count,no_positive_group,rule_feasible_count,progress_pass_count,ttc_pass_count,pareto_count,infeasible_count,positive_infeasible_count,mean_positive_PDMS,positive_above_reference_count,ref_scalar,ref_EP,ref_TTC,mean_advantage,std_advantage,all_zero,positive_below_reference_count,positive_equal_reference_count,positive_gain1point_count,positive_advantage_mass,positive_below_reference_advantage_mass
a5_grpo_4842,eval,e6a85ef20b3054c4,0,64,0,16,0,True,8,16,16,8,8,0,,0,100.0,1.0,1.0,-0.5000002384185791,0.4999997615814209,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,d193c14478495b74,0,64,1,9,6,False,16,16,16,1,0,0,96.65861049642696,1,89.19463157653809,0.8163087368011475,1.0,-0.013612182810902596,0.03176455199718475,False,0,0,1,0.06263212859630585,0.0
a5_grpo_4842,eval,b450f88783c15dea,0,64,16,0,0,False,16,16,16,16,0,0,100.0,16,88.76091241836548,0.8089354634284973,1.0,1.95037318917457e-06,0.0,False,0,0,16,3.120597102679312e-05,0.0
a5_grpo_4842,eval,dabc9a6d5e755758,0,64,16,0,0,False,16,16,16,16,0,0,100.0,16,81.56447410583496,0.6865960359573364,1.0,1.95037318917457e-06,0.0,False,0,0,16,3.120597102679312e-05,0.0
a5_grpo_4842,eval,8fe647ed2b7a5aee,0,64,16,0,0,False,16,16,16,16,0,0,100.0,16,99.39929842948914,0.9897881150245667,1.0,1.95037318917457e-06,0.0,False,0,0,0,3.120597102679312e-05,0.0
a5_grpo_4842,eval,d91a4c7d1d9e5647,0,64,15,1,0,False,16,16,16,15,0,0,100.0,15,79.28884625434875,0.6479103565216064,1.0,2.3962929844856262e-06,0.10153436660766602,False,0,0,15,0.39327678084373474,0.0
a5_grpo_4842,eval,12264b570ba358e9,0,64,16,0,0,False,16,16,16,16,0,0,100.0,16,87.08958029747009,0.780522882938385,1.0,1.95037318917457e-06,0.0,False,0,0,16,3.120597102679312e-05,0.0
a5_grpo_4842,eval,411a748874035630,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-4.338124597325077e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,baef6630583c5f87,0,64,0,16,0,True,16,16,16,16,0,0,,0,95.03027200698853,0.9155145883560181,1.0,-4.338124597325077e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,40bdcf910bed5013,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-4.338124597325077e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,4bfb866afaf35777,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-4.338124597325077e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,430843d30f9258ed,0,64,1,7,8,False,16,16,16,1,0,0,99.38839323945716,1,89.45010304450989,0.8206517696380615,1.0,-0.062072496861219406,0.16601131856441498,False,0,0,1,0.35158827900886536,0.0
a5_grpo_4842,eval,3ff6652d6dec55da,0,64,1,6,9,False,16,16,16,1,0,0,97.29552684617714,1,74.41691160202026,0.5650874972343445,1.0,-0.048857368528842926,0.1439763903617859,False,0,0,1,0.21561579406261444,0.0
a5_grpo_4842,eval,3138ce4847ee5007,0,64,1,6,9,False,16,16,16,1,0,0,99.02573718964874,1,84.13075804710388,0.7302229404449463,1.0,-0.018804412335157394,0.05641930177807808,False,0,0,1,0.07904962450265884,0.0
a5_grpo_4842,eval,972eb434cfd159e8,0,64,1,9,6,False,16,16,16,1,0,0,94.4582900515135,1,77.77491807937622,0.6221736669540405,1.0,-0.04818645864725113,0.12481079995632172,False,0,0,1,0.26189520955085754,0.0
a5_grpo_4842,eval,43df192ed9125ff3,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-4.338124597325077e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,86fbc624ea435e56,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-4.338124597325077e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,576835726a7c57d4,0,64,16,0,0,False,16,16,16,16,0,0,100.0,16,86.46090626716614,0.7698354721069336,1.0,1.95037318917457e-06,0.0,False,0,0,16,3.120597102679312e-05,0.0
a5_grpo_4842,eval,392e034cb2a55053,0,64,0,16,0,True,15,15,16,15,1,0,,0,100.0,1.0,1.0,-0.06250040978193283,0.24206136167049408,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,14096d0f331a594a,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-4.338124597325077e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,9252ad8efde85a85,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-4.338124597325077e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,86208267d61253c0,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-4.338124597325077e-07,0.0,False,0,0,0,0.0,0.0
a5_grpo_4842,eval,7ff20da52e205bf0,0,64,16,0,0,False,16,16,16,16,0,0,100.0,16,86.33410930633545,0.7676798105239868,1.0,1.95037318917457e-06,0.0,False,0,0,16,3.120597102679312e-05,0.0
