model,protocol,token,group,batch_size,positive_count,negative_count,zero_count,no_positive_group,rule_feasible_count,progress_pass_count,ttc_pass_count,pareto_count,infeasible_count,positive_infeasible_count,mean_positive_PDMS,positive_above_reference_count,ref_scalar,ref_EP,ref_TTC,mean_advantage,std_advantage,all_zero,positive_below_reference_count,positive_equal_reference_count,positive_gain1point_count,positive_advantage_mass,positive_below_reference_advantage_mass
v6_grpo_3300,eval,e6a85ef20b3054c4,0,64,0,16,0,True,3,16,16,3,13,0,,0,100.0,1.0,1.0,-0.81634521484375,0.38230785727500916,False,0,0,0,0.0,0.0
v6_grpo_3300,eval,d193c14478495b74,0,64,1,8,7,False,16,16,16,1,0,0,97.51342610794642,1,92.40133762359619,0.8708227872848511,1.0,-0.19088059663772583,0.5417062044143677,False,0,0,1,0.7425459623336792,0.0
v6_grpo_3300,eval,b450f88783c15dea,0,64,1,7,8,False,16,16,16,1,0,0,98.58772795958896,1,89.25633430480957,0.8173576593399048,1.0,-0.04403969645500183,0.11357595026493073,False,0,0,1,0.1840384602546692,0.0
v6_grpo_3300,eval,dabc9a6d5e755758,0,64,1,6,9,False,16,16,16,1,0,0,89.78155558256155,1,81.56447410583496,0.6865960359573364,1.0,-0.07260146737098694,0.16475024819374084,False,0,0,1,0.2697141766548157,0.0
v6_grpo_3300,eval,8fe647ed2b7a5aee,0,64,0,16,0,True,16,16,16,16,0,0,,0,99.39929842948914,0.9897881150245667,1.0,-0.020505597814917564,0.0,False,0,0,0,0.0,0.0
v6_grpo_3300,eval,d91a4c7d1d9e5647,0,64,1,8,7,False,16,16,16,1,0,0,98.76202812219624,1,79.28884625434875,0.6479103565216064,1.0,-0.06272152811288834,0.19921164214611053,False,0,0,1,0.2346857190132141,0.0
v6_grpo_3300,eval,12264b570ba358e9,0,64,1,12,3,False,14,16,16,1,2,0,98.72476073450865,1,87.08958029747009,0.780522882938385,1.0,-0.17291146516799927,0.33420249819755554,False,0,0,1,0.2963002324104309,0.0
v6_grpo_3300,eval,411a748874035630,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.02050798200070858,0.0,False,0,0,0,0.0,0.0
v6_grpo_3300,eval,baef6630583c5f87,0,64,1,7,8,False,16,16,16,1,0,0,99.68751131690823,1,94.41443681716919,0.9050454497337341,1.0,-0.17940810322761536,0.4719682037830353,False,0,0,1,0.6708701848983765,0.0
v6_grpo_3300,eval,40bdcf910bed5013,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.02050798200070858,0.0,False,0,0,0,0.0,0.0
v6_grpo_3300,eval,4bfb866afaf35777,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.02050798200070858,0.0,False,0,0,0,0.0,0.0
v6_grpo_3300,eval,430843d30f9258ed,0,64,1,9,6,False,16,16,16,1,0,0,94.80246143162296,1,89.45010304450989,0.8206517696380615,1.0,-0.08584882318973541,0.1901063621044159,False,0,0,1,0.4225667119026184,0.0
v6_grpo_3300,eval,3ff6652d6dec55da,0,64,1,4,11,False,16,16,16,1,0,0,99.90363540793005,1,75.24996995925903,0.5792495012283325,1.0,-0.15177226066589355,0.44693219661712646,False,0,0,1,0.4127653241157532,0.0
v6_grpo_3300,eval,3138ce4847ee5007,0,64,1,8,7,False,16,16,16,1,0,0,90.9440163570375,1,83.79388451576233,0.724496066570282,1.0,-0.08448370546102524,0.1725120097398758,False,0,0,1,0.2690191864967346,0.0
v6_grpo_3300,eval,972eb434cfd159e8,0,64,1,4,11,False,16,16,16,1,0,0,95.78409615613884,1,77.02184915542603,0.6093714237213135,1.0,-0.07748042792081833,0.19991444051265717,False,0,0,1,0.19675332307815552,0.0
v6_grpo_3300,eval,43df192ed9125ff3,0,64,15,1,0,False,16,16,15,15,1,0,100.0,0,100.0,1.0,1.0,0.37231796979904175,0.8707287907600403,False,0,15,0,8.957088470458984,0.0
v6_grpo_3300,eval,86fbc624ea435e56,0,64,0,16,0,True,16,16,16,16,0,0,,0,100.0,1.0,1.0,-0.02050798200070858,0.0,False,0,0,0,0.0,0.0
v6_grpo_3300,eval,576835726a7c57d4,0,64,1,3,12,False,16,16,16,1,0,0,99.36575586714085,1,87.87311911582947,0.7938430309295654,1.0,-0.19010181725025177,0.5131557583808899,False,0,0,1,0.45338231325149536,0.0
v6_grpo_3300,eval,392e034cb2a55053,0,64,0,16,0,True,10,10,16,10,6,0,,0,100.0,1.0,1.0,-0.38781747221946716,0.4741945266723633,False,0,0,0,0.0,0.0
