protocol,radius_m,model,feasible_noncoverage_mass_percent,initial_finite_bank_null_percent,n,mean,median,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,positive_fraction,negative_fraction,tie_fraction
eval,0.25,official_il,0.00625,0.00625,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eval,0.25,original_grpo_11970,75.8515625,0.00625,1000,75.8453125,100.0,73.5685546875,78.0016015625,73.21352962298117,78.18324047157623,0.944,0.0,0.056
eval,0.25,psi_sft,54.142187500000006,0.00625,1000,54.1359375,59.375,51.783906249999994,56.4844140625,51.30952375649459,56.89890146013444,0.933,0.0,0.067
eval,0.5,official_il,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eval,0.5,original_grpo_11970,26.6484375,0.0,1000,26.6484375,1.5625,24.2452734375,29.251640625,23.71363874906581,29.528357388370004,0.519,0.0,0.481
eval,0.5,psi_sft,21.814062500000002,0.0,1000,21.8140625,4.6875,19.903046874999998,23.797265625,19.501689716533466,24.07031944354589,0.623,0.0,0.377
eval,1.0,official_il,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
eval,1.0,original_grpo_11970,0.8421875000000001,0.0,1000,0.8421875,0.0,0.43117187500000004,1.3140625,0.42329859853515234,1.2779956750339214,0.034,0.0,0.966
eval,1.0,psi_sft,1.3796875,0.0,1000,1.3796875,0.0,0.946875,1.8375390625,0.9033885782862043,1.9205901269826284,0.099,0.0,0.901
native_grpo,0.25,official_il,69.0859375,69.0859375,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
native_grpo,0.25,original_grpo_11970,77.0484375,69.0859375,1000,7.9625,4.6875,7.0890625,8.8828125,6.978870819576317,8.940114819781623,0.639,0.221,0.14
native_grpo,0.25,psi_sft,62.364062499999996,69.0859375,1000,-6.721875,-5.46875,-7.368828125,-6.059375,-7.41393235848498,-6.068714073169859,0.188,0.695,0.117
native_grpo,0.5,official_il,69.0859375,69.0859375,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
native_grpo,0.5,original_grpo_11970,77.0484375,69.0859375,1000,7.9625,4.6875,7.0717187500000005,8.8765625,6.926000769566699,8.95731534588484,0.639,0.221,0.14
native_grpo,0.5,psi_sft,62.364062499999996,69.0859375,1000,-6.721875,-5.46875,-7.3562890625,-6.1108203125,-7.3781649622825825,-6.045209275638788,0.188,0.695,0.117
native_grpo,1.0,official_il,65.3984375,65.3984375,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
native_grpo,1.0,original_grpo_11970,74.0796875,65.3984375,1000,8.68125,6.25,7.77953125,9.6016015625,7.668792627329142,9.670399753345357,0.697,0.219,0.084
native_grpo,1.0,psi_sft,61.050000000000004,65.3984375,1000,-4.3484375,-3.125,-4.992265625,-3.7234375,-4.959645922544693,-3.701128840640238,0.316,0.603,0.081
