scope,membership,model,protocol,kind,scenes,teachers,nearest_ADE,hit64_0p25,hit16_0p25,mass64_0p25,hit64_0p5,hit16_0p5,mass64_0p5,hit64_1p0,hit16_1p0,mass64_1p0,weighted_nearest_ADE,weighted_hit64_0p25,weighted_hit16_0p25,weighted_mass64_0p25,weighted_hit64_0p5,weighted_hit16_0p5,weighted_mass64_0p5,weighted_hit64_1p0,weighted_hit16_1p0,weighted_mass64_1p0
FULL5000,PSI_TRAIN,official_il,eval,ALL,4111,6273,1.011801257763512,0.221681667072083,0.20391429498094543,0.11588826725046622,0.29441336252331146,0.28600097299927024,0.24178588441579502,0.42284926619638374,0.4103421714100381,0.36766069691072734,0.9409463019609792,0.26999513276068143,0.24904220136223673,0.14295696608762534,0.34580393875349874,0.33673071965658585,0.287547127118756,0.47770615247907616,0.4654129135912423,0.4218193156597354
FULL5000,PSI_TRAIN,official_il,eval,GT,1679,1679,0.18668663302162455,0.7891602144133413,0.7319833234067897,0.4291058665872543,0.9511614055985705,0.9324002382370459,0.8173950268016676,0.9922572960095295,0.9907683144729006,0.978316706372841,0.18668663302162455,0.7891602144133413,0.7319833234067897,0.4291058665872543,0.9511614055985705,0.9324002382370459,0.8173950268016676,0.9922572960095295,0.9907683144729006,0.978316706372841
FULL5000,PSI_TRAIN,official_il,eval,NON_GT,3677,4594,1.2562581624492277,0.04047683800199437,0.0329525881606382,0.011610744719427067,0.09500498594869004,0.08920315474571662,0.0640333208684616,0.2444021394252561,0.2293763031456804,0.18015493268969268,1.2429444223301938,0.041854772841376,0.03405629583503489,0.012116280228085969,0.097756322948447,0.09179358159211916,0.06575821822728006,0.256173510646444,0.24076692901829322,0.18890888420312782
FULL5000,PSI_TRAIN,official_il,native_grpo,ALL,4111,6273,1.150758658540536,0.0,0.0,0.0,0.00012162490878131841,3.0406227195329603e-05,1.9003891997081002e-06,0.367712640882186,0.18530568393740374,0.01586571596529636,1.1253700037125514,0.0,0.0,0.0,0.000170274869394082,4.25687173485205e-05,2.6605448342825312e-06,0.4164923358372429,0.21561055537109333,0.018616022409930575
FULL5000,PSI_TRAIN,official_il,native_grpo,GT,1679,1679,0.858327342755316,0.0,0.0,0.0,0.0005955926146515784,0.0001488981536628946,9.306134603930912e-06,0.9225729600952948,0.5327575938058368,0.04768463371054199,0.858327342755316,0.0,0.0,0.0,0.0005955926146515784,0.0001488981536628946,9.306134603930912e-06,0.9225729600952948,0.5327575938058368,0.04768463371054199
FULL5000,PSI_TRAIN,official_il,native_grpo,NON_GT,3677,4594,1.233608178399262,0.0,0.0,0.0,0.0,0.0,0.0,0.19485994016861571,0.07667029281116851,0.005904524748436225,1.2271134657220475,0.0,0.0,0.0,0.0,0.0,0.0,0.20126461768753345,0.07960633653716805,0.006135691448677354
FULL5000,PSI_TRAIN,original_grpo_11970,eval,ALL,4111,6273,1.0228383132675447,0.060407038028054805,0.04893375496635044,0.018142382226546665,0.221681667072083,0.20661031379226466,0.1394663960512446,0.4512284115786913,0.43530568393740365,0.37542885449606744,0.9636011265165699,0.07617367955200634,0.06236013061654913,0.02372407838924215,0.26525176176042403,0.247610068272657,0.1694871592870047,0.5076502049978386,0.49136766908602886,0.4290862139543223
FULL5000,PSI_TRAIN,original_grpo_11970,eval,GT,1679,1679,0.407333631558813,0.23108993448481238,0.1919297200714711,0.07453283204288266,0.7534246575342466,0.710541989279333,0.5014331447290054,0.9797498511018463,0.9739428231089935,0.9331261167361524,0.407333631558813,0.23108993448481238,0.1919297200714711,0.07453283204288266,0.7534246575342466,0.710541989279333,0.5014331447290054,0.9797498511018463,0.9739428231089935,0.9331261167361524
FULL5000,PSI_TRAIN,original_grpo_11970,eval,NON_GT,3677,4594,1.215638772374526,0.006935001359804188,0.005031275496328529,0.0015212809355452815,0.058108965642280845,0.05098132535581543,0.028242849696310402,0.2775360348109872,0.25952996101894665,0.1976425811349832,1.20406588164318,0.007152570016947589,0.005180853948114616,0.0015586755484918034,0.05954582532495463,0.05204650524244835,0.02879215389675531,0.2910116939707427,0.2722803910189684,0.20742814238040094
FULL5000,PSI_TRAIN,original_grpo_11970,native_grpo,ALL,4111,6273,1.1246141348549759,0.0,0.0,0.0,0.00012162490878131841,3.0406227195329603e-05,1.9003891997081002e-06,0.3650774345252574,0.16131517068028867,0.013056307265061217,1.1008175219012941,0.0,0.0,0.0,0.000170274869394082,4.25687173485205e-05,2.6605448342825312e-06,0.4121989766500548,0.18683714285851744,0.015282169666763814
