token,log,cohort,psi_train,psi_validation,positive_weight_targets,non_gt_targets
23e39302332152b2,2021.09.15.14.27.22_veh-39_00038_00414,OLD1000,True,False,1,1
411a748874035630,2021.06.23.15.56.12_veh-16_01308_04289,OLD1000,True,False,2,1
79ebfc1d85bf5a51,2021.06.09.17.23.18_veh-38_00131_00294,OLD1000,True,False,1,1
40808270ce205b83,2021.08.24.14.35.46_veh-45_01568_01663,OLD1000,False,True,1,0
86208267d61253c0,2021.06.14.18.33.41_veh-35_00488_00562,OLD1000,True,False,1,0
f8268857204e554e,2021.10.05.06.31.40_veh-52_01598_02013,OLD1000,False,True,1,0
1bf169a6aaf65858,2021.07.09.17.06.37_veh-35_00928_02567,OLD1000,True,False,2,1
3764407c90d65df3,2021.10.01.19.16.42_veh-28_01731_01935,OLD1000,True,False,2,2
38cfd81687975661,2021.10.01.15.32.11_veh-28_01178_01392,OLD1000,True,False,1,1
42e6895442ab5601,2021.06.09.14.50.36_veh-26_00677_00819,OLD1000,True,False,1,0
b34272d337d350d2,2021.10.05.07.38.12_veh-50_01085_01463,OLD1000,False,True,1,0
b23ede9a183b5b71,2021.06.09.12.06.35_veh-35_01164_01494,OLD1000,True,False,1,1
fff951eab9f45288,2021.10.11.07.47.13_veh-50_00736_00843,OLD1000,True,False,1,1
4fa9113617d254d4,2021.07.16.22.40.23_veh-38_00818_03032,OLD1000,True,False,3,2
988785170de957da,2021.06.09.12.39.51_veh-26_00055_00360,OLD1000,True,False,2,2
046b1cc13f0d5f9d,2021.10.06.17.08.46_veh-28_00498_00621,OLD1000,True,False,2,1
d7fbd35a0f315447,2021.06.09.17.37.09_veh-12_00151_00393,OLD1000,True,False,2,2
951957b841e05cfa,2021.07.09.23.23.48_veh-26_02228_04624,OLD1000,True,False,1,1
61db822891625c3b,2021.06.09.17.23.18_veh-38_04782_05228,OLD1000,True,False,1,1
759e9e451eba5b47,2021.06.14.14.25.15_veh-26_05108_05312,OLD1000,True,False,1,1
9c05edf9d6e85716,2021.06.23.16.52.00_veh-26_01043_03099,OLD1000,True,False,1,1
467bbee636b65c84,2021.06.14.13.28.41_veh-12_05269_05369,OLD1000,True,False,3,3
4f6409df56a85592,2021.06.14.13.28.41_veh-12_01313_01541,OLD1000,True,False,3,3
16ddb1838af755e3,2021.10.11.08.31.07_veh-50_00282_00680,OLD1000,True,False,1,1
2ce59f70a15b5ddf,2021.05.12.22.28.35_veh-35_02138_02481,OLD1000,True,False,2,1
461fb854eaa3583e,2021.09.14.20.42.30_veh-45_00805_01078,OLD1000,False,True,1,0
8b800af555d35794,2021.07.16.16.08.35_veh-35_01664_02376,OLD1000,True,False,2,1
2ab1b3941f7153cb,2021.06.23.15.18.10_veh-26_00165_02848,OLD1000,True,False,1,1
4bc510a669d8549f,2021.07.16.20.45.29_veh-35_01513_02486,OLD1000,True,False,1,1
3387bab95d41528a,2021.08.31.16.37.21_veh-40_00798_00955,OLD1000,False,True,1,0
e5acc98f52f458cc,2021.06.14.18.13.35_veh-26_01728_01918,OLD1000,True,False,1,1
3e9026530c475726,2021.08.17.14.32.33_veh-08_01576_01919,OLD1000,True,False,1,1
2ae0a44cc4de5c4a,2021.06.14.13.28.41_veh-12_01779_02059,OLD1000,True,False,2,1
cc94486698ff58d1,2021.07.09.20.26.06_veh-35_02793_03289,OLD1000,True,False,3,3
969763763ce754a4,2021.09.15.11.49.23_veh-28_00280_00506,OLD1000,True,False,3,2
ff6ab495a139534e,2021.06.14.14.03.45_veh-38_03180_03766,OLD1000,True,False,2,2
70248e0bb43a503b,2021.06.09.20.26.11_veh-35_01227_01514,OLD1000,True,False,2,1
2a2403c9b08b53ac,2021.08.31.16.37.21_veh-40_00798_00955,OLD1000,False,True,1,0
854169aa74e95251,2021.07.24.20.37.45_veh-17_00015_00375,OLD1000,False,True,1,0
93a9927586995095,2021.08.17.17.55.18_veh-43_00358_00673,OLD1000,True,False,2,1
af62d866653053f6,2021.10.11.05.34.05_veh-50_00971_01251,OLD1000,True,False,1,1
17d296a87fb45380,2021.06.23.14.54.32_veh-16_01187_03336,OLD1000,True,False,1,1
5370751917315916,2021.06.09.19.40.26_veh-12_01525_02020,OLD1000,True,False,1,0
adaf33e4ba555709,2021.06.23.21.56.29_veh-35_01603_02401,OLD1000,True,False,1,1
1aa0acb229945e9b,2021.08.31.13.27.52_veh-40_00869_01319,OLD1000,False,True,1,0
fad9e78a17825042,2021.06.14.11.44.56_veh-35_02983_03378,OLD1000,True,False,2,2
4eaf32face4b5ece,2021.07.09.20.26.06_veh-35_03898_05974,OLD1000,True,False,1,0
2db045daf25c5bb7,2021.07.09.20.59.12_veh-38_01208_01692,OLD1000,True,False,1,1
b23f3d728c08529f,2021.06.14.13.27.42_veh-35_04001_04236,OLD1000,True,False,1,0
dc76a771066b5553,2021.10.05.08.11.15_veh-50_00163_00321,OLD1000,False,True,1,0
d76b0458667c59a2,2021.08.31.16.37.21_veh-40_01101_01177,OLD1000,False,True,1,0
8cf3b1868b2f5262,2021.06.14.13.27.42_veh-35_03463_03587,OLD1000,True,False,3,3
990bd9b32e5d5f60,2021.06.09.12.39.51_veh-26_02338_02459,OLD1000,True,False,1,1
6320ecb991675a39,2021.10.05.08.11.15_veh-50_00437_00585,OLD1000,False,True,1,0
66243e185353563a,2021.10.05.08.11.15_veh-50_01566_01801,OLD1000,False,True,1,0
cde84b97e6505437,2021.07.24.23.50.16_veh-17_01696_02071,OLD1000,False,True,1,0
d968f9c81b945be1,2021.07.16.01.22.41_veh-14_04315_07102,OLD1000,True,False,2,1
0a87bb919dbb58b6,2021.06.23.16.52.00_veh-26_01043_03099,OLD1000,True,False,1,1
fe5811497ace53af,2021.07.16.00.51.05_veh-17_01352_01901,OLD1000,True,False,1,1
1734440b807a58ef,2021.10.11.02.57.41_veh-50_00704_00776,OLD1000,True,False,1,1
480434fc72d455af,2021.06.09.14.58.55_veh-35_00193_01084,OLD1000,True,False,3,3
cb8e247140d55ab2,2021.07.16.16.27.22_veh-26_02282_03814,OLD1000,True,False,1,1
095770e79ccf5d82,2021.07.16.16.08.35_veh-35_04744_06051,OLD1000,True,False,2,1
d7f25a0ac141583a,2021.10.01.17.52.06_veh-28_01441_01573,OLD1000,True,False,2,2
4b0df2804f165dda,2021.08.24.15.09.18_veh-45_00216_00862,OLD1000,False,True,1,0
ab6ba1da1dd8592b,2021.08.17.17.55.18_veh-43_01240_01704,OLD1000,True,False,2,2
3feb7781f83754a7,2021.06.23.14.54.32_veh-16_01187_03336,OLD1000,True,False,2,1
6f471ee76c595c92,2021.06.14.19.22.11_veh-38_00910_01029,OLD1000,True,False,2,1
32516745ea1b59ef,2021.07.16.16.01.30_veh-38_05766_06843,OLD1000,True,False,2,2
a65dd6d24f575771,2021.06.14.18.33.41_veh-35_00573_00643,OLD1000,True,False,1,1
9ce305abb88f5ad0,2021.10.05.06.57.40_veh-50_01131_01452,OLD1000,False,True,1,0
7af6867add5b5f2c,2021.06.14.16.48.02_veh-12_03472_03779,OLD1000,True,False,2,2
b65e09c4d8125da0,2021.10.05.08.11.15_veh-50_00970_01211,OLD1000,False,True,1,0
cbe1e93e188f5490,2021.09.15.15.34.53_veh-28_00512_01084,OLD1000,True,False,1,1
6ca6a1a4f3dc5d85,2021.05.12.22.28.35_veh-35_01175_02127,OLD1000,True,False,1,1
0ee58e583be85ffb,2021.08.17.18.54.02_veh-45_02202_02416,OLD1000,True,False,1,1
a28a2771a9fa5c1d,2021.06.09.12.39.51_veh-26_02989_03385,OLD1000,True,False,2,1
488e4248a8985e5a,2021.06.14.13.27.42_veh-35_04362_04572,OLD1000,True,False,3,2
0beb530925b9514b,2021.08.31.13.27.52_veh-40_00869_01319,OLD1000,False,True,1,0
29b53c57c19b57fe,2021.10.06.19.27.33_veh-28_00302_00794,OLD1000,True,False,1,1
2639525675535145,2021.06.14.18.42.45_veh-12_04086_04221,OLD1000,True,False,1,0
9a83782a2cf85611,2021.07.16.00.51.05_veh-17_01352_01901,OLD1000,True,False,3,3
cd01f21ff39d541a,2021.07.16.18.06.21_veh-38_03733_04300,OLD1000,True,False,2,1
facaaf8c0e8c5c65,2021.09.15.15.02.19_veh-39_00856_01095,OLD1000,True,False,2,1
88757fb00fda507b,2021.06.14.11.44.56_veh-35_00059_00410,OLD1000,True,False,3,3
e9f4daa7d910568c,2021.06.23.16.54.19_veh-35_01603_03271,OLD1000,True,False,2,1
d6bb0cea4dbd5b44,2021.08.24.18.07.48_veh-45_00203_00300,OLD1000,False,True,1,0
efad2708409b5834,2021.07.16.18.49.56_veh-26_00833_03384,OLD1000,True,False,2,1
3a4cfdd4bfa55a5e,2021.06.09.17.23.18_veh-38_05423_05550,OLD1000,True,False,2,2
e926ec6a69cc575c,2021.08.17.13.10.50_veh-08_00726_01027,OLD1000,True,False,3,3
b6093d9c703e54b1,2021.07.16.16.01.30_veh-38_00016_00333,OLD1000,True,False,2,1
d58eb13402485ae7,2021.07.16.16.01.30_veh-38_02497_03871,OLD1000,True,False,3,2
f1aa5d5ed7c65114,2021.06.23.14.58.13_veh-35_02037_04783,OLD1000,True,False,1,1
4ea3d4068eda5cc5,2021.10.01.13.28.54_veh-28_00607_00973,OLD1000,True,False,1,1
6c0dbda0d8e45ae9,2021.06.23.14.54.32_veh-16_01011_01166,OLD1000,True,False,3,2
b4322d76ebf8569f,2021.07.16.16.01.30_veh-38_00356_02486,OLD1000,True,False,2,2
acfc271e3c3d58fa,2021.08.24.17.37.11_veh-08_02359_02623,OLD1000,False,True,1,0
b222df74b8155735,2021.06.14.18.42.45_veh-12_04620_04742,OLD1000,True,False,1,1
415d6cd62f3b5c1c,2021.06.09.17.23.18_veh-38_02526_03027,OLD1000,True,False,2,1
b28e9b2fa67452a7,2021.06.14.19.22.11_veh-38_02857_03230,OLD1000,True,False,1,1
bd8dea7f7efc5343,2021.06.07.13.53.57_veh-35_02489_03145,OLD1000,False,True,1,0
8224627048195e4f,2021.06.14.16.48.02_veh-12_03472_03779,OLD1000,True,False,2,2
3225bfcbea245dd7,2021.06.14.13.28.41_veh-12_04090_04289,OLD1000,True,False,2,1
114a9052bd6851a2,2021.10.01.19.16.42_veh-28_00094_00216,OLD1000,True,False,2,2
f80fe289f8135602,2021.10.05.07.49.39_veh-52_00563_00680,OLD1000,False,True,1,0
983b7ed08a4b5a88,2021.06.14.16.48.02_veh-12_03091_03461,OLD1000,True,False,3,2
34dd4c6fb6245b9a,2021.06.07.12.54.00_veh-35_01843_02314,OLD1000,False,True,1,0
5895d1e3cb355fb9,2021.06.09.14.03.17_veh-12_00711_00839,OLD1000,True,False,2,2
14b505fe90ef5fb8,2021.06.23.21.56.29_veh-35_00220_00936,OLD1000,True,False,2,1
1ce58516c7675036,2021.10.05.07.49.39_veh-52_01417_01574,OLD1000,False,True,1,0
b1e88b8722105d53,2021.07.09.20.26.06_veh-35_03898_05974,OLD1000,True,False,3,3
410fac99463459e6,2021.10.05.06.24.06_veh-50_00021_00383,OLD1000,False,True,1,0
5207306ed1a05de8,2021.08.31.16.37.21_veh-40_00798_00955,OLD1000,False,True,1,0
8ba3bff293265674,2021.07.16.18.49.56_veh-26_00833_03384,OLD1000,True,False,1,0
69560676d53a56c9,2021.10.05.06.31.40_veh-52_01316_01565,OLD1000,False,True,1,0
cef0adbb58ad5ca1,2021.06.09.17.23.18_veh-38_02526_03027,OLD1000,True,False,2,1
c5dcabed55395a6e,2021.10.05.07.38.12_veh-50_00898_01058,OLD1000,False,True,1,0
8b839595c4105c65,2021.07.16.16.27.22_veh-26_00016_01515,OLD1000,True,False,2,1
f32a0e56a5b75884,2021.06.23.14.58.13_veh-35_02037_04783,OLD1000,True,False,3,2
972eb434cfd159e8,2021.07.09.02.42.50_veh-35_00038_02629,OLD1000,True,False,1,1
505c44ea52485f9d,2021.08.17.14.45.12_veh-42_00092_00301,OLD1000,True,False,1,1
c0b07b38110a556f,2021.07.16.18.06.21_veh-38_03733_04300,OLD1000,True,False,2,1
7fe310f364355e2d,2021.06.08.18.59.48_veh-12_02116_02247,OLD1000,False,True,1,0
efdd48896e7a5f15,2021.06.23.15.56.12_veh-16_01308_04289,OLD1000,True,False,1,1
e47d448a999b5595,2021.06.23.15.56.12_veh-16_01308_04289,OLD1000,True,False,1,1
6c0b6e4fdf005a81,2021.06.14.11.44.56_veh-35_04178_05084,OLD1000,True,False,2,1
071d2ff38b4855ed,2021.07.16.22.40.23_veh-38_00016_00182,OLD1000,True,False,1,1
b450f88783c15dea,2021.07.09.16.12.19_veh-26_02509_02592,OLD1000,True,False,2,2
7b3902956ebc561d,2021.06.09.18.23.43_veh-35_01584_01691,OLD1000,True,False,1,0
dc73cea57e105ebd,2021.06.09.12.39.51_veh-26_04543_05321,OLD1000,True,False,2,2
