token,core,far,boundary,near_good,far_good,eligible
23e39302332152b2,26,132,34,False,True,False
411a748874035630,11,164,17,True,True,False
79ebfc1d85bf5a51,15,160,17,False,True,False
40808270ce205b83,12,162,18,False,True,False
86208267d61253c0,13,158,21,True,True,False
f8268857204e554e,20,161,11,False,True,False
1bf169a6aaf65858,13,157,22,True,True,False
3764407c90d65df3,17,157,18,True,True,True
38cfd81687975661,17,155,20,False,True,False
42e6895442ab5601,15,160,17,True,True,False
b34272d337d350d2,18,163,11,False,True,False
b23ede9a183b5b71,15,163,14,False,True,False
fff951eab9f45288,10,121,61,False,True,False
4fa9113617d254d4,16,155,21,True,True,True
988785170de957da,16,158,18,False,True,False
046b1cc13f0d5f9d,18,160,14,True,True,True
d7fbd35a0f315447,21,153,18,False,True,False
951957b841e05cfa,9,162,21,True,True,False
61db822891625c3b,15,164,13,True,True,False
759e9e451eba5b47,21,150,21,False,True,False
9c05edf9d6e85716,14,152,26,False,True,False
467bbee636b65c84,19,164,9,False,True,False
4f6409df56a85592,18,164,10,True,True,True
16ddb1838af755e3,21,147,24,False,True,False
2ce59f70a15b5ddf,14,159,19,True,True,False
461fb854eaa3583e,11,160,21,True,True,False
8b800af555d35794,15,151,26,True,True,False
2ab1b3941f7153cb,21,144,27,False,True,False
4bc510a669d8549f,15,156,21,True,True,False
3387bab95d41528a,16,162,14,True,True,True
e5acc98f52f458cc,18,156,18,False,True,False
3e9026530c475726,16,162,14,False,True,False
2ae0a44cc4de5c4a,17,151,24,True,True,True
cc94486698ff58d1,13,145,34,False,True,False
969763763ce754a4,17,160,15,True,True,True
ff6ab495a139534e,23,160,9,False,True,False
70248e0bb43a503b,16,149,27,True,True,True
2a2403c9b08b53ac,16,156,20,True,True,True
854169aa74e95251,18,160,14,True,True,True
93a9927586995095,7,162,23,True,True,False
af62d866653053f6,14,164,14,False,True,False
17d296a87fb45380,20,154,18,False,True,False
5370751917315916,13,162,17,True,True,False
adaf33e4ba555709,17,162,13,True,True,True
1aa0acb229945e9b,15,161,16,False,True,False
fad9e78a17825042,10,162,20,False,True,False
4eaf32face4b5ece,16,162,14,True,True,True
2db045daf25c5bb7,13,162,17,False,True,False
b23f3d728c08529f,16,139,37,True,True,True
dc76a771066b5553,21,161,10,False,True,False
d76b0458667c59a2,19,161,12,True,True,True
8cf3b1868b2f5262,15,161,16,True,True,False
990bd9b32e5d5f60,18,153,21,True,True,True
6320ecb991675a39,14,162,16,False,True,False
66243e185353563a,17,163,12,False,True,False
cde84b97e6505437,17,160,15,False,True,False
d968f9c81b945be1,15,150,27,True,True,False
0a87bb919dbb58b6,11,162,19,False,True,False
fe5811497ace53af,19,155,18,False,True,False
1734440b807a58ef,15,162,15,False,True,False
480434fc72d455af,10,152,30,False,True,False
cb8e247140d55ab2,16,156,20,True,True,True
095770e79ccf5d82,19,158,15,True,True,True
d7f25a0ac141583a,17,159,16,False,True,False
4b0df2804f165dda,23,122,47,False,True,False
ab6ba1da1dd8592b,20,163,9,True,True,True
3feb7781f83754a7,18,161,13,True,True,True
6f471ee76c595c92,15,143,34,True,True,False
32516745ea1b59ef,21,149,22,False,True,False
a65dd6d24f575771,13,162,17,True,True,False
9ce305abb88f5ad0,14,161,17,False,True,False
7af6867add5b5f2c,21,160,11,False,True,False
b65e09c4d8125da0,15,163,14,False,True,False
cbe1e93e188f5490,15,155,22,True,True,False
6ca6a1a4f3dc5d85,10,164,18,False,True,False
0ee58e583be85ffb,15,127,50,True,True,False
a28a2771a9fa5c1d,12,159,21,True,True,False
488e4248a8985e5a,19,161,12,True,True,True
0beb530925b9514b,21,147,24,True,True,True
29b53c57c19b57fe,18,157,17,False,True,False
2639525675535145,16,144,32,True,True,True
9a83782a2cf85611,14,152,26,False,True,False
cd01f21ff39d541a,15,161,16,True,True,False
facaaf8c0e8c5c65,17,163,12,True,True,True
88757fb00fda507b,16,161,15,False,True,False
e9f4daa7d910568c,15,161,16,False,True,False
d6bb0cea4dbd5b44,15,162,15,False,True,False
efad2708409b5834,15,162,15,True,True,False
3a4cfdd4bfa55a5e,15,159,18,True,True,False
e926ec6a69cc575c,14,157,21,False,True,False
b6093d9c703e54b1,19,162,11,True,True,True
d58eb13402485ae7,18,162,12,True,True,True
f1aa5d5ed7c65114,17,159,16,False,True,False
4ea3d4068eda5cc5,22,160,10,True,True,True
6c0dbda0d8e45ae9,22,136,34,True,True,True
b4322d76ebf8569f,12,161,19,False,True,False
acfc271e3c3d58fa,15,162,15,False,True,False
b222df74b8155735,24,152,16,False,True,False
415d6cd62f3b5c1c,15,162,15,True,True,False
b28e9b2fa67452a7,9,158,25,False,True,False
bd8dea7f7efc5343,19,158,15,False,True,False
8224627048195e4f,14,161,17,True,True,False
3225bfcbea245dd7,21,144,27,True,True,True
114a9052bd6851a2,15,154,23,False,True,False
f80fe289f8135602,13,157,22,False,True,False
983b7ed08a4b5a88,17,156,19,True,True,True
34dd4c6fb6245b9a,15,162,15,True,True,False
5895d1e3cb355fb9,13,159,20,False,True,False
14b505fe90ef5fb8,19,161,12,True,True,True
1ce58516c7675036,21,160,11,False,True,False
b1e88b8722105d53,11,161,20,True,True,False
410fac99463459e6,15,160,17,True,True,False
5207306ed1a05de8,20,161,11,True,True,True
8ba3bff293265674,18,156,18,True,True,True
69560676d53a56c9,19,160,13,False,True,False
cef0adbb58ad5ca1,17,162,13,False,True,False
c5dcabed55395a6e,11,161,20,False,True,False
8b839595c4105c65,20,158,14,True,True,True
f32a0e56a5b75884,11,161,20,True,True,False
972eb434cfd159e8,17,160,15,False,True,False
505c44ea52485f9d,18,154,20,True,True,True
c0b07b38110a556f,15,162,15,True,True,False
7fe310f364355e2d,13,163,16,False,True,False
efdd48896e7a5f15,14,154,24,False,True,False
e47d448a999b5595,16,158,18,False,True,False
6c0b6e4fdf005a81,14,155,23,True,True,False
071d2ff38b4855ed,11,155,26,False,True,False
b450f88783c15dea,15,145,32,False,True,False
7b3902956ebc561d,13,152,27,True,True,False
dc73cea57e105ebd,11,163,18,False,True,False
b87bd020396b5670,17,160,15,True,True,True
ba1a894e5a6350d2,20,154,18,True,True,True
ddbfb3b2a05c5918,16,161,15,True,True,True
a93ffd0f36b65714,15,144,33,True,True,False
2b2663b56a6555a2,19,158,15,True,True,True
f9b32e71bedb5996,15,167,10,False,True,False
886df3cce3a95a83,15,164,13,False,True,False
160a7c3cbeee5f8b,12,165,15,True,True,False
24fab0f19fd35cd6,18,160,14,True,True,True
b63b325909a058c9,8,161,23,False,True,False
9b500f26b0f8560e,15,156,21,True,True,False
c9ba785129c35b36,19,151,22,True,True,True
aac1853286fb586a,15,161,16,False,True,False
022fef6d66485384,24,130,38,False,True,False
51480b09db315e89,17,150,25,False,True,False
5d3ce016a8a256cf,19,161,12,False,True,False
60691b9dd3355992,18,154,20,False,True,False
0056ae51961f5a18,16,141,35,True,True,True
80d5ce364722516b,10,164,18,False,True,False
f0ff3b146af85463,9,165,18,False,True,False
6f2a7bf7cf275dd3,14,161,17,True,True,False
1090fdb8b57850f6,17,155,20,True,True,True
a3fa79234a9d5d7d,16,158,18,True,True,True
36c6cbf6c8a25415,21,142,29,False,True,False
8fe647ed2b7a5aee,15,156,21,True,True,False
5abdbfe1845e59c5,20,148,24,False,True,False
4af11dadd34359fe,17,160,15,True,True,True
ad25b37aaad95a6b,15,156,21,False,True,False
d5201097ad6e5d67,17,150,25,False,True,False
f96a48c3bcd45c50,18,160,14,True,True,True
3f36d5316f0d5a94,16,163,13,True,True,True
b6bba53a1bef520e,18,161,13,False,True,False
7b840b044a6a5e8d,16,161,15,False,True,False
22a09b0100175b62,18,163,11,True,True,True
39fd3f2e5f005306,15,161,16,True,True,False
497e7be0400158a9,13,163,16,False,True,False
6a53dd2411825857,17,163,12,False,True,False
fb9dcf5b46d65616,20,138,34,False,True,False
39fe00229f7b5ac4,14,161,17,False,True,False
63dcb963cece5b7d,17,161,14,False,True,False
88f9b4f87b6b5bd5,12,160,20,False,True,False
90f5bf5743cf5df0,21,161,10,True,True,True
52caccf1b3b95e4e,19,156,17,False,True,False
1b064a029c0e513a,18,160,14,False,True,False
50790f7ba9405c67,17,151,24,True,True,True
0bc3c50e1292529c,14,120,58,True,True,False
ad906e8bb5375747,16,160,16,False,True,False
0a76d212e8fe5898,19,160,13,False,True,False
77d96cb44005501c,15,165,12,True,True,False
12ed1a1d4ae657d1,14,156,22,False,True,False
a3e94bd829b75673,16,161,15,False,True,False
d7d94b48775a52d4,16,153,23,True,True,True
7640be138ae05408,18,149,25,True,True,True
f82c33508e915106,15,159,18,True,True,False
3138ce4847ee5007,17,163,12,False,True,False
25822d3d04305af8,17,160,15,True,True,True
ba642ba3c9a65fe7,19,149,24,True,True,True
e34f51206f0e53db,11,156,25,False,True,False
5da31ca5ce165787,18,162,12,True,True,True
9a90853892925989,26,108,58,True,True,True
09c3d9dbca6455e5,14,142,36,True,True,False
42231e5449d3576a,16,164,12,True,True,True
bf78c475adfb5eb1,21,140,31,True,True,True
2fbab9ffc3fe5a5d,14,162,16,True,True,False
7fe6e7ce9cb7559d,18,150,24,True,True,True
ebb4d3e033ae55e2,17,147,28,True,True,True
f1d60841a46d53a5,13,140,39,False,True,False
8419b5d5eab75027,15,157,20,False,True,False
9c16cb6c4f94521c,14,161,17,True,True,False
35e2f788f41851c0,18,148,26,False,True,False
54d3068f889b58ee,14,156,22,False,True,False
e1ee982450c85213,14,153,25,False,True,False
4a8b4dff75c15a8a,20,137,35,True,True,True
1819e1b106b354ad,17,158,17,False,True,False
4ecdbea836725622,19,157,16,False,True,False
b9bcc9d0efaf5c7e,11,163,18,True,True,False
253b856b49ef52d2,17,148,27,True,True,True
68e39232887c5e4a,15,167,10,False,True,False
2e2bb8bb71265998,17,159,16,False,True,False
e34a1f5fb71c54da,22,134,36,True,True,True
1d10ae25c61f50c4,20,137,35,True,True,True
2af1778054cf51a4,12,162,18,False,True,False
0f276bab4fa85df0,8,167,17,False,True,False
6cc16446dbe45353,15,150,27,False,True,False
26043d2de718532d,21,160,11,True,True,True
