token,core,far,boundary,near_good,far_good,eligible
2a2403c9b08b53ac,16,156,20,True,True,True
dc76a771066b5553,21,161,10,False,True,False
cde84b97e6505437,17,160,15,False,True,False
a3e94bd829b75673,16,161,15,False,True,False
6e5e2d80ec915e15,17,165,10,False,True,False
7b20cfb388a15b3d,14,158,20,False,True,False
116f3217b5875595,18,158,16,True,True,True
b940d77be0d45ec9,21,141,30,False,True,False
190b153cfd3b5302,20,138,34,True,True,True
a566b5f3bd0c5522,13,165,14,True,True,False
cf430322beb852ca,12,153,27,False,True,False
2314cd5f97c5596c,13,154,25,False,True,False
4fa6a8e71f4a5984,23,148,21,False,True,False
8b0773eaa2375bbf,14,161,17,False,True,False
9ed0f61a7d9551dd,18,155,19,True,True,True
e91a2d26f30e5b34,22,157,13,True,True,True
e671280656f55009,16,151,25,True,True,True
e4bc6fc5aeb15a9b,18,161,13,False,True,False
9263d47ef82d5a88,20,162,10,False,True,False
b003c9652cb05ffd,25,106,61,True,True,True
