metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,1000,-3.1095597623202793,-3.7443524394121295,-2.519942301031975,0.051
pdms,pc_mts - pareto,1000,-2.832921263130006,-3.4906233546107712,-2.260845184563406,0.063
pdms,pc_mts - gt_distance,1000,-1.5674292653178472,-2.223364382459241,-0.9768680452378384,0.226
d_GT,pc_mts - score,1000,-0.19163073006245235,-0.23624228402401504,-0.14653645351219946,0.475
d_GT,pc_mts - pareto,1000,-0.35351171786478996,-0.391138476877753,-0.3166454912985111,0.189
d_GT,pc_mts - gt_distance,1000,0.08183798965190862,0.05955731534910298,0.10423134556471361,0.501
q_holdout,pc_mts - score,1000,-19.6693359375,-20.530870361328123,-18.794598388671876,0.044
q_holdout,pc_mts - pareto,1000,-19.335009765625,-20.1538818359375,-18.5231396484375,0.032
q_holdout,pc_mts - gt_distance,1000,-12.98603515625,-14.198543701171875,-11.799493408203125,0.16
r_knn,pc_mts - score,1000,-14.660620011097366,-15.785969048085366,-13.615054090546582,0.016
r_knn,pc_mts - pareto,1000,-15.869145840844903,-16.892754877173562,-14.910054581655288,0.009
r_knn,pc_mts - gt_distance,1000,-7.136119077829431,-7.603256617091105,-6.68111980598025,0.054
maha_ratio,pc_mts - score,1000,-9.797231602108248,-10.437465035216444,-9.147235047239082,0.018
maha_ratio,pc_mts - pareto,1000,-12.140536605925588,-12.716284714179396,-11.562761334635358,0.008
maha_ratio,pc_mts - gt_distance,1000,-6.241406784076864,-6.601077257896276,-5.892657873914558,0.056
maha_percentile,pc_mts - score,1000,-24.671044921875,-25.805828857421872,-23.507650146484373,0.047
maha_percentile,pc_mts - pareto,1000,-23.85166015625,-25.000955810546877,-22.73917724609375,0.039
maha_percentile,pc_mts - gt_distance,1000,-17.537939453125,-18.881949462890624,-16.171199951171875,0.141
E_rec,pc_mts - score,500,-0.48279676913283764,-0.5302530261837413,-0.4383612037000479,0.06
E_rec,pc_mts - pareto,500,-0.5131458544796332,-0.5560088668321609,-0.4728670361372875,0.034
E_rec,pc_mts - gt_distance,500,-0.2180304994699545,-0.24921190344464267,-0.19299970417242732,0.114
return_rate,pc_mts - score,500,0.5491458333333332,0.516140625,0.5816046875,0.89
return_rate,pc_mts - pareto,500,0.6010833333333333,0.5749145833333335,0.627459375,0.964
return_rate,pc_mts - gt_distance,500,0.3582291666666667,0.33185156250000003,0.38550312500000006,0.864
local_mean,pc_mts - score,1000,-4.278341135046326,-4.895761421038876,-3.6697702425793626,0.149
local_mean,pc_mts - pareto,1000,-4.436208895212798,-5.09110107993107,-3.8719641068222486,0.187
local_mean,pc_mts - gt_distance,1000,-2.286336770265815,-2.878112474601817,-1.7558247422777913,0.335
local_P10,pc_mts - score,1000,-7.505963886573596,-8.977588390711416,-5.96597078000026,0.11
local_P10,pc_mts - pareto,1000,-8.540033358173266,-10.020784216426817,-7.11983974545929,0.168
local_P10,pc_mts - gt_distance,1000,-4.265318950210991,-5.474126753788249,-3.102898007427426,0.318
local_CVaR20,pc_mts - score,1000,-8.61307737300696,-10.060026051535582,-7.244786495415557,0.153
local_CVaR20,pc_mts - pareto,1000,-9.926225167957305,-11.22603300494342,-8.64677915349641,0.187
local_CVaR20,pc_mts - gt_distance,1000,-4.6990053630117945,-5.71029523773335,-3.67358415059734,0.324
local_feasible,pc_mts - score,1000,-0.0212734375,-0.029149153645833332,-0.013687434895833333,0.17
local_feasible,pc_mts - pareto,1000,-0.025484375,-0.033371223958333335,-0.0175466796875,0.205
local_feasible,pc_mts - gt_distance,1000,-0.023661458333333336,-0.031347330729166664,-0.016543945312500002,0.245
hard_failure,pc_mts - score,1000,0.0221796875,0.01666575520833333,0.02828984375,0.225
hard_failure,pc_mts - pareto,1000,0.0254921875,0.019817513020833333,0.031805533854166665,0.241
hard_failure,pc_mts - gt_distance,1000,0.016166666666666666,0.011001888020833333,0.021731966145833333,0.212
robust_radius,pc_mts - score,1000,-0.03331875,-0.040716171875,-0.025898749999999995,0.143
robust_radius,pc_mts - pareto,1000,-0.04211875,-0.049009453125,-0.035168437500000004,0.172
robust_radius,pc_mts - gt_distance,1000,-0.025440624999999998,-0.031309453125,-0.019730625,0.215
robustness_AUC,pc_mts - score,1000,0.011717183145840157,0.00795827628155924,0.015615077526238405,0.49
