metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,276,-0.26547218176631737,-0.3843137939706244,-0.16813898459762533,0.0
pdms,pc_mts - pareto,276,-0.1905278473385258,-0.3556248280508812,0.022988335979851268,0.0036231884057971015
pdms,pc_mts - gt_distance,276,0.05284526551360641,-0.07725527513153405,0.2477594410321744,0.07246376811594203
d_GT,pc_mts - score,276,0.13349849754676305,0.08721628548437735,0.17844098977797113,0.7427536231884058
d_GT,pc_mts - pareto,276,-0.15097887331396553,-0.18653233280359924,-0.11765399282700814,0.1956521739130435
d_GT,pc_mts - gt_distance,276,0.054305450113770574,0.023951867322712758,0.08592847585249959,0.42391304347826086
q_holdout,pc_mts - score,276,-21.912063442294425,-23.556706001989312,-20.174792705336824,0.03260869565217391
q_holdout,pc_mts - pareto,276,-21.603822197296214,-23.05142935606909,-20.25475741452888,0.0
q_holdout,pc_mts - gt_distance,276,-18.6401605664301,-20.47343231701779,-16.792875954658925,0.03985507246376811
r_knn,pc_mts - score,276,-5.635594894660312,-6.738401504440825,-4.705346034960831,0.021739130434782608
r_knn,pc_mts - pareto,276,-8.169297314577632,-9.140296356006607,-7.277303950711155,0.0
r_knn,pc_mts - gt_distance,276,-5.775016755840012,-6.495328609093964,-5.1309364645763065,0.03985507246376811
maha_ratio,pc_mts - score,276,-3.3665785963355037,-3.860312802351319,-2.908862510229754,0.036231884057971016
maha_ratio,pc_mts - pareto,276,-7.672228163436985,-8.267222882323749,-7.091844260238154,0.007246376811594203
maha_ratio,pc_mts - gt_distance,276,-5.507022844934771,-6.059925823836804,-4.974491468649262,0.03985507246376811
maha_percentile,pc_mts - score,276,-25.44345862800771,-27.330172731598303,-23.59114336108063,0.03260869565217391
maha_percentile,pc_mts - pareto,276,-24.01053733074368,-25.651687131994006,-22.3785921702208,0.007246376811594203
maha_percentile,pc_mts - gt_distance,276,-21.5197841390946,-23.454470696074385,-19.508025975618963,0.036231884057971016
E_rec,pc_mts - score,132,-0.19599703341837726,-0.24311969142465095,-0.15260346077050072,0.09848484848484848
E_rec,pc_mts - pareto,132,-0.26320020272031974,-0.30069452372727085,-0.22760223342093105,0.015151515151515152
E_rec,pc_mts - gt_distance,132,-0.16895066243361193,-0.20069743675629567,-0.14035191647235698,0.030303030303030304
return_rate,pc_mts - score,132,0.28769465488215484,0.22873592697811448,0.3455387205387206,0.7196969696969697
return_rate,pc_mts - pareto,132,0.4106113215488216,0.36688749473905724,0.45637047558922555,0.8939393939393939
return_rate,pc_mts - gt_distance,132,0.28433817340067336,0.2401345486111111,0.3299542297979798,0.8333333333333334
local_mean,pc_mts - score,276,-0.8840082877222779,-1.33405435565874,-0.44077863777767,0.16304347826086957
local_mean,pc_mts - pareto,276,-1.3679251238464107,-1.8794907466704511,-0.9010572166167442,0.21739130434782608
local_mean,pc_mts - gt_distance,276,-0.9156068336410011,-1.3576095857482129,-0.49990725404662,0.2644927536231884
