metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,1000,-3.443108420147859,-4.0892983799178015,-2.8526482931091786,0.0
pdms,pc_mts - pareto,1000,-3.4017479306438636,-4.0669968632805915,-2.833867418196708,0.002
pdms,pc_mts - gt_distance,1000,-2.0805153406827084,-2.7406290686838735,-1.5055068968943637,0.118
d_GT,pc_mts - score,1000,-0.2878104229355366,-0.34316780355240684,-0.23420947420248958,0.448
d_GT,pc_mts - pareto,1000,-0.43433821480406004,-0.48457624265697924,-0.3875688346329746,0.181
d_GT,pc_mts - gt_distance,1000,0.041541025316419775,0.018053913365492513,0.06476084404620948,0.426
q_holdout,pc_mts - score,1000,-20.983284254807693,-21.810829148065476,-20.151333781371623,0.011
q_holdout,pc_mts - pareto,1000,-20.783515088427198,-21.55522912374084,-20.021058283432065,0.0
q_holdout,pc_mts - gt_distance,1000,-16.440051725618133,-17.616573677705755,-15.267330151456616,0.06
r_knn,pc_mts - score,1000,-17.49174369603875,-18.92229538296593,-16.1066091448894,0.008
r_knn,pc_mts - pareto,1000,-18.7271464644177,-20.125206893574635,-17.317863152836125,0.0
r_knn,pc_mts - gt_distance,1000,-8.312657348693453,-8.807392744518172,-7.8218010696634765,0.059
maha_ratio,pc_mts - score,1000,-9.756984459615577,-10.414376889368556,-9.094494046784627,0.014
maha_ratio,pc_mts - pareto,1000,-12.110228978517215,-12.720253759739931,-11.51694863604778,0.004
maha_ratio,pc_mts - gt_distance,1000,-7.068827145291063,-7.4974528099362105,-6.655486886138992,0.056
maha_percentile,pc_mts - score,1000,-27.203733473557694,-28.344898623511902,-25.998817415901154,0.014
maha_percentile,pc_mts - pareto,1000,-26.535884093120423,-27.678600052047564,-25.412635814624824,0.004
maha_percentile,pc_mts - gt_distance,1000,-22.52506936097756,-23.890618720309636,-21.16272371329842,0.054
E_rec,pc_mts - score,500,-0.5793664607394156,-0.6387992502916378,-0.5232026328626361,0.044
E_rec,pc_mts - pareto,500,-0.6110828783182294,-0.6661317744823353,-0.5563875876962305,0.016
E_rec,pc_mts - gt_distance,500,-0.2634648208774251,-0.2961727705313078,-0.23671931381993433,0.068
return_rate,pc_mts - score,500,0.5739135378510378,0.5391539606227106,0.6080252690018315,0.864
return_rate,pc_mts - pareto,500,0.6302268620268622,0.6029051041666666,0.6570744215506716,0.94
return_rate,pc_mts - gt_distance,500,0.42628200549450546,0.39467862561050066,0.4580610084706959,0.822
local_mean,pc_mts - score,1000,-4.5045929245325915,-5.144054545174865,-3.8883559480517786,0.114
local_mean,pc_mts - pareto,1000,-4.832429951238289,-5.5147059005898695,-4.240670840354092,0.136
local_mean,pc_mts - gt_distance,1000,-2.9382342798285137,-3.5456243802637544,-2.3598174758610324,0.249
local_P10,pc_mts - score,1000,-7.5523021184582975,-9.137536449072787,-5.946153154027817,0.063
local_P10,pc_mts - pareto,1000,-8.79910623659002,-10.394868446587987,-7.318029396414766,0.109
local_P10,pc_mts - gt_distance,1000,-5.292684785584481,-6.626258852861822,-3.9706025228801916,0.208
local_CVaR20,pc_mts - score,1000,-8.653068466627934,-10.236565098243007,-7.20082136762519,0.116
local_CVaR20,pc_mts - pareto,1000,-10.109416902846387,-11.505931763752425,-8.752702355428198,0.136
local_CVaR20,pc_mts - gt_distance,1000,-5.876403371786159,-7.042301049263069,-4.709949120811418,0.242
local_feasible,pc_mts - score,1000,-0.01986133050976801,-0.028105618799603174,-0.012094184552426735,0.135
local_feasible,pc_mts - pareto,1000,-0.02616842567155067,-0.034473903102106226,-0.017822105607066537,0.153
local_feasible,pc_mts - gt_distance,1000,-0.027406442689255194,-0.03561318314064408,-0.019895379464285715,0.159
hard_failure,pc_mts - score,1000,0.02134518849206349,0.015522920386904763,0.0276670349702381,0.194
hard_failure,pc_mts - pareto,1000,0.024797891865079365,0.019081925223214287,0.031298151041666666,0.213
hard_failure,pc_mts - gt_distance,1000,0.017985887896825398,0.012631654265873017,0.02384566840277778,0.176
robust_radius,pc_mts - score,1000,-0.03075313415750916,-0.03865919047619048,-0.022363575377747254,0.109
robust_radius,pc_mts - pareto,1000,-0.03937413003663003,-0.046912968750000006,-0.03169464657738095,0.126
robust_radius,pc_mts - gt_distance,1000,-0.02903812728937729,-0.035776527644230775,-0.022502777529761906,0.136
robustness_AUC,pc_mts - score,1000,0.01064062558355997,0.006689931224035783,0.014751665878236486,0.446
robustness_AUC,pc_mts - pareto,1000,0.014343590644805924,0.010435107825243902,0.01833670791341702,0.455
robustness_AUC,pc_mts - gt_distance,1000,0.008637950877010279,0.0050289347767515265,0.012095995502716613,0.418
worst_direction_drop,pc_mts - score,1000,1.7910433356103461,1.2218487034480965,2.317999518172233,0.454
worst_direction_drop,pc_mts - pareto,1000,2.344963457673487,1.8071957663704392,2.8723874271058003,0.473
worst_direction_drop,pc_mts - gt_distance,1000,1.420207893054178,0.9205789126275696,1.9309399441941735,0.403
HQ_boundary,pc_mts - score,1000,0.4378014194139195,0.40995808493589736,0.467903089514652,0.487
HQ_boundary,pc_mts - pareto,1000,0.4297327380952381,0.4023274816849817,0.45665849015567767,0.492
HQ_boundary,pc_mts - gt_distance,1000,0.41892348901098897,0.3919508058608059,0.446759114010989,0.486
HQ_far,pc_mts - score,1000,-0.9395162087912088,-0.9530071611721612,-0.9253296726190475,0.0
HQ_far,pc_mts - pareto,1000,-0.9306173076923078,-0.9403691964285714,-0.9199766266025642,0.0
HQ_far,pc_mts - gt_distance,1000,-0.7084909340659341,-0.7336771062271062,-0.682002232142857,0.0
