metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,412,0.050912757761557785,0.026351020954138767,0.07731978396544814,0.08980582524271845
pdms,pc_mts - pareto,412,0.18786475048383952,0.07207350527634793,0.3447985184681017,0.09223300970873786
pdms,pc_mts - gt_distance,412,0.31376643553178374,0.15432914747771595,0.5300935275706071,0.13106796116504854
d_GT,pc_mts - score,412,0.25691326843106915,0.22903204525562637,0.28533950030789196,0.9223300970873787
d_GT,pc_mts - pareto,412,-0.090545615618517,-0.10779896687826081,-0.07171610940739744,0.279126213592233
d_GT,pc_mts - gt_distance,412,0.08258852440145452,0.05669094165340779,0.11132796877191851,0.5218446601941747
q_holdout,pc_mts - score,412,-22.26858787166262,-23.75685904789897,-20.81324012534132,0.07766990291262135
q_holdout,pc_mts - pareto,412,-21.425591626213592,-22.683573602472695,-20.183280278178096,0.04854368932038835
q_holdout,pc_mts - gt_distance,412,-19.522361385012136,-20.908798662204187,-18.148978520365592,0.0703883495145631
r_knn,pc_mts - score,412,-5.06753827018626,-5.700990149674189,-4.497349365168181,0.038834951456310676
r_knn,pc_mts - pareto,412,-7.872741877979989,-8.332818745121829,-7.425567383641604,0.021844660194174758
r_knn,pc_mts - gt_distance,412,-6.750687804827885,-7.357363511681127,-6.17584280049581,0.03155339805825243
maha_ratio,pc_mts - score,412,-3.242153813067411,-3.637148149518994,-2.914105263504861,0.043689320388349516
maha_ratio,pc_mts - pareto,412,-8.721376142505125,-9.204762861240356,-8.236829154337672,0.019417475728155338
maha_ratio,pc_mts - gt_distance,412,-6.568367398004888,-7.050530648399523,-6.0892580678243755,0.02669902912621359
maha_percentile,pc_mts - score,412,-26.840061817354368,-28.364817795244235,-25.35711195862409,0.07281553398058252
maha_percentile,pc_mts - pareto,412,-24.901514145934467,-26.26354921211317,-23.58537396180977,0.050970873786407765
maha_percentile,pc_mts - gt_distance,412,-23.245268886529125,-24.65006411654278,-21.81998539896845,0.06310679611650485
E_rec,pc_mts - score,201,-0.1568239296135488,-0.1864760384929948,-0.1313115319078707,0.13432835820895522
E_rec,pc_mts - pareto,201,-0.2258390227126523,-0.24513690285326736,-0.20692114219476646,0.06467661691542288
E_rec,pc_mts - gt_distance,201,-0.18331900171110804,-0.20774873556182324,-0.16090985849886016,0.06467661691542288
return_rate,pc_mts - score,201,0.2724917081260365,0.23014484867330018,0.31717324834162525,0.7661691542288557
return_rate,pc_mts - pareto,201,0.3966625207296849,0.36567034618573796,0.425949678689884,0.945273631840796
return_rate,pc_mts - gt_distance,201,0.3193926202321725,0.28409903606965176,0.3576920087064677,0.9154228855721394
local_mean,pc_mts - score,412,-0.39578024009925067,-0.8004486841521021,0.008248077919805714,0.25485436893203883
local_mean,pc_mts - pareto,412,-1.0511825508729717,-1.4150917054765348,-0.6966692313926778,0.32281553398058255
local_mean,pc_mts - gt_distance,412,-0.5527521646077259,-0.889333769150886,-0.2245240341645254,0.36893203883495146
