metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - pareto,9,0.0,0.0,0.0,0.0
pdms,pc_mts - gt_distance,10,0.0,0.0,0.0,0.0
E_rec,pc_mts - pareto,2,-0.21359209964672723,-0.26382967829704285,-0.16335452099641162,0.0
E_rec,pc_mts - gt_distance,2,-0.19209598004817963,-0.2443331480026245,-0.13985881209373474,0.0
return_rate,pc_mts - pareto,2,0.30555555555555564,0.11111111111111127,0.5,1.0
return_rate,pc_mts - gt_distance,2,0.20833333333333337,-0.08333333333333326,0.5,0.5
robust_radius,pc_mts - pareto,9,-0.061111111111111116,-0.19444444444444445,0.044444444444444446,0.1111111111111111
robust_radius,pc_mts - gt_distance,10,-0.034999999999999996,-0.095,0.0,0.0
local_feasible,pc_mts - pareto,9,-0.047839506172839524,-0.1358024691358025,0.009259259259259252,0.1111111111111111
local_feasible,pc_mts - gt_distance,10,-0.0388888888888889,-0.10555555555555558,0.0,0.0
