metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,1,-2.342617560264742,-2.342617560264742,-2.342617560264742,0.0
pdms,pc_mts - pareto,13,-0.18020135078959554,-0.5406040523687866,0.0,0.0
pdms,pc_mts - gt_distance,12,-7.656144281516694e-07,-2.296843284455008e-06,0.0,0.0
E_rec,pc_mts - pareto,4,-0.21587294464310008,-0.25086381286382675,-0.18088207642237342,0.0
E_rec,pc_mts - gt_distance,3,-0.1942005306482315,-0.2443331480026245,-0.13985881209373474,0.0
return_rate,pc_mts - pareto,4,0.23611111111111116,0.055555555555555636,0.41666666666666674,0.75
return_rate,pc_mts - gt_distance,3,0.13888888888888892,-0.08333333333333326,0.5,0.3333333333333333
robust_radius,pc_mts - score,1,-0.35,-0.35,-0.35,0.0
robust_radius,pc_mts - pareto,13,-0.06923076923076923,-0.16923076923076924,0.015384615384615385,0.07692307692307693
robust_radius,pc_mts - gt_distance,12,-0.029166666666666664,-0.07916666666666666,0.0,0.0
local_feasible,pc_mts - score,1,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663,0.0
local_feasible,pc_mts - pareto,13,-0.04594017094017095,-0.11538461538461539,0.0032051282051282024,0.07692307692307693
local_feasible,pc_mts - gt_distance,12,-0.03240740740740742,-0.09259259259259263,0.0,0.0
