metric,comparison,n_scenes,delta,CI95_low,CI95_high,positive_scene_fraction
pdms,pc_mts - score,59,-0.01441182639564985,-0.04323547918694955,0.0,0.0
pdms,pc_mts - pareto,58,-0.01466030616109209,-0.04306170964140089,0.0,0.0
pdms,pc_mts - gt_distance,59,-0.01441182639564985,-0.042331850155953414,0.0,0.0
E_rec,pc_mts - score,24,-0.03229740236678885,-0.05477011551288242,-0.011947607943341909,0.25
E_rec,pc_mts - pareto,24,-0.09083839714941051,-0.10941266070689179,-0.07272279500081723,0.0
E_rec,pc_mts - gt_distance,24,-0.09615068698508872,-0.11936912311706693,-0.07613277664692658,0.0
return_rate,pc_mts - score,24,0.05034722222222222,0.013599537037037044,0.08883101851851849,0.7916666666666666
return_rate,pc_mts - pareto,24,0.11076388888888888,0.05879050925925928,0.16470196759259265,0.7916666666666666
return_rate,pc_mts - gt_distance,24,0.1170138888888889,0.06180266203703704,0.18067708333333335,0.75
robust_radius,pc_mts - score,59,0.0034478410008071014,-0.010903828692493948,0.0162147523204197,0.2711864406779661
robust_radius,pc_mts - pareto,58,0.032145935960591135,0.007422721674876846,0.05911848316912973,0.3793103448275862
robust_radius,pc_mts - gt_distance,59,0.029242332526230826,0.004264124293785306,0.05558398910411623,0.3898305084745763
local_feasible,pc_mts - score,59,0.002655451304815709,-0.002317550696125912,0.007802064416868432,0.2542372881355932
local_feasible,pc_mts - pareto,58,0.024097307744937062,0.009953080100574715,0.039734174021620154,0.39655172413793105
local_feasible,pc_mts - gt_distance,59,0.02104057371536186,0.007299348853241858,0.03619374453524348,0.4406779661016949
