IL_spread_quartile,checkpoint,pairwise_ade,spread_auc,spread_ratio_il,center_shift_from_il,D_positive,hit8_1,feasible_rate,mean_pdms,compressed,strongly_compressed,hit8_delta_IL,mean_pdms_delta_IL,n_scenes,median_SR
Q1,apr_9145,0.14935583663483487,0.12423748416602116,1.3463958646488325,0.691671755850315,0.16496878387653718,0.3925,0.98525,94.97682807208412,0.056,0.0,0.0995,2.4291561352510582,250,1.2802406799727533
Q1,grpo_9041,0.14054480519694873,0.11917149462542855,1.3004199607922182,0.4819842469096184,0.14486791043271938,0.414,0.989625,95.23599539245086,0.0,0.0,0.121,2.6883234556177964,250,1.2818609093262168
Q1,mts_8692,0.067930257961087,0.07268122000277033,0.7707346004211522,0.3392849605679512,0.09037905441302999,0.209,0.991125,93.32676656070947,0.808,0.472,-0.084,0.7790946238764106,250,0.5199409637251314
Q1,mts_8751,0.07455248315440582,0.09200074631490043,0.9762599380991154,0.3907638277262449,0.16051736163596309,0.2385,0.9960625,93.92950024528793,0.804,0.508,-0.0545,1.381828308454867,250,0.4967579129393604
Q1,official_il,0.10950485919664846,0.09299651947422741,1.0,0.0,0.09204717627887064,0.293,0.97725,92.54767193683305,0.0,0.0,0.0,0.0,250,1.0
Q2,apr_9145,0.17792686589279508,0.1483908620798371,1.307254682193211,0.7913413954377174,0.19210543656765025,0.465,0.954375,95.30935495173742,0.1,0.0,0.167,3.2976789598089917,250,1.2105289517733087
Q2,grpo_9041,0.1625553364490072,0.1372295533539333,1.2083593013908998,0.5158052291274071,0.16267282212222062,0.4655,0.9345,94.84111290521875,0.016,0.0,0.1675,2.8294369132903197,250,1.201356622035743
Q2,mts_8692,0.07809630437323099,0.08636241202076393,0.7617901672690389,0.3616330870091915,0.0823266923907074,0.2375,0.963875,93.96632244892912,0.812,0.536,-0.0605,1.9546464570006938,250,0.46949322285220574
Q2,mts_8751,0.09556909113626791,0.12387925976595528,1.0915676492211894,0.4279328806698322,0.264745009765655,0.308,0.956875,94.02688585624529,0.792,0.608,0.01,2.0152098643168563,250,0.44393693255118105
Q2,official_il,0.13467389893722514,0.11360113496266441,1.0,0.0,0.10885143638044203,0.298,0.933375,92.01167599192843,0.0,0.0,0.0,0.0,250,1.0
Q3,apr_9145,0.19199644731641322,0.16010885936328362,1.2546787802549095,0.8846256150007248,0.1976829867884023,0.534,0.93775,94.28382226694525,0.184,0.0,0.273,3.5499359659292997,250,1.2055318202979928
Q3,grpo_9041,0.17714161942088327,0.14921001186203825,1.1694354857285685,0.5053355715274811,0.1768290907144546,0.5015,0.922625,93.70370543752176,0.052,0.0,0.2405,2.969819136505812,250,1.1669906150612
Q3,mts_8692,0.08578117294078065,0.09121247411367255,0.7145729583245973,0.43852384835481645,0.0959290969397195,0.2195,0.964375,93.08194483370279,0.852,0.632,-0.0415,2.348058532686845,250,0.42954539669167274
Q3,mts_8751,0.08099551422118104,0.09691129001776129,0.7582389051136493,0.5012692653834819,0.23937465125216845,0.269,0.9610625,93.35271795553476,0.868,0.748,0.008,2.6188316545188055,250,0.4013294599225625
Q3,official_il,0.15177258331352633,0.12763328496009407,1.0,0.0,0.12191983067100828,0.261,0.93025,90.73388630101594,0.0,0.0,0.0,0.0,250,1.0
Q4,apr_9145,0.21301219589644124,0.17828690219240512,1.1592956801740442,0.8689760892391205,0.21696399857600526,0.5285,0.9498125,96.85123391969763,0.296,0.004,0.242,3.5256318197529817,250,1.1470240009138701
Q4,grpo_9041,0.20167213850913698,0.17046250000923835,1.105978402140853,0.5001776278018951,0.19588696330216276,0.505,0.9386875,96.45171537789678,0.132,0.0,0.2185,3.1261132779521206,250,1.1091916243466793
Q4,mts_8692,0.10441135851063861,0.11008500173950482,0.7102051805825116,0.5109413287937641,0.09786894781670219,0.213,0.951125,94.48065105462072,0.836,0.68,-0.0735,1.15504895467607,250,0.37512689876505806
Q4,mts_8751,0.08279092246281022,0.08543096840197113,0.552499852650723,0.5509460937678814,0.09588980271427094,0.2695,0.9565625,95.42251567128919,0.904,0.788,-0.017,2.0969135713445275,250,0.37359350707561423
Q4,official_il,0.18320779533351542,0.15484383479720085,1.0,0.0,0.1481996343179714,0.2865,0.9165625,93.32560209994466,0.0,0.0,0.0,0.0,250,1.0
