model,metric,n_rollouts,n_scenes,delta_to_IL,CI95_low,CI95_high
mts_8692,pairwise_ade,64,1000,-0.060735010748794525,-0.06558194977003506,-0.0552297444926717
mts_8751,pairwise_ade,64,1000,-0.06131278145156258,-0.06676214109957812,-0.055330555395786477
grpo_9041,pairwise_ade,64,1000,0.025688690698765212,0.024630855596056177,0.026709062155020568
apr_9145,pairwise_ade,64,1000,0.03828305223989227,0.035909413035594966,0.04068107263693218
mts_8692,spread_auc,64,1000,-0.03218341657936879,-0.03817953268906268,-0.026029604121431574
mts_8751,spread_auc,64,1000,-0.022713127423399655,-0.03131156440299302,-0.013274748036338766
grpo_9041,spread_auc,64,1000,0.021749696414112927,0.02085547670999911,0.02264030450667084
apr_9145,spread_auc,64,1000,0.030487333401840053,0.02833882127503658,0.0326698380648877
mts_8692,hit8_1,64,1000,-0.064875,-0.08825,-0.04149687499999999
mts_8751,hit8_1,64,1000,-0.013375,-0.039125,0.012140625000000058
grpo_9041,hit8_1,64,1000,0.186875,0.157625,0.2175
apr_9145,hit8_1,64,1000,0.195375,0.163121875,0.22775312500000003
