checkpoint,n_rollouts,repeat,pairwise_ADE,spread_auc,hit8_1
apr_9145,16,0,0.1838842,0.15200439,0.4795
apr_9145,16,1,0.18368469,0.15188089,0.482
apr_9145,16,2,0.18310672,0.1514037,0.4785
apr_9145,16,3,0.1833055,0.15154585,0.4795
apr_9145,16,4,0.18349433,0.15178563,0.479
apr_9145,16,5,0.18286082,0.15124092,0.4825
apr_9145,16,6,0.18356027,0.1517619,0.4785
apr_9145,16,7,0.18288411,0.15127021,0.4815
apr_9145,16,8,0.18338075,0.1517375,0.48
apr_9145,16,9,0.18227254,0.15076558,0.4805
apr_9145,16,10,0.18312363,0.1514719,0.479
apr_9145,16,11,0.1827826,0.15114288,0.48
apr_9145,16,12,0.18327868,0.1516846,0.4765
apr_9145,16,13,0.18264015,0.15101534,0.4795
apr_9145,16,14,0.18368284,0.15192041,0.481
apr_9145,16,15,0.18297666,0.15125008,0.478
apr_9145,16,16,0.18374461,0.15200225,0.482
apr_9145,16,17,0.18340857,0.15163076,0.478
apr_9145,16,18,0.18243414,0.15083517,0.479
apr_9145,16,19,0.18210009,0.15049872,0.4785
apr_9145,16,20,0.18339044,0.15157253,0.48
apr_9145,16,21,0.18263498,0.15105169,0.481
apr_9145,16,22,0.18351321,0.15176511,0.48
apr_9145,16,23,0.1828786,0.15121964,0.481
apr_9145,16,24,0.18384494,0.15199918,0.478
apr_9145,16,25,0.18402115,0.15204778,0.478
apr_9145,16,26,0.1838074,0.15207376,0.479
apr_9145,16,27,0.18219325,0.15071794,0.4795
apr_9145,16,28,0.18311033,0.15138777,0.4795
apr_9145,16,29,0.18344837,0.15163088,0.481
apr_9145,16,30,0.18276095,0.15106484,0.4785
apr_9145,16,31,0.18284221,0.15121084,0.477
apr_9145,16,32,0.18334383,0.15170375,0.48
apr_9145,16,33,0.18328483,0.15142095,0.479
apr_9145,16,34,0.18222043,0.15058361,0.4765
apr_9145,16,35,0.18239659,0.1508397,0.482
apr_9145,16,36,0.18328236,0.1515566,0.4795
apr_9145,16,37,0.18360594,0.15185037,0.4835
apr_9145,16,38,0.18265398,0.1509289,0.48
apr_9145,16,39,0.18389846,0.15203854,0.48
apr_9145,16,40,0.1824658,0.15081455,0.4805
apr_9145,16,41,0.1837564,0.15204655,0.478
apr_9145,16,42,0.18255307,0.15085848,0.477
apr_9145,16,43,0.18382181,0.15204908,0.4805
apr_9145,16,44,0.18326464,0.1515161,0.48
apr_9145,16,45,0.18335453,0.1516168,0.4785
apr_9145,16,46,0.18280432,0.15105349,0.4785
apr_9145,16,47,0.18305515,0.1514137,0.476
apr_9145,16,48,0.18310437,0.15139388,0.478
apr_9145,16,49,0.18342398,0.15153918,0.4785
apr_9145,16,50,0.18228464,0.15063787,0.479
apr_9145,16,51,0.18327884,0.15154506,0.48
apr_9145,16,52,0.18197563,0.1502953,0.4805
apr_9145,16,53,0.18296707,0.15125051,0.479
apr_9145,16,54,0.18310095,0.1513749,0.48
apr_9145,16,55,0.18207423,0.15056142,0.4795
apr_9145,16,56,0.18288141,0.15116414,0.479
apr_9145,16,57,0.18314883,0.15137498,0.4785
apr_9145,16,58,0.18294832,0.15130596,0.4775
apr_9145,16,59,0.18331642,0.1516327,0.4775
apr_9145,16,60,0.18437785,0.15262534,0.479
apr_9145,16,61,0.18344031,0.15157911,0.482
apr_9145,16,62,0.18234396,0.15083142,0.4825
apr_9145,16,63,0.18362308,0.15182115,0.481
apr_9145,16,64,0.18273856,0.15097672,0.482
apr_9145,16,65,0.1833011,0.15156941,0.479
apr_9145,16,66,0.18251358,0.15092851,0.48
apr_9145,16,67,0.1826944,0.1510152,0.4775
apr_9145,16,68,0.18235457,0.15065919,0.481
apr_9145,16,69,0.18264726,0.15101436,0.4795
apr_9145,16,70,0.18230584,0.15059578,0.4795
apr_9145,16,71,0.18355165,0.15181851,0.4775
apr_9145,16,72,0.18372354,0.15185474,0.4795
apr_9145,16,73,0.18239988,0.15075995,0.4785
apr_9145,16,74,0.18251333,0.1508899,0.476
apr_9145,16,75,0.1841955,0.15232185,0.4795
apr_9145,16,76,0.18220203,0.15065756,0.4785
apr_9145,16,77,0.18400942,0.15216102,0.479
apr_9145,16,78,0.18278362,0.15119308,0.481
apr_9145,16,79,0.18264169,0.15104762,0.48
apr_9145,16,80,0.18249618,0.15091573,0.48
apr_9145,16,81,0.18318929,0.15148866,0.4805
apr_9145,16,82,0.1829951,0.15127909,0.4795
apr_9145,16,83,0.18352728,0.15176094,0.4805
apr_9145,16,84,0.18389137,0.15196522,0.4805
