token,stage,count
23e39302332152b2,raw,192
23e39302332152b2,hard_safety,192
23e39302332152b2,compatible,60
23e39302332152b2,quality,44
23e39302332152b2,local,44
23e39302332152b2,global_front2,0
23e39302332152b2,conditional_front2,2
411a748874035630,raw,192
411a748874035630,hard_safety,169
411a748874035630,compatible,28
411a748874035630,quality,28
411a748874035630,local,28
411a748874035630,global_front2,28
411a748874035630,conditional_front2,28
79ebfc1d85bf5a51,raw,192
79ebfc1d85bf5a51,hard_safety,188
79ebfc1d85bf5a51,compatible,32
79ebfc1d85bf5a51,quality,24
79ebfc1d85bf5a51,local,24
79ebfc1d85bf5a51,global_front2,0
79ebfc1d85bf5a51,conditional_front2,2
40808270ce205b83,raw,192
40808270ce205b83,hard_safety,192
40808270ce205b83,compatible,30
40808270ce205b83,quality,20
40808270ce205b83,local,20
40808270ce205b83,global_front2,0
40808270ce205b83,conditional_front2,2
86208267d61253c0,raw,192
86208267d61253c0,hard_safety,192
86208267d61253c0,compatible,34
86208267d61253c0,quality,32
86208267d61253c0,local,32
86208267d61253c0,global_front2,32
86208267d61253c0,conditional_front2,32
f8268857204e554e,raw,192
f8268857204e554e,hard_safety,192
f8268857204e554e,compatible,31
f8268857204e554e,quality,19
f8268857204e554e,local,19
f8268857204e554e,global_front2,0
f8268857204e554e,conditional_front2,2
1bf169a6aaf65858,raw,192
1bf169a6aaf65858,hard_safety,191
1bf169a6aaf65858,compatible,35
1bf169a6aaf65858,quality,35
1bf169a6aaf65858,local,35
1bf169a6aaf65858,global_front2,35
1bf169a6aaf65858,conditional_front2,35
3764407c90d65df3,raw,192
3764407c90d65df3,hard_safety,192
3764407c90d65df3,compatible,35
3764407c90d65df3,quality,25
3764407c90d65df3,local,25
3764407c90d65df3,global_front2,0
3764407c90d65df3,conditional_front2,2
38cfd81687975661,raw,192
38cfd81687975661,hard_safety,192
38cfd81687975661,compatible,37
38cfd81687975661,quality,23
38cfd81687975661,local,22
38cfd81687975661,global_front2,0
38cfd81687975661,conditional_front2,2
42e6895442ab5601,raw,192
42e6895442ab5601,hard_safety,191
42e6895442ab5601,compatible,32
42e6895442ab5601,quality,32
42e6895442ab5601,local,32
42e6895442ab5601,global_front2,32
42e6895442ab5601,conditional_front2,32
b34272d337d350d2,raw,192
b34272d337d350d2,hard_safety,192
b34272d337d350d2,compatible,29
b34272d337d350d2,quality,25
b34272d337d350d2,local,25
b34272d337d350d2,global_front2,0
b34272d337d350d2,conditional_front2,2
b23ede9a183b5b71,raw,192
b23ede9a183b5b71,hard_safety,192
b23ede9a183b5b71,compatible,29
b23ede9a183b5b71,quality,20
b23ede9a183b5b71,local,20
b23ede9a183b5b71,global_front2,0
b23ede9a183b5b71,conditional_front2,2
fff951eab9f45288,raw,192
fff951eab9f45288,hard_safety,192
fff951eab9f45288,compatible,71
fff951eab9f45288,quality,59
fff951eab9f45288,local,59
fff951eab9f45288,global_front2,0
fff951eab9f45288,conditional_front2,2
4fa9113617d254d4,raw,192
4fa9113617d254d4,hard_safety,192
4fa9113617d254d4,compatible,37
4fa9113617d254d4,quality,37
4fa9113617d254d4,local,37
4fa9113617d254d4,global_front2,37
4fa9113617d254d4,conditional_front2,37
988785170de957da,raw,192
988785170de957da,hard_safety,192
988785170de957da,compatible,34
988785170de957da,quality,27
988785170de957da,local,27
988785170de957da,global_front2,0
988785170de957da,conditional_front2,2
046b1cc13f0d5f9d,raw,192
046b1cc13f0d5f9d,hard_safety,192
046b1cc13f0d5f9d,compatible,32
046b1cc13f0d5f9d,quality,32
046b1cc13f0d5f9d,local,32
046b1cc13f0d5f9d,global_front2,32
046b1cc13f0d5f9d,conditional_front2,32
d7fbd35a0f315447,raw,192
d7fbd35a0f315447,hard_safety,192
d7fbd35a0f315447,compatible,39
d7fbd35a0f315447,quality,16
d7fbd35a0f315447,local,16
d7fbd35a0f315447,global_front2,0
d7fbd35a0f315447,conditional_front2,2
951957b841e05cfa,raw,192
951957b841e05cfa,hard_safety,191
951957b841e05cfa,compatible,30
951957b841e05cfa,quality,25
951957b841e05cfa,local,25
951957b841e05cfa,global_front2,0
951957b841e05cfa,conditional_front2,2
61db822891625c3b,raw,192
61db822891625c3b,hard_safety,192
61db822891625c3b,compatible,28
61db822891625c3b,quality,23
61db822891625c3b,local,23
61db822891625c3b,global_front2,0
61db822891625c3b,conditional_front2,2
759e9e451eba5b47,raw,192
759e9e451eba5b47,hard_safety,192
759e9e451eba5b47,compatible,42
759e9e451eba5b47,quality,37
759e9e451eba5b47,local,37
759e9e451eba5b47,global_front2,0
759e9e451eba5b47,conditional_front2,2
9c05edf9d6e85716,raw,192
9c05edf9d6e85716,hard_safety,192
9c05edf9d6e85716,compatible,40
9c05edf9d6e85716,quality,25
9c05edf9d6e85716,local,25
9c05edf9d6e85716,global_front2,0
9c05edf9d6e85716,conditional_front2,2
