method,contrast,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
score,conditional_pc_minus_baseline,strict_selected_count,1000,14.039,16.0,13.750974999999999,14.314025,16.0,16.0,0.953
score,conditional_pc_minus_baseline,unique_candidate_count,1000,-0.792,0.0,-1.001075,-0.582,0.0,0.0,0.0
score,conditional_pc_minus_baseline,PDMS,962,-2.3709613050191387,-1.1437467400867902,-2.5849972986346224,-2.153885402508829,-1.3282437328001042,-0.8503177310393113,0.0
score,conditional_pc_minus_baseline,scene_has_4,1000,0.852,1.0,0.829,0.874,1.0,1.0,0.852
score,conditional_pc_minus_baseline,scene_has_8,1000,0.879,1.0,0.858,0.9,1.0,1.0,0.879
score,conditional_pc_minus_baseline,scene_has_16,1000,0.914,1.0,0.895,0.931,1.0,1.0,0.914
pareto,conditional_pc_minus_baseline,strict_selected_count,1000,13.865,15.0,13.61195,14.101,15.0,16.0,0.955
pareto,conditional_pc_minus_baseline,unique_candidate_count,1000,-0.792,0.0,-1.002,-0.5889749999999999,0.0,0.0,0.0
pareto,conditional_pc_minus_baseline,PDMS,962,-2.1542733755210457,-1.0767954161237014,-2.407594025183301,-1.9134242417761331,-1.3057756597811618,-0.8057648791890415,0.017671517671517672
pareto,conditional_pc_minus_baseline,scene_has_4,1000,0.886,1.0,0.866,0.906,1.0,1.0,0.886
pareto,conditional_pc_minus_baseline,scene_has_8,1000,0.908,1.0,0.89,0.925,1.0,1.0,0.908
pareto,conditional_pc_minus_baseline,scene_has_16,1000,0.915,1.0,0.897,0.932,1.0,1.0,0.915
gt_distance,conditional_pc_minus_baseline,strict_selected_count,1000,12.203,14.0,11.89495,12.496025000000001,14.0,15.0,0.932
gt_distance,conditional_pc_minus_baseline,unique_candidate_count,1000,-0.792,0.0,-1.013,-0.585,0.0,0.0,0.0
gt_distance,conditional_pc_minus_baseline,PDMS,962,-0.8258721156850132,-0.07661322715032526,-0.9865361858599329,-0.6611351484949365,-0.20544543541910512,0.0,0.11746361746361747
gt_distance,conditional_pc_minus_baseline,scene_has_4,1000,0.704,1.0,0.675,0.732,1.0,1.0,0.704
gt_distance,conditional_pc_minus_baseline,scene_has_8,1000,0.808,1.0,0.784,0.832,1.0,1.0,0.808
gt_distance,conditional_pc_minus_baseline,scene_has_16,1000,0.894,1.0,0.874,0.912,1.0,1.0,0.894
old_pc,conditional_pc_minus_baseline,strict_selected_count,1000,8.81,15.0,8.374975,9.255025000000002,15.0,15.0,0.614
old_pc,conditional_pc_minus_baseline,unique_candidate_count,1000,8.833,15.0,8.390975,9.28905,15.0,15.0,0.607
old_pc,conditional_pc_minus_baseline,PDMS,962,-0.4451434026118887,-0.2756644343410386,-0.4814447720501074,-0.40970123756296023,-0.310505003154571,-0.23946724507643802,0.006237006237006237
old_pc,conditional_pc_minus_baseline,scene_has_4,1000,0.592,1.0,0.562,0.622,1.0,1.0,0.592
old_pc,conditional_pc_minus_baseline,scene_has_8,1000,0.592,1.0,0.562,0.623,1.0,1.0,0.592
old_pc,conditional_pc_minus_baseline,scene_has_16,1000,0.583,1.0,0.554,0.612,1.0,1.0,0.583
