feasibility,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
conservative,fraction_within_oracle_0.25,1000,0.42,0.0,0.39,0.4500250000000001,0.0,0.0,0.42
conservative,fraction_within_oracle_0.5,1000,0.445,0.0,0.414,0.476,0.0,0.0,0.445
conservative,fraction_within_oracle_1.0,1000,0.498,0.0,0.466,0.529,0.0,1.0,0.498
conservative,boundary_headroom,959,0.20733906688070475,0.028290057025898818,0.18300962751875988,0.23222870358216693,0.0,0.0705683471358185,0.5245046923879041
conservative,boundary_headroom_positive_full1000,1000,0.503,1.0,0.472,0.5340250000000001,0.0,1.0,0.503
conservative,boundary_gain_over_reference,962,1.9647494092861912,0.6095151639083554,1.3997088256534442,2.6385867894486585,0.5383975275378319,0.6824391170302567,0.6476091476091476
conservative,boundary_gain_over_reference_positive_full1000,1000,0.623,1.0,0.595,0.653,1.0,1.0,0.623
structural,fraction_within_oracle_0.25,1000,0.432,0.0,0.399,0.463,0.0,0.0,0.432
structural,fraction_within_oracle_0.5,1000,0.455,0.0,0.425,0.487,0.0,0.0,0.455
structural,fraction_within_oracle_1.0,1000,0.509,1.0,0.477,0.54,0.0,1.0,0.509
structural,boundary_headroom,990,0.2864697563463211,0.02496857858185564,0.19263102637630006,0.4225782834704047,0.0,0.06779034451466259,0.5212121212121212
structural,boundary_headroom_positive_full1000,1000,0.516,1.0,0.485,0.546,0.0,1.0,0.516
structural,boundary_gain_over_reference,991,2.0213952202171166,0.6016814894303764,1.4481571142939669,2.6750739898116147,0.5282851153505987,0.6730280564983917,0.6427850655903128
structural,boundary_gain_over_reference_positive_full1000,1000,0.637,1.0,0.607,0.666,1.0,1.0,0.637
