query_id,token,raw_index,protocol,epsilon_prediction_mse,E_rec,return_rate
primary:0056ae51961f5a18:129:133:near,0056ae51961f5a18,129,primary,0.00027285083,0.119896084,1.0
primary:0056ae51961f5a18:129:133:far,0056ae51961f5a18,133,primary,0.00027228842,0.119909905,1.0
primary:0056ae51961f5a18:141:137:near,0056ae51961f5a18,141,primary,7.2510804e-05,0.11934207,0.8333333333333334
primary:0056ae51961f5a18:141:137:far,0056ae51961f5a18,137,primary,7.410874e-05,0.123561226,0.8333333333333334
primary:0056ae51961f5a18:0:1:near,0056ae51961f5a18,0,primary,6.1021783e-05,0.17111541,1.0
primary:0056ae51961f5a18:0:1:far,0056ae51961f5a18,1,primary,0.0004151677,0.17556317,1.0
primary:0056ae51961f5a18:6:2:near,0056ae51961f5a18,6,primary,0.00017980477,0.17822261,1.0
primary:0056ae51961f5a18:6:2:far,0056ae51961f5a18,2,primary,4.088025e-05,0.1837679,1.0
primary:0056ae51961f5a18:7:3:near,0056ae51961f5a18,7,primary,4.2905285e-05,0.19189934,0.8333333333333334
primary:0056ae51961f5a18:7:3:far,0056ae51961f5a18,3,primary,0.00016136607,0.19220729,0.8333333333333334
primary:0056ae51961f5a18:8:4:near,0056ae51961f5a18,8,primary,0.00025617768,0.1804349,1.0
primary:0056ae51961f5a18:8:4:far,0056ae51961f5a18,4,primary,6.464666e-05,0.19157171,1.0
primary:0056ae51961f5a18:10:5:near,0056ae51961f5a18,10,primary,0.005603697,0.17031209,1.0
primary:0056ae51961f5a18:10:5:far,0056ae51961f5a18,5,primary,0.0010276134,0.18270111,1.0
primary:0056ae51961f5a18:26:9:near,0056ae51961f5a18,26,primary,0.001710339,0.16180848,1.0
primary:0056ae51961f5a18:26:9:far,0056ae51961f5a18,9,primary,0.0039377464,0.17055957,1.0
primary:0056ae51961f5a18:27:11:near,0056ae51961f5a18,27,primary,0.0014450899,0.12067809,1.0
primary:0056ae51961f5a18:27:11:far,0056ae51961f5a18,11,primary,0.072027296,0.16285364,1.0
primary:0056ae51961f5a18:28:12:near,0056ae51961f5a18,28,primary,0.0017795213,0.16538285,1.0
primary:0056ae51961f5a18:28:12:far,0056ae51961f5a18,12,primary,0.079771474,0.2069314,1.0
primary:0056ae51961f5a18:29:13:near,0056ae51961f5a18,29,primary,0.0007592869,0.21543528,1.0
primary:0056ae51961f5a18:29:13:far,0056ae51961f5a18,13,primary,0.006010244,0.22824895,1.0
primary:0056ae51961f5a18:30:14:near,0056ae51961f5a18,30,primary,0.0034306908,0.16312979,1.0
primary:0056ae51961f5a18:30:14:far,0056ae51961f5a18,14,primary,0.011186867,0.18429731,1.0
primary:0056ae51961f5a18:33:45:near,0056ae51961f5a18,33,primary,0.000188275,0.12531862,1.0
primary:0056ae51961f5a18:33:45:far,0056ae51961f5a18,45,primary,0.00035179578,0.18866499,0.8333333333333334
primary:005a44fa33b55e7b:160:168:near,005a44fa33b55e7b,160,primary,0.0005587849,0.19356133,1.0
primary:005a44fa33b55e7b:160:168:far,005a44fa33b55e7b,168,primary,0.00087982113,0.29094073,0.8333333333333334
primary:005a44fa33b55e7b:132:128:near,005a44fa33b55e7b,132,primary,0.00014731925,0.23058844,1.0
primary:005a44fa33b55e7b:132:128:far,005a44fa33b55e7b,128,primary,0.00014856583,0.23371546,1.0
primary:005a44fa33b55e7b:136:140:near,005a44fa33b55e7b,136,primary,0.028069606,0.19721071,1.0
primary:005a44fa33b55e7b:136:140:far,005a44fa33b55e7b,140,primary,0.028449247,0.20013885,1.0
primary:005a44fa33b55e7b:152:144:near,005a44fa33b55e7b,152,primary,0.00035034324,0.23695053,0.8333333333333334
primary:005a44fa33b55e7b:152:144:far,005a44fa33b55e7b,144,primary,0.00035783654,0.23854764,0.8333333333333334
primary:005a44fa33b55e7b:33:44:near,005a44fa33b55e7b,33,primary,0.00057525316,0.25217965,0.8333333333333334
primary:005a44fa33b55e7b:33:44:far,005a44fa33b55e7b,44,primary,0.0008353569,0.41844377,0.3333333333333333
primary:006cbccbfae95262:33:36:near,006cbccbfae95262,33,primary,9.418478e-05,0.21679531,0.8333333333333334
primary:006cbccbfae95262:33:36:far,006cbccbfae95262,36,primary,8.0130936e-05,0.24203731,0.8333333333333334
primary:006cbccbfae95262:34:38:near,006cbccbfae95262,34,primary,0.00090452627,0.26010412,1.0
primary:006cbccbfae95262:34:38:far,006cbccbfae95262,38,primary,0.0013649106,0.33470073,0.8333333333333334
primary:006cbccbfae95262:37:62:near,006cbccbfae95262,37,primary,0.0048011206,0.21687192,1.0
primary:006cbccbfae95262:37:62:far,006cbccbfae95262,62,primary,0.007209695,0.29659632,1.0
primary:007505437ed45b53:132:140:near,007505437ed45b53,132,primary,0.00014203583,0.15162568,1.0
primary:007505437ed45b53:132:140:far,007505437ed45b53,140,primary,0.00012648807,0.14948714,1.0
primary:007505437ed45b53:148:144:near,007505437ed45b53,148,primary,0.0006807505,0.13595667,1.0
primary:007505437ed45b53:148:144:far,007505437ed45b53,144,primary,0.0006801798,0.13944694,1.0
primary:007505437ed45b53:33:44:near,007505437ed45b53,33,primary,0.00018608227,0.15586537,0.8333333333333334
primary:007505437ed45b53:33:44:far,007505437ed45b53,44,primary,0.000267184,0.1906842,0.8333333333333334
primary:007505437ed45b53:45:40:near,007505437ed45b53,45,primary,0.0012906647,0.1486947,1.0
primary:007505437ed45b53:45:40:far,007505437ed45b53,40,primary,0.0010846996,0.20332481,1.0
primary:008a9f9434c75b99:34:36:near,008a9f9434c75b99,34,primary,0.00018892744,0.17824416,1.0
primary:008a9f9434c75b99:34:36:far,008a9f9434c75b99,36,primary,0.0002471435,0.2410652,0.8333333333333334
primary:008a9f9434c75b99:35:38:near,008a9f9434c75b99,35,primary,0.0018904287,0.1948845,1.0
primary:008a9f9434c75b99:35:38:far,008a9f9434c75b99,38,primary,0.0030403952,0.24046618,0.8333333333333334
primary:008a9f9434c75b99:37:43:near,008a9f9434c75b99,37,primary,5.652559e-05,0.14064895,1.0
primary:008a9f9434c75b99:37:43:far,008a9f9434c75b99,43,primary,6.9525886e-05,0.20508404,1.0
primary:008a9f9434c75b99:40:48:near,008a9f9434c75b99,40,primary,0.00039573078,0.20306797,0.8333333333333334
primary:008a9f9434c75b99:40:48:far,008a9f9434c75b99,48,primary,0.0013128067,0.25728518,0.6666666666666666
