pair_id,protocol,gap_limit,token,exact_source,NC,DAC,near_region,near_index,far_index,PDMS_gap,near_PDMS,far_PDMS,near_q,far_q,near_r_knn,far_r_knn,common_noise_key
primary:0056ae51961f5a18:129:133,primary,0.25,0056ae51961f5a18,Bridge-0.4_mts_8692,1.0,1.0,boundary,129,133,0.0,100.0,100.0,94.53125,95.3125,2.530156028816688,2.5648060680990223,primary:0056ae51961f5a18:129:133
primary:0056ae51961f5a18:141:137,primary,0.25,0056ae51961f5a18,Bridge-0.4_mts_8692,1.0,1.0,boundary,141,137,0.0,100.0,100.0,94.53125,95.3125,2.3290183791989927,2.5617608407304067,primary:0056ae51961f5a18:141:137
primary:0056ae51961f5a18:0:1,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,0,1,0.0,100.0,100.0,94.53125,96.09375,2.5325750095652224,3.0060255495486117,primary:0056ae51961f5a18:0:1
primary:0056ae51961f5a18:6:2,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,6,2,0.0,100.0,100.0,91.40625,95.3125,1.8610623000613755,2.7153515767887875,primary:0056ae51961f5a18:6:2
primary:0056ae51961f5a18:7:3,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,7,3,0.0,100.0,100.0,94.53125,96.09375,2.500934123825403,2.9956547443030996,primary:0056ae51961f5a18:7:3
primary:0056ae51961f5a18:8:4,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,8,4,0.0,100.0,100.0,91.40625,95.3125,1.8642232235114469,2.8065921012866366,primary:0056ae51961f5a18:8:4
primary:0056ae51961f5a18:10:5,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,10,5,0.0,100.0,100.0,91.40625,96.875,1.9245335945218704,3.1215154824626525,primary:0056ae51961f5a18:10:5
primary:0056ae51961f5a18:26:9,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,26,9,0.0,100.0,100.0,91.40625,97.65625,2.121105601205849,3.6483453195993736,primary:0056ae51961f5a18:26:9
primary:0056ae51961f5a18:27:11,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,27,11,0.0,100.0,100.0,94.53125,99.21875,2.4395367679559454,5.127686798895646,primary:0056ae51961f5a18:27:11
primary:0056ae51961f5a18:28:12,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,28,12,0.0,100.0,100.0,91.40625,97.65625,2.1203343560981103,3.7345717451119658,primary:0056ae51961f5a18:28:12
primary:0056ae51961f5a18:29:13,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,29,13,0.0,100.0,100.0,94.53125,99.21875,2.4322852516539726,5.1050869470995135,primary:0056ae51961f5a18:29:13
primary:0056ae51961f5a18:30:14,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,30,14,0.0,100.0,100.0,91.40625,99.21875,1.9903673742467678,5.015300324559765,primary:0056ae51961f5a18:30:14
primary:0056ae51961f5a18:33:45,primary,0.25,0056ae51961f5a18,IL-native,1.0,1.0,boundary,33,45,0.0,100.0,100.0,68.75,99.21875,1.1438606250020937,4.965769300095363,primary:0056ae51961f5a18:33:45
primary:005a44fa33b55e7b:160:168,primary,0.25,005a44fa33b55e7b,Bridge-0.2_grpo_9041,1.0,1.0,boundary,160,168,0.0,100.0,100.0,78.125,96.09375,1.1658731083698959,1.815221440000476,primary:005a44fa33b55e7b:160:168
primary:005a44fa33b55e7b:132:128,primary,0.25,005a44fa33b55e7b,Bridge-0.2_mts_8692,1.0,1.0,boundary,132,128,0.0,100.0,100.0,94.53125,95.3125,1.4571847178117356,1.5135974840944217,primary:005a44fa33b55e7b:132:128
primary:005a44fa33b55e7b:136:140,primary,0.25,005a44fa33b55e7b,Bridge-0.2_mts_8692,1.0,1.0,boundary,136,140,0.0,100.0,100.0,94.53125,95.3125,1.4216036711170355,1.478000335319235,primary:005a44fa33b55e7b:136:140
primary:005a44fa33b55e7b:152:144,primary,0.25,005a44fa33b55e7b,Bridge-0.2_mts_8751,1.0,1.0,boundary,152,144,0.0,100.0,100.0,94.53125,95.3125,1.4379057017157912,1.5367963824379824,primary:005a44fa33b55e7b:152:144
primary:005a44fa33b55e7b:33:44,primary,0.25,005a44fa33b55e7b,IL-native,1.0,1.0,boundary,33,44,0.0,100.0,100.0,85.9375,98.4375,1.2657094655443297,2.4005891164604036,primary:005a44fa33b55e7b:33:44
primary:006cbccbfae95262:33:36,primary,0.25,006cbccbfae95262,IL-native,1.0,1.0,boundary,33,36,0.0,100.0,100.0,53.90625,97.65625,1.0214405066095735,1.5564614624340016,primary:006cbccbfae95262:33:36
