pair_id,protocol,gap_limit,token,exact_source,NC,DAC,near_region,near_index,far_index,PDMS_gap,near_PDMS,far_PDMS,near_q,far_q,near_r_knn,far_r_knn,common_noise_key,near_diffusion_loss,far_diffusion_loss,delta_diffusion_loss,near_loss_t20,far_loss_t20,delta_loss_t20,near_loss_t50,far_loss_t50,delta_loss_t50,near_loss_t80,far_loss_t80,delta_loss_t80,near_E_rec,far_E_rec,delta_E_rec,near_return_rate,far_return_rate,delta_return_rate
primary:0056ae51961f5a18:129:133,primary,0.25,0056ae51961f5a18,Bridge-0.4_mts_8692,1.0,1.0,boundary,129,133,0.0,100.0,100.0,94.53125,95.3125,2.530156028816688,2.5648060680990223,primary:0056ae51961f5a18:129:133,0.00027285083,0.00027228842,-5.624024e-07,0.0002374535,0.00023804157,5.88072e-07,3.76897e-05,3.764019e-05,-4.9509254e-08,9.5102705e-06,9.508996e-06,-1.2742021e-09,0.119896084,0.119909905,1.3820827e-05,1.0,1.0,0.0
primary:0056ae51961f5a18:141:137,primary,0.25,0056ae51961f5a18,Bridge-0.4_mts_8692,1.0,1.0,boundary,141,137,0.0,100.0,100.0,94.53125,95.3125,2.3290183791989927,2.5617608407304067,primary:0056ae51961f5a18:141:137,7.2510804e-05,7.410874e-05,1.5979385e-06,0.0002034259,0.00020703455,3.6086567e-06,1.88271e-05,1.9145242e-05,3.1814125e-07,9.517316e-06,9.5376e-06,2.028355e-08,0.11934207,0.123561226,0.0042191595,0.8333333333333334,0.8333333333333334,0.0
primary:0056ae51961f5a18:0:1,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,0,1,0.0,100.0,100.0,94.53125,96.09375,2.5325750095652224,3.006025549548612,primary:0056ae51961f5a18:0:1,6.1021783e-05,0.0004151677,0.00035414594,6.270502e-05,0.00039374075,0.00033103573,2.3151206e-05,6.0074053e-05,3.6922847e-05,8.564341e-06,1.4246043e-05,5.6817016e-06,0.17111541,0.17556317,0.004447758,1.0,1.0,0.0
primary:0056ae51961f5a18:6:2,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,6,2,0.0,100.0,100.0,91.40625,95.3125,1.8610623000613755,2.7153515767887875,primary:0056ae51961f5a18:6:2,0.00017980477,4.088025e-05,-0.00013892452,0.0016107396,0.00027951598,-0.0013312236,0.00020566737,5.412335e-05,-0.00015154402,3.2084205e-05,1.637718e-05,-1.5707024e-05,0.17822261,0.1837679,0.0055452883,1.0,1.0,0.0
primary:0056ae51961f5a18:7:3,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,7,3,0.0,100.0,100.0,94.53125,96.09375,2.500934123825403,2.9956547443031,primary:0056ae51961f5a18:7:3,4.2905285e-05,0.00016136607,0.00011846078,0.00010410542,0.00028721936,0.00018311394,2.38633e-05,4.2482054e-05,1.8618754e-05,2.2639339e-05,2.533571e-05,2.6963717e-06,0.19189934,0.19220729,0.0003079474,0.8333333333333334,0.8333333333333334,0.0
primary:0056ae51961f5a18:8:4,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,8,4,0.0,100.0,100.0,91.40625,95.3125,1.8642232235114469,2.8065921012866366,primary:0056ae51961f5a18:8:4,0.00025617768,6.464666e-05,-0.00019153103,0.0016480898,0.00037493836,-0.0012731515,0.00018382275,7.279456e-05,-0.00011102819,6.3366606e-05,4.166905e-05,-2.1697557e-05,0.1804349,0.19157171,0.011136815,1.0,1.0,0.0
primary:0056ae51961f5a18:10:5,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,10,5,0.0,100.0,100.0,91.40625,96.875,1.9245335945218704,3.1215154824626525,primary:0056ae51961f5a18:10:5,0.005603697,0.0010276134,-0.0045760837,0.0040861806,0.00071149407,-0.0033746865,0.0004949046,0.000106173,-0.0003887316,7.0971364e-05,3.326649e-05,-3.7704875e-05,0.17031209,0.18270111,0.012389019,1.0,1.0,0.0
primary:0056ae51961f5a18:26:9,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,26,9,0.0,100.0,100.0,91.40625,97.65625,2.121105601205849,3.6483453195993736,primary:0056ae51961f5a18:26:9,0.001710339,0.0039377464,0.0022274074,0.00033443852,0.0007663432,0.0004319047,4.241562e-05,0.00010989823,6.7482615e-05,1.5201676e-05,1.7876293e-05,2.6746166e-06,0.16180848,0.17055957,0.008751094,1.0,1.0,0.0
primary:0056ae51961f5a18:27:11,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,27,11,0.0,100.0,100.0,94.53125,99.21875,2.439536767955945,5.127686798895646,primary:0056ae51961f5a18:27:11,0.0014450899,0.072027296,0.0705822,4.9930546e-05,0.0028218862,0.0027719557,1.9627503e-05,0.00036256682,0.0003429393,8.798074e-06,3.8676626e-05,2.9878553e-05,0.12067809,0.16285364,0.042175554,1.0,1.0,0.0
primary:0056ae51961f5a18:28:12,primary,0.25,0056ae51961f5a18,GT,1.0,1.0,boundary,28,12,0.0,100.0,100.0,91.40625,97.65625,2.1203343560981103,3.7345717451119658,primary:0056ae51961f5a18:28:12,0.0017795213,0.079771474,0.077991955,0.00032486473,0.01570517,0.015380305,4.5014815e-05,0.0018613786,0.0018163638,2.7698781e-05,0.0002579089,0.0002302101,0.16538285,0.2069314,0.04154855,1.0,1.0,0.0
