token,method,raw_index,loss,region,q_holdout,PDMS,exact_source,gradient_norm,reference_norm,cosine,dot,predicted_delta_L_ref
68f3beae8cd25dba,score,115,0.0010281401919201016,far,100.0,99.20866055309403,apr_9145,0.9262117743492126,0.2165636122226715,0.989541244191807,0.19848591089248657,-1.9848591089248657e-06
68f3beae8cd25dba,pareto,115,0.0010281401919201016,far,100.0,99.20866055309403,apr_9145,0.9262117743492126,0.2165636122226715,0.989541244191807,0.19848591089248657,-1.9848591089248657e-06
68f3beae8cd25dba,gt_distance,22,0.00013135762128513306,far,100.0,98.10353456711908,GT,0.19877636432647705,0.2165636122226715,0.7842296298750462,0.03375930339097977,-3.375930339097977e-07
68f3beae8cd25dba,old_pc,51,9.798032624530606e-05,boundary,79.6875,97.70289158852198,IL-native,0.2055627554655075,0.2165636122226715,0.9790501312367125,0.043584778904914856,-4.358477890491486e-07
68f3beae8cd25dba,conditional_pc,51,9.798032624530606e-05,boundary,79.6875,97.70289158852198,IL-native,0.2055627554655075,0.2165636122226715,0.9790501312367125,0.043584778904914856,-4.358477890491486e-07
fead2572a884512c,score,0,6.0958343055972364e-05,far,100.0,100.0,GT,0.060831233859062195,0.026621844619512558,0.10394545853703457,0.00016833339759614319,-1.683333975961432e-09
fead2572a884512c,score,1,6.332241264317418e-05,far,100.0,100.0,GT,0.06971582770347595,0.026621844619512558,0.030990805072506195,5.7517816458130255e-05,-5.751781645813026e-10
fead2572a884512c,score,2,6.283460243139416e-05,far,100.0,100.0,GT,0.06323034316301346,0.026621844619512558,0.11504521159759099,0.00019365656771697104,-1.9365656771697104e-09
fead2572a884512c,score,3,6.313890480669215e-05,far,100.0,100.0,GT,0.06832839548587799,0.026621844619512558,0.04083408317936997,7.427833770634606e-05,-7.427833770634607e-10
fead2572a884512c,pareto,0,6.0958343055972364e-05,far,100.0,100.0,GT,0.060831233859062195,0.026621844619512558,0.10394545853703457,0.00016833339759614319,-1.683333975961432e-09
fead2572a884512c,pareto,122,0.001301337921177037,far,100.0,100.0,apr_9145,0.9304671883583069,0.026621844619512558,0.3948517750097918,0.009780775755643845,-9.780775755643846e-08
fead2572a884512c,pareto,120,0.0004300987275200896,far,100.0,100.0,apr_9145,0.5490971803665161,0.026621844619512558,0.4529060171288695,0.00662057101726532,-6.62057101726532e-08
fead2572a884512c,pareto,101,0.00024250508977274876,far,100.0,100.0,grpo_9041,0.43616801500320435,0.026621844619512558,0.40644669785662574,0.004719495307654142,-4.7194953076541426e-08
fead2572a884512c,gt_distance,0,6.0958343055972364e-05,far,100.0,100.0,GT,0.060831233859062195,0.026621844619512558,0.10394545853703457,0.00016833339759614319,-1.683333975961432e-09
fead2572a884512c,gt_distance,184,0.00015694762078055646,far,100.0,100.0,Bridge-0.2_apr_9145,0.30333659052848816,0.026621844619512558,0.3638531348217646,0.0029382521752268076,-2.9382521752268078e-08
fead2572a884512c,gt_distance,101,0.00024250508977274876,far,100.0,100.0,grpo_9041,0.43616801500320435,0.026621844619512558,0.40644669785662574,0.004719495307654142,-4.7194953076541426e-08
fead2572a884512c,gt_distance,110,0.00028504105284810066,far,100.0,100.0,grpo_9041,0.4664861857891083,0.026621844619512558,0.46570734244992523,0.0057834903709590435,-5.783490370959044e-08
fead2572a884512c,old_pc,34,2.0864624730165815e-05,boundary,78.125,100.0,IL-native,0.06607075780630112,0.026621844619512558,0.5667670316715387,0.0009969009552150965,-9.969009552150966e-09
fead2572a884512c,old_pc,46,2.8355855647532735e-05,boundary,75.78125,100.0,IL-native,0.07974760234355927,0.026621844619512558,0.13728786254493888,0.0002914660144597292,-2.914660144597292e-09
fead2572a884512c,old_pc,152,3.560147342795972e-05,boundary,86.71875,100.0,Bridge-0.2_mts_8751,0.026521222665905952,0.026621844619512558,0.935373122426764,0.0006604144582524896,-6.604144582524896e-09
fead2572a884512c,old_pc,47,4.594198617269285e-05,boundary,65.625,100.0,IL-native,0.0922631099820137,0.026621844619512558,0.49780135626144856,0.0012227067491039634,-1.2227067491039635e-08
fead2572a884512c,conditional_pc,34,2.0864624730165815e-05,boundary,78.125,100.0,IL-native,0.06607075780630112,0.026621844619512558,0.5667670316715387,0.0009969009552150965,-9.969009552150966e-09
fead2572a884512c,conditional_pc,46,2.8355855647532735e-05,boundary,75.78125,100.0,IL-native,0.07974760234355927,0.026621844619512558,0.13728786254493888,0.0002914660144597292,-2.914660144597292e-09
fead2572a884512c,conditional_pc,152,3.560147342795972e-05,boundary,86.71875,100.0,Bridge-0.2_mts_8751,0.026521222665905952,0.026621844619512558,0.935373122426764,0.0006604144582524896,-6.604144582524896e-09
fead2572a884512c,conditional_pc,47,4.594198617269285e-05,boundary,65.625,100.0,IL-native,0.0922631099820137,0.026621844619512558,0.49780135626144856,0.0012227067491039634,-1.2227067491039635e-08
c7009bf1a2025be7,score,97,0.00010380102685303427,far,100.0,98.46754022697834,grpo_9041,0.26483699679374695,0.03955062851309776,0.4886762256417194,0.005118624307215214,-5.118624307215214e-08
c7009bf1a2025be7,pareto,97,0.00010380102685303427,far,100.0,98.46754022697834,grpo_9041,0.26483699679374695,0.03955062851309776,0.4886762256417194,0.005118624307215214,-5.118624307215214e-08
c7009bf1a2025be7,gt_distance,34,1.9219182831875514e-05,boundary,56.25,97.48483277983372,IL-native,0.08056674897670746,0.03955062851309776,0.767659806981744,0.002446121536195278,-2.4461215361952784e-08
c7009bf1a2025be7,old_pc,34,1.9219182831875514e-05,boundary,56.25,97.48483277983372,IL-native,0.08056674897670746,0.03955062851309776,0.767659806981744,0.002446121536195278,-2.4461215361952784e-08
c7009bf1a2025be7,conditional_pc,34,1.9219182831875514e-05,boundary,56.25,97.48483277983372,IL-native,0.08056674897670746,0.03955062851309776,0.767659806981744,0.002446121536195278,-2.4461215361952784e-08
6ca255559e0350a5,score,82,0.2591146660706727,far,100.0,95.60961958522967,mts_8751,11.330255508422852,1.5468546152114868,0.7778844066523128,13.633402824401855,-0.00013633402824401856
6ca255559e0350a5,pareto,82,0.2591146660706727,far,100.0,95.60961958522967,mts_8751,11.330255508422852,1.5468546152114868,0.7778844066523128,13.633402824401855,-0.00013633402824401856
6ca255559e0350a5,gt_distance,178,0.06433053807541,far,100.0,92.6065867235988,Bridge-0.6_apr_9145,5.39877986907959,1.5468546152114868,0.8756448208420405,7.312621593475342,-7.312621593475343e-05
6ca255559e0350a5,old_pc,51,0.011292702854461822,boundary,78.125,91.46894289490565,IL-native,1.987516164779663,1.5468546152114868,0.6739847625716148,2.0720977783203125,-2.0720977783203127e-05
6ca255559e0350a5,conditional_pc,51,0.011292702854461822,boundary,78.125,91.46894289490565,IL-native,1.987516164779663,1.5468546152114868,0.6739847625716148,2.0720977783203125,-2.0720977783203127e-05
a3d8003852145a71,score,32,6.864176066301297e-05,core,7.03125,100.0,IL-native,0.15076902508735657,0.14554360508918762,0.9796999193363874,0.02149801328778267,-2.149801328778267e-07
a3d8003852145a71,score,33,4.8544054152444005e-05,core,7.03125,100.0,IL-native,0.11159124970436096,0.14554360508918762,0.9188501853566439,0.014923406764864922,-1.4923406764864923e-07
a3d8003852145a71,score,34,7.41497970011551e-05,core,46.875,100.0,IL-native,0.15551577508449554,0.14554360508918762,0.9910829401094108,0.022432494908571243,-2.2432494908571245e-07
a3d8003852145a71,score,35,8.473225898342207e-05,boundary,89.84375,100.0,IL-native,0.19082143902778625,0.14554360508918762,0.9940039269336911,0.027606312185525894,-2.7606312185525895e-07
a3d8003852145a71,pareto,32,6.864176066301297e-05,core,7.03125,100.0,IL-native,0.15076902508735657,0.14554360508918762,0.9796999193363874,0.02149801328778267,-2.149801328778267e-07
a3d8003852145a71,pareto,118,0.0004397737357066944,far,100.0,100.0,apr_9145,0.5066127777099609,0.14554360508918762,0.954797749617806,0.07040129601955414,-7.040129601955414e-07
a3d8003852145a71,pareto,177,0.00017949578250409104,far,100.0,100.0,Bridge-0.4_apr_9145,0.3143114149570465,0.14554360508918762,0.9522177670147678,0.04356016963720322,-4.356016963720322e-07
a3d8003852145a71,pareto,103,0.0002435315982438624,far,100.0,100.0,grpo_9041,0.3492671549320221,0.14554360508918762,0.6773130589492701,0.034430261701345444,-3.443026170134545e-07
a3d8003852145a71,gt_distance,32,6.864176066301297e-05,core,7.03125,100.0,IL-native,0.15076902508735657,0.14554360508918762,0.9796999193363874,0.02149801328778267,-2.149801328778267e-07
a3d8003852145a71,gt_distance,38,4.2396257413201965e-05,boundary,60.15625,100.0,IL-native,0.06376639008522034,0.14554360508918762,0.9195252580960381,0.008533921092748642,-8.533921092748643e-08
a3d8003852145a71,gt_distance,56,6.155916889838409e-05,boundary,81.25,100.0,IL-native,0.1411576271057129,0.14554360508918762,0.5974938204514165,0.012275265529751778,-1.227526552975178e-07
a3d8003852145a71,gt_distance,61,6.89156586304307e-05,boundary,90.625,100.0,IL-native,0.16092699766159058,0.14554360508918762,0.6916135232933246,0.01619889959692955,-1.6198899596929553e-07
a3d8003852145a71,old_pc,35,8.473225898342207e-05,boundary,89.84375,100.0,IL-native,0.19082143902778625,0.14554360508918762,0.9940039269336911,0.027606312185525894,-2.7606312185525895e-07
a3d8003852145a71,old_pc,38,4.2396257413201965e-05,boundary,60.15625,100.0,IL-native,0.06376639008522034,0.14554360508918762,0.9195252580960381,0.008533921092748642,-8.533921092748643e-08
a3d8003852145a71,old_pc,56,6.155916889838409e-05,boundary,81.25,100.0,IL-native,0.1411576271057129,0.14554360508918762,0.5974938204514165,0.012275265529751778,-1.227526552975178e-07
a3d8003852145a71,old_pc,61,6.89156586304307e-05,boundary,90.625,100.0,IL-native,0.16092699766159058,0.14554360508918762,0.6916135232933246,0.01619889959692955,-1.6198899596929553e-07
a3d8003852145a71,conditional_pc,35,8.473225898342207e-05,boundary,89.84375,100.0,IL-native,0.19082143902778625,0.14554360508918762,0.9940039269336911,0.027606312185525894,-2.7606312185525895e-07
a3d8003852145a71,conditional_pc,38,4.2396257413201965e-05,boundary,60.15625,100.0,IL-native,0.06376639008522034,0.14554360508918762,0.9195252580960381,0.008533921092748642,-8.533921092748643e-08
a3d8003852145a71,conditional_pc,56,6.155916889838409e-05,boundary,81.25,100.0,IL-native,0.1411576271057129,0.14554360508918762,0.5974938204514165,0.012275265529751778,-1.227526552975178e-07
a3d8003852145a71,conditional_pc,61,6.89156586304307e-05,boundary,90.625,100.0,IL-native,0.16092699766159058,0.14554360508918762,0.6916135232933246,0.01619889959692955,-1.6198899596929553e-07
8d76cc7ca097546b,score,0,0.0003392290509509621,far,100.0,100.0,GT,0.433353453874588,0.22295936942100525,0.9812535690920835,0.09480892866849899,-9.4808928668499e-07
8d76cc7ca097546b,score,1,0.0003212749070371501,far,100.0,100.0,GT,0.41699424386024475,0.22295936942100525,0.9879786583673317,0.09185511618852615,-9.185511618852616e-07
8d76cc7ca097546b,score,2,0.0003360206446814118,far,100.0,100.0,GT,0.43174830079078674,0.22295936942100525,0.9796202157670608,0.0943005234003067,-9.43005234003067e-07
8d76cc7ca097546b,score,3,0.0003201505351171363,far,100.0,100.0,GT,0.4201572835445404,0.22295936942100525,0.986984372188316,0.09245872497558594,-9.245872497558594e-07
8d76cc7ca097546b,pareto,0,0.0003392290509509621,far,100.0,100.0,GT,0.433353453874588,0.22295936942100525,0.9812535690920835,0.09480892866849899,-9.4808928668499e-07
8d76cc7ca097546b,pareto,46,4.3305973576934775e-05,boundary,65.625,100.0,IL-native,0.079747773706913,0.22295936942100525,0.9437950574616527,0.016781160607933998,-1.6781160607933998e-07
8d76cc7ca097546b,pareto,127,0.00036328697387943976,far,100.0,100.0,apr_9145,0.4316522479057312,0.22295936942100525,0.8840193362964198,0.08507882803678513,-8.507882803678513e-07
8d76cc7ca097546b,pareto,102,0.0003189227263646899,far,100.0,100.0,grpo_9041,0.43606582283973694,0.22295936942100525,0.8885736501608771,0.08639153838157654,-8.639153838157655e-07
8d76cc7ca097546b,gt_distance,0,0.0003392290509509621,far,100.0,100.0,GT,0.433353453874588,0.22295936942100525,0.9812535690920835,0.09480892866849899,-9.4808928668499e-07
8d76cc7ca097546b,gt_distance,169,0.00012773989783454454,far,99.21875,100.0,Bridge-0.4_grpo_9041,0.25965726375579834,0.22295936942100525,0.9864256210825674,0.05710715800523758,-5.710715800523758e-07
8d76cc7ca097546b,gt_distance,114,0.000333872025294113,far,100.0,100.0,apr_9145,0.41986894607543945,0.22295936942100525,0.877010512548302,0.08210021257400513,-8.210021257400513e-07
8d76cc7ca097546b,gt_distance,190,0.0001873788314696867,far,100.0,100.0,Bridge-0.6_apr_9145,0.2979060709476471,0.22295936942100525,0.7278088468162828,0.04834175482392311,-4.834175482392311e-07
8d76cc7ca097546b,old_pc,38,5.216208774072584e-05,boundary,78.90625,100.0,IL-native,0.13999325037002563,0.22295936942100525,0.9931446341227568,0.03099883161485195,-3.099883161485195e-07
8d76cc7ca097546b,old_pc,46,4.3305973576934775e-05,boundary,65.625,100.0,IL-native,0.079747773706913,0.22295936942100525,0.9437950574616527,0.016781160607933998,-1.6781160607933998e-07
8d76cc7ca097546b,old_pc,55,7.362970518443035e-05,boundary,74.21875,100.0,IL-native,0.17361833155155182,0.22295936942100525,0.8923678203081163,0.03454340994358063,-3.454340994358063e-07
8d76cc7ca097546b,old_pc,61,3.853610178339295e-05,boundary,65.625,100.0,IL-native,0.10084124654531479,0.22295936942100525,0.956389032080214,0.02150297351181507,-2.1502973511815073e-07
8d76cc7ca097546b,conditional_pc,38,5.216208774072584e-05,boundary,78.90625,100.0,IL-native,0.13999325037002563,0.22295936942100525,0.9931446341227568,0.03099883161485195,-3.099883161485195e-07
8d76cc7ca097546b,conditional_pc,46,4.3305973576934775e-05,boundary,65.625,100.0,IL-native,0.079747773706913,0.22295936942100525,0.9437950574616527,0.016781160607933998,-1.6781160607933998e-07
8d76cc7ca097546b,conditional_pc,55,7.362970518443035e-05,boundary,74.21875,100.0,IL-native,0.17361833155155182,0.22295936942100525,0.8923678203081163,0.03454340994358063,-3.454340994358063e-07
8d76cc7ca097546b,conditional_pc,61,3.853610178339295e-05,boundary,65.625,100.0,IL-native,0.10084124654531479,0.22295936942100525,0.956389032080214,0.02150297351181507,-2.1502973511815073e-07
88757fb00fda507b,score,80,0.009152842918410897,far,100.0,100.0,mts_8751,2.6450605392456055,0.19900929927825928,-0.8224881957369984,-0.4329509139060974,4.3295091390609745e-06
88757fb00fda507b,pareto,80,0.009152842918410897,far,100.0,100.0,mts_8751,2.6450605392456055,0.19900929927825928,-0.8224881957369984,-0.4329509139060974,4.3295091390609745e-06
88757fb00fda507b,gt_distance,161,0.00040215186163550243,far,100.0,98.70844023627336,Bridge-0.4_grpo_9041,0.21004056930541992,0.19900929927825928,0.4164031939309858,0.017405664548277855,-1.7405664548277857e-07
88757fb00fda507b,old_pc,33,9.076228707272094e-05,boundary,88.28125,93.34527501013396,IL-native,0.1603832095861435,0.19900929927825928,0.044601525240104724,0.001423580339178443,-1.423580339178443e-08
88757fb00fda507b,conditional_pc,33,9.076228707272094e-05,boundary,88.28125,93.34527501013396,IL-native,0.1603832095861435,0.19900929927825928,0.044601525240104724,0.001423580339178443,-1.423580339178443e-08
8787fbb12fed5433,score,97,0.00023855433391872793,far,100.0,100.0,grpo_9041,0.3187647759914398,0.28206339478492737,0.9796906460252471,0.08808582276105881,-8.808582276105881e-07
8787fbb12fed5433,pareto,97,0.00023855433391872793,far,100.0,100.0,grpo_9041,0.3187647759914398,0.28206339478492737,0.9796906460252471,0.08808582276105881,-8.808582276105881e-07
8787fbb12fed5433,gt_distance,97,0.00023855433391872793,far,100.0,100.0,grpo_9041,0.3187647759914398,0.28206339478492737,0.9796906460252471,0.08808582276105881,-8.808582276105881e-07
8787fbb12fed5433,old_pc,51,0.00016465990120195784,boundary,60.9375,99.47079041812718,IL-native,0.3054584562778473,0.28206339478492737,0.9944967108454361,0.08568449318408966,-8.568449318408967e-07
8787fbb12fed5433,conditional_pc,51,0.00016465990120195784,boundary,60.9375,99.47079041812718,IL-native,0.3054584562778473,0.28206339478492737,0.9944967108454361,0.08568449318408966,-8.568449318408967e-07
312f7d68b7845c0f,score,0,0.00353049801196903,far,100.0,100.0,GT,1.5175883769989014,0.6283099055290222,0.9894792076184631,0.9434840679168701,-9.434840679168702e-06
312f7d68b7845c0f,score,1,0.0031039112363941967,far,100.0,100.0,GT,1.3972586393356323,0.6283099055290222,0.9763402776304878,0.857140302658081,-8.571403026580811e-06
312f7d68b7845c0f,score,2,0.0036719767085742205,far,100.0,100.0,GT,1.5446808338165283,0.6283099055290222,0.987310381534043,0.958222508430481,-9.582225084304811e-06
