method,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
gt_only,gain_AUC,300,0.7945878536533802,0.0,0.09930310360347538,1.5026639812586513,-0.03956938577272148,0.0,0.39
score,gain_AUC,300,0.5221628437779948,0.3877796677935459,-0.48806025106029904,1.557807739070095,0.027873606608190604,0.8484320311781665,0.5633333333333334
pareto,gain_AUC,300,0.95692534632466,0.5112184684875563,0.0010665845347306267,1.9474320789805204,0.20753657557446875,0.7172617973835045,0.6033333333333334
gt_distance,gain_AUC,300,0.1912544859731928,0.0,-0.6551860657257649,0.9998330600214961,0.0,0.0,0.41
old_pc,gain_AUC,300,1.6176242572019566,0.3108679429223322,0.8617679311340437,2.411407058267481,0.12447878480313967,0.5023229685968129,0.5933333333333334
gt_only,gain_per_100_steps,300,-0.41869316359208414,-0.03385847717279589,-1.318849669331201,0.48866001519777913,-0.3455259252437841,0.0,0.26666666666666666
score,gain_per_100_steps,300,0.45333976145940313,0.40864939852841076,-0.9060172537750529,1.8061468695530134,0.0,0.8300757018005847,0.5366666666666666
pareto,gain_per_100_steps,300,1.2445657883555536,0.4576550068141927,-0.3807941600713647,2.8257378472947514,0.03536812856520655,0.7667149881117652,0.56
gt_distance,gain_per_100_steps,300,0.7298857223419997,0.0,-0.40340837799862417,1.9642924135483517,0.0,0.1379910315148578,0.47333333333333333
old_pc,gain_per_100_steps,300,-0.9495145223361425,0.0,-1.7320542874360947,-0.19812633906743182,0.0,0.19550406224250594,0.49
