method,step,metric,contrast,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
gt_only,100,PDMS,conditional_minus_baseline,300,-0.40461375859186705,0.0,-1.2246421061815564,0.39092058945831226,-0.19725924249317472,0.0,0.2866666666666667
gt_only,100,feasible_rate,conditional_minus_baseline,300,0.0040885416666666665,0.0,-0.007734375,0.015572916666666667,0.0,0.0,0.17333333333333334
gt_only,100,hard_failure,conditional_minus_baseline,300,0.005,0.0,-0.0035944010416666668,0.013986328125000008,0.0,0.0,0.11333333333333333
gt_only,100,zero_score_rate,conditional_minus_baseline,300,0.004114583333333333,0.0,-0.0037760416666666667,0.012578125,0.0,0.0,0.10333333333333333
gt_only,100,EP,conditional_minus_baseline,300,-0.010093632540684336,0.0,-0.01790935326961137,-0.0026602727517738116,-0.003562308355664541,0.0,0.23666666666666666
gt_only,100,NC,conditional_minus_baseline,300,-0.006106770833333333,0.0,-0.011627604166666666,-0.0014833984374999964,0.0,0.0,0.02
gt_only,100,DAC,conditional_minus_baseline,300,0.0013802083333333333,0.0,-0.005416666666666667,0.008386067708333335,0.0,0.0,0.07666666666666666
gt_only,100,TTC,conditional_minus_baseline,300,-0.00078125,0.0,-0.009716145833333334,0.007995442708333337,0.0,0.0,0.09666666666666666
gt_only,100,DDC,conditional_minus_baseline,300,0.0018229166666666667,0.0,-0.0038154296875,0.007760742187500001,0.0,0.0,0.043333333333333335
gt_only,100,pairwise_ADE,conditional_minus_baseline,300,-0.028441671129401845,-0.024943177787649762,-0.03283184855973853,-0.02378551901055167,-0.02909493646518867,-0.020631964778103,0.19
gt_only,100,Spread_AUC,conditional_minus_baseline,300,-0.023494119212088084,-0.022354260700907777,-0.02711177732522593,-0.019689380215621624,-0.02471484522066498,-0.017980407109086258,0.17
gt_only,100,spread_ratio_IL,conditional_minus_baseline,300,-0.2164659538780547,-0.17694420311352144,-0.2631602926280843,-0.17462225169142087,-0.20323448524600862,-0.14851077346285702,0.17
gt_only,100,center_shift,conditional_minus_baseline,300,0.17724370767672856,0.17222150415182114,0.1575450389329344,0.19777720300977428,0.15396995842456818,0.1950375959277153,0.8633333333333333
gt_only,100,mean_center_shift,conditional_minus_baseline,300,0.18578259541342657,0.18571512401103973,0.16524139170534907,0.20531635760857414,0.1669771671295166,0.2069035768508911,0.8666666666666667
gt_only,100,CRN_policy_change_ADE,conditional_minus_baseline,300,0.16393171258270742,0.17855635285377502,0.142457561823229,0.1856937505180637,0.15366612374782562,0.20134681463241577,0.8266666666666667
gt_only,100,D_positive,conditional_minus_baseline,300,-0.027130279491345086,0.0,-0.03419922347987692,-0.01991186260587225,0.0,0.0,0.15333333333333332
gt_only,100,positive_count,conditional_minus_baseline,300,-3.3466666666666667,0.0,-4.456708333333333,-2.2182916666666666,0.0,0.0,0.14
gt_only,100,IL_retention_loss,conditional_minus_baseline,300,0.001108386496349946,0.0006177424527322728,0.0006977734988909673,0.0015621694346604235,0.0004648573279723678,0.0008460684343333476,0.7133333333333334
gt_only,100,candidate_fitting_loss,conditional_minus_baseline,300,-0.00047389643878357264,-4.5621836306963814e-05,-0.0010139815643262814,5.4922667182150436e-05,-0.00023761594843563216,0.0001385916838163076,0.49
gt_only,100,Hit1,conditional_minus_baseline,300,-0.023671875,0.0,-0.036119791666666665,-0.010911458333333334,0.0,0.0,0.13333333333333333
