method,seed,source,total_candidate_weight,candidate_weight_fraction,GT_retention_coefficient
gt_only,1701,GT,1600.0,1.0,0.25
gt_only,2903,GT,1600.0,1.0,0.25
score,1701,grpo_9041,197.125,0.123203125,0.25
score,1701,apr_9145,371.5625,0.2322265625,0.25
score,1701,GT,647.5625,0.4047265625,0.25
score,1701,Bridge-0.8_apr_9145,90.1875,0.0563671875,0.25
score,1701,Bridge-0.8_grpo_9041,28.5,0.0178125,0.25
score,1701,Bridge-0.6_apr_9145,24.1875,0.0151171875,0.25
score,1701,mts_8751,30.4375,0.0190234375,0.25
score,1701,Bridge-0.8_mts_8751,7.875,0.004921875,0.25
score,1701,IL-native,94.4375,0.0590234375,0.25
score,1701,Bridge-0.6_mts_8751,4.5625,0.0028515625,0.25
score,1701,mts_8692,19.0,0.011875,0.25
score,1701,Bridge-0.6_mts_8692,6.0625,0.0037890625,0.25
score,1701,Bridge-0.8_mts_8692,9.4375,0.0058984375,0.25
score,1701,Bridge-0.6_grpo_9041,13.25,0.00828125,0.25
score,1701,Bridge-0.4_mts_8692,5.0,0.003125,0.25
score,1701,Bridge-0.4_grpo_9041,8.875,0.005546875,0.25
score,1701,Bridge-0.2_grpo_9041,7.75,0.00484375,0.25
score,1701,Bridge-0.2_mts_8751,1.4375,0.0008984375,0.25
score,1701,Bridge-0.4_mts_8751,1.875,0.001171875,0.25
score,1701,Bridge-0.2_apr_9145,15.3125,0.0095703125,0.25
score,1701,Bridge-0.2_mts_8692,4.1875,0.0026171875,0.25
score,1701,Bridge-0.4_apr_9145,11.375,0.007109375,0.25
score,2903,GT,644.0,0.4025,0.25
score,2903,apr_9145,369.5,0.2309375,0.25
score,2903,Bridge-0.8_apr_9145,89.1875,0.0557421875,0.25
score,2903,grpo_9041,201.125,0.125703125,0.25
score,2903,Bridge-0.2_apr_9145,14.625,0.009140625,0.25
score,2903,Bridge-0.4_apr_9145,11.5,0.0071875,0.25
score,2903,IL-native,95.3125,0.0595703125,0.25
score,2903,Bridge-0.8_mts_8751,8.625,0.005390625,0.25
score,2903,mts_8751,31.8125,0.0198828125,0.25
score,2903,Bridge-0.6_apr_9145,24.625,0.015390625,0.25
score,2903,Bridge-0.8_grpo_9041,30.0625,0.0187890625,0.25
score,2903,Bridge-0.6_mts_8751,5.0,0.003125,0.25
score,2903,Bridge-0.6_grpo_9041,13.375,0.008359375,0.25
score,2903,Bridge-0.4_grpo_9041,8.6875,0.0054296875,0.25
score,2903,mts_8692,17.6875,0.0110546875,0.25
score,2903,Bridge-0.6_mts_8692,6.125,0.003828125,0.25
score,2903,Bridge-0.8_mts_8692,9.0625,0.0056640625,0.25
score,2903,Bridge-0.4_mts_8751,2.0625,0.0012890625,0.25
score,2903,Bridge-0.2_grpo_9041,7.1875,0.0044921875,0.25
score,2903,Bridge-0.4_mts_8692,5.0,0.003125,0.25
score,2903,Bridge-0.2_mts_8692,4.125,0.002578125,0.25
score,2903,Bridge-0.2_mts_8751,1.3125,0.0008203125,0.25
pareto,1701,grpo_9041,230.0,0.14375,0.25
pareto,1701,apr_9145,501.1875,0.3132421875,0.25
pareto,1701,GT,191.6875,0.1198046875,0.25
pareto,1701,Bridge-0.8_apr_9145,126.0625,0.0787890625,0.25
pareto,1701,Bridge-0.8_grpo_9041,42.375,0.026484375,0.25
pareto,1701,Bridge-0.6_apr_9145,53.4375,0.0333984375,0.25
pareto,1701,Bridge-0.2_apr_9145,35.1875,0.0219921875,0.25
pareto,1701,Bridge-0.4_grpo_9041,26.8125,0.0167578125,0.25
pareto,1701,IL-native,147.3125,0.0920703125,0.25
pareto,1701,mts_8751,52.5,0.0328125,0.25
pareto,1701,Bridge-0.8_mts_8751,11.3125,0.0070703125,0.25
pareto,1701,Bridge-0.6_mts_8751,8.0625,0.0050390625,0.25
pareto,1701,Bridge-0.4_apr_9145,35.875,0.022421875,0.25
pareto,1701,Bridge-0.6_grpo_9041,30.0,0.01875,0.25
pareto,1701,mts_8692,44.5,0.0278125,0.25
pareto,1701,Bridge-0.6_mts_8692,8.375,0.005234375,0.25
pareto,1701,Bridge-0.8_mts_8692,11.5625,0.0072265625,0.25
pareto,1701,Bridge-0.2_grpo_9041,18.4375,0.0115234375,0.25
pareto,1701,Bridge-0.4_mts_8692,7.1875,0.0044921875,0.25
pareto,1701,Bridge-0.2_mts_8692,8.6875,0.0054296875,0.25
