step,loss,candidate_or_policy_loss,GT_or_BC_loss,gradient_norm_before_clip,lr,seconds
1,-0.01078181539196521,-0.0022860031931486446,-0.08495811861939728,0.34444600343704224,0.0001,17.133828163146973
2,-0.009584557337802835,0.0003596492388169281,-0.0994420665083453,0.8771382570266724,0.0001,26.51631736755371
3,-0.011905422725249082,0.0003831565147720539,-0.12288579205051064,0.15044158697128296,0.0001,35.74442195892334
4,-0.013547616894356906,-0.0018355366046307608,-0.11712080263532698,0.4698403775691986,0.0001,44.27727508544922
5,-0.01010903247515671,-0.0007639851901330985,-0.09345047315582633,0.369278222322464,0.0001,53.19764733314514
6,-0.011008907167706639,-0.0017186607728945091,-0.09290246199816465,0.5857520699501038,0.0001,62.15184688568115
7,-0.00957236997783184,-0.001671793928835541,-0.07900575920939445,0.6079593300819397,0.0001,71.2152898311615
8,-0.008874658058630303,0.001297455259191338,-0.10172113100998104,0.6069174408912659,0.0001,79.93032693862915
9,-0.010941835615085438,-0.0015607127716066316,-0.09381122887134552,0.3813929557800293,0.0001,89.43020677566528
10,-0.008765510516241193,-0.00029547141821240075,-0.08470038790255785,0.3302426040172577,0.0001,98.55773186683655
11,-0.008354319812497124,0.0014990047147875885,-0.09853324358118698,0.7002460956573486,0.0001,108.8901731967926
12,-0.013547400012612343,-0.0030226806302380282,-0.10524719205568545,0.4681309163570404,0.0001,118.1282320022583
13,-0.011765892908442765,0.0006212696425791364,-0.12387162237428129,0.5572804808616638,0.0001,127.45522904396057
14,-0.0033154127304442227,0.0007409366080537438,-0.04056349105667323,0.33426839113235474,0.0001,137.14688086509705
15,-0.008518790418747813,-0.0007528792739321943,-0.07765911139722448,0.4598756730556488,0.0001,146.6000361442566
16,-0.013295149023178965,-0.0018037743502645753,-0.1149137420579791,0.27633675932884216,0.0001,156.05520939826965
17,-0.00858436879934743,-0.00035626783210318536,-0.08228100911946967,0.4816146194934845,0.0001,164.73695278167725
18,-0.010896980238612741,-0.0007982624865690013,-0.10098717361688614,0.44006186723709106,0.0001,173.64403700828552
19,-0.013436740729957819,0.0003332450760353822,-0.1376998582854867,0.34779778122901917,0.0001,182.7739052772522
20,-0.01182065365719609,-0.0019967846528743394,-0.09823868935927749,0.41858217120170593,0.0001,192.14146304130554
21,-0.01311566517688334,-0.00042642148036975414,-0.12689243257045746,0.394498348236084,0.0001,201.39514589309692
22,-0.009814711338549387,-0.000863478344399482,-0.08951232756953686,0.4123498797416687,0.0001,210.59444880485535
23,-0.00937625509686768,-0.0007776836516768526,-0.08598571084439754,0.47679999470710754,0.0001,220.39759254455566
24,-0.012278969603357837,-0.0009893707874653046,-0.11289598466828465,0.20480993390083313,0.0001,228.9660325050354
25,-0.015454580287041608,-0.004950304752128432,-0.10504275443963706,0.2621849775314331,0.0001,238.65332436561584
