token,method,candidate_id,p_A,p_B,hit_count_B,selection_optimism,strict_qualified
23e39302332152b2,score,23e39302332152b2:335d6069269e2d3b8803,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:36406b3f63f459e85b6b,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:a659b02d51ec2d2ccf32,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:3cce08445d406db9ea1c,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:5f1b7ad97bf3edc9cd6e,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:70b420ea4d192ad93c32,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:a46f32ecf7cad9381158,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:c35914aa08169824176b,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:6ca479eb491588ac21ef,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:b034a3e8e6a5ba6c3bcb,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:54b71aff601688591b18,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:90f8202bad7226bb5fe6,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:3d91a9a8b0343fb51ab1,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:43d0b3fb8fd70d176ed7,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:dab03166894c7a53c30b,0.0,0.0,0.0,0.0,True
23e39302332152b2,score,23e39302332152b2:91fe2ae90c22e45dfa90,0.0,0.0,0.0,0.0,True
23e39302332152b2,pareto,23e39302332152b2:335d6069269e2d3b8803,0.0,0.0,0.0,0.0,True
23e39302332152b2,pareto,23e39302332152b2:36406b3f63f459e85b6b,0.0,0.0,0.0,0.0,True
23e39302332152b2,pareto,23e39302332152b2:5f1b7ad97bf3edc9cd6e,0.0,0.0,0.0,0.0,True
