token,method,pool_type,PoolMass,QualityMatchedPoolMass,candidate_local_gain,local_gain_defined_candidate_count,local_gain_defined_scene_count,near_duplicate_representatives_0_10m
23e39302332152b2,score,operational,0.0,0.0,,0,0,16
23e39302332152b2,score,strict,0.0,0.0,,0,0,16
23e39302332152b2,pareto,operational,0.0,0.0,,0,0,16
23e39302332152b2,pareto,strict,0.0,0.0,,0,0,16
23e39302332152b2,gt_geometry,operational,0.0,0.0,,0,0,10
23e39302332152b2,gt_geometry,strict,0.0,0.0,,0,0,10
23e39302332152b2,grpo_mass_pc,operational,0.0,0.0,,0,0,16
23e39302332152b2,grpo_mass_pc,strict,0.0,0.0,,0,0,0
411a748874035630,score,operational,0.0,0.0,,0,0,16
411a748874035630,score,strict,0.0,0.0,,0,0,16
411a748874035630,pareto,operational,0.0,0.0,,0,0,16
411a748874035630,pareto,strict,0.0,0.0,,0,0,16
411a748874035630,gt_geometry,operational,0.0,0.0,,0,0,16
411a748874035630,gt_geometry,strict,0.0,0.0,,0,0,16
411a748874035630,grpo_mass_pc,operational,0.0,0.0,,0,0,16
411a748874035630,grpo_mass_pc,strict,0.0,0.0,,0,0,0
79ebfc1d85bf5a51,score,operational,0.0,0.0,,0,0,13
79ebfc1d85bf5a51,score,strict,0.0,0.0,,0,0,13
79ebfc1d85bf5a51,pareto,operational,0.0,0.0,,0,0,15
79ebfc1d85bf5a51,pareto,strict,0.0,0.0,,0,0,15
79ebfc1d85bf5a51,gt_geometry,operational,0.0,0.0,,0,0,12
79ebfc1d85bf5a51,gt_geometry,strict,0.0,0.0,,0,0,12
79ebfc1d85bf5a51,grpo_mass_pc,operational,0.0,0.0,,0,0,13
79ebfc1d85bf5a51,grpo_mass_pc,strict,0.0,0.0,,0,0,0
40808270ce205b83,score,operational,0.0,0.0,,0,0,16
40808270ce205b83,score,strict,0.0,0.0,,0,0,16
40808270ce205b83,pareto,operational,0.0,0.0,,0,0,16
40808270ce205b83,pareto,strict,0.0,0.0,,0,0,16
40808270ce205b83,gt_geometry,operational,0.0,0.0,,0,0,9
40808270ce205b83,gt_geometry,strict,0.0,0.0,,0,0,9
40808270ce205b83,grpo_mass_pc,operational,0.0,0.0,,0,0,16
40808270ce205b83,grpo_mass_pc,strict,0.0,0.0,,0,0,0
86208267d61253c0,score,operational,0.0,0.0,,0,0,16
86208267d61253c0,score,strict,0.0,0.0,,0,0,16
86208267d61253c0,pareto,operational,0.0,0.0,,0,0,16
86208267d61253c0,pareto,strict,0.0,0.0,,0,0,16
86208267d61253c0,gt_geometry,operational,0.0,0.0,,0,0,16
86208267d61253c0,gt_geometry,strict,0.0,0.0,,0,0,16
86208267d61253c0,grpo_mass_pc,operational,0.0,0.0,,0,0,16
86208267d61253c0,grpo_mass_pc,strict,0.0,0.0,,0,0,0
f8268857204e554e,score,operational,0.0,0.0,,0,0,15
f8268857204e554e,score,strict,0.0,0.0,,0,0,15
f8268857204e554e,pareto,operational,0.0,0.0,,0,0,15
f8268857204e554e,pareto,strict,0.0,0.0,,0,0,15
f8268857204e554e,gt_geometry,operational,0.0,0.0,,0,0,11
f8268857204e554e,gt_geometry,strict,0.0,0.0,,0,0,11
f8268857204e554e,grpo_mass_pc,operational,0.0,0.0,,0,0,15
f8268857204e554e,grpo_mass_pc,strict,0.0,0.0,,0,0,0
1bf169a6aaf65858,score,operational,0.0,0.0,,0,0,16
1bf169a6aaf65858,score,strict,0.0,0.0,,0,0,16
1bf169a6aaf65858,pareto,operational,0.0,0.0,,0,0,16
1bf169a6aaf65858,pareto,strict,0.0,0.0,,0,0,16
1bf169a6aaf65858,gt_geometry,operational,0.0,0.0,,0,0,16
1bf169a6aaf65858,gt_geometry,strict,0.0,0.0,,0,0,16
1bf169a6aaf65858,grpo_mass_pc,operational,0.0,0.0,,0,0,16
1bf169a6aaf65858,grpo_mass_pc,strict,0.0,0.0,,0,0,0
3764407c90d65df3,score,operational,0.0,0.0,,0,0,14
3764407c90d65df3,score,strict,0.0,0.0,,0,0,14
3764407c90d65df3,pareto,operational,0.0,0.0,,0,0,14
3764407c90d65df3,pareto,strict,0.0,0.0,,0,0,14
3764407c90d65df3,gt_geometry,operational,0.0,0.0,,0,0,10
3764407c90d65df3,gt_geometry,strict,0.0,0.0,,0,0,10
3764407c90d65df3,grpo_mass_pc,operational,0.0,0.0,,0,0,14
3764407c90d65df3,grpo_mass_pc,strict,0.0,0.0,,0,0,0
38cfd81687975661,score,operational,0.0,0.0,,0,0,16
38cfd81687975661,score,strict,0.0,0.0,,0,0,16
38cfd81687975661,pareto,operational,0.0,0.0,,0,0,16
38cfd81687975661,pareto,strict,0.0,0.0,,0,0,16
38cfd81687975661,gt_geometry,operational,0.0,0.0,,0,0,14
38cfd81687975661,gt_geometry,strict,0.0,0.0,,0,0,14
38cfd81687975661,grpo_mass_pc,operational,0.0,0.0,,0,0,16
38cfd81687975661,grpo_mass_pc,strict,0.0,0.0,,0,0,0
42e6895442ab5601,score,operational,0.0,0.0,,0,0,16
