pool_type,comparator,metric,status,matched_pair_count,matched_scene_count,all_matched_pair_count,PDMS_gap_mean,PDMS_gap_max,mean_difference,median_difference,pair_ci_low,pair_ci_high,scene_cluster_ci_low,scene_cluster_ci_high,scene_equal_mean,scene_equal_ci_low,scene_equal_ci_high,scene_win_fraction,table,variant,method,full_scene_denominator,observed_scene_count,nonempty_scene_count,candidate_denominator,local_gain_candidate_denominator,local_gain_scene_denominator,valid_unique_count,unique_parent_count,strict_count,strict_16_scene_fraction,empty_scene,insufficient_scene,candidate_PDMS,median_PDMS,min_PDMS,PDMS_gain_over_b_s,conservative_feasible_fraction,hard_safe_fraction,mean_candidate_p_B,median_candidate_p_B,P10_candidate_p_B,fraction_candidate_p_B_ge_3percent,mean_candidate_p_B_safe,mean_candidate_p_B_quality,candidate_local_gain,candidate_local_gain_median,fraction_local_gain_ge_0_5point,local_gain_defined_candidate_count,local_gain_defined_scene_count,local_gain_all_hits_descriptive,zero_hit_fraction,external_source_fraction,C_overlap_fraction,near_duplicate_representatives_0_02m,near_duplicate_representatives_0_10m,fallback_fraction,selection_optimism,sum_individual_mass,pairwise_ADE,PoolMass,GroupPoolHit,GroupPoolHit_ci_low,GroupPoolHit_ci_high,QualityMatchedPoolMass,source_GT_fraction,source_GT_structured_fraction,source_ddv2_fraction,source_drivor_fraction,source_IL_native_C_fraction,level_0_fraction,level_1_fraction,level_2_fraction,level_3_fraction,NC,DAC,EP,TTC,Comfort,DDC,epsilon,pmin,gt_geometry_radius
operational,score,p_B,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,score,p_B_safe,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,score,p_B_quality,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,score,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,0.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,pareto,p_B,DESCRIPTIVE_MATCHED,356.0,115.0,356.0,0.0019228234659641,0.2477248022141331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,pareto,p_B_safe,DESCRIPTIVE_MATCHED,356.0,115.0,356.0,0.0019228234659641,0.2477248022141331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,pareto,p_B_quality,DESCRIPTIVE_MATCHED,356.0,115.0,356.0,0.0019228234659641,0.2477248022141331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,pareto,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0.0,0.0,356.0,,,,,,,,,,,,,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,gt_geometry,p_B,DESCRIPTIVE_MATCHED,2765.0,539.0,2765.0,0.0029610851541695,0.2452221582591396,-4.591433092224232e-06,0.0,-7.416930379746835e-06,-2.119122965641953e-06,-7.515116735321025e-06,-2.129810703236163e-06,-5.009063622743469e-06,-8.348804847628985e-06,-2.1409487090290656e-06,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operational,gt_geometry,p_B_safe,DESCRIPTIVE_MATCHED,2765.0,539.0,2765.0,0.0029610851541695,0.2452221582591396,-4.238245931283906e-06,0.0,-6.710556057866184e-06,-2.119122965641953e-06,-7.0999494739775605e-06,-1.811670208392104e-06,-4.707096244883235e-06,-8.054063117738979e-06,-1.915767321539004e-06,0.0,matched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
