variant,pool_type,comparator,metric,full_scene_denominator,pc_defined_scenes,baseline_defined_scenes,n,mean_difference,median_difference,ci_low,ci_high,median_ci_low,median_ci_high,scene_win_fraction,p_value,bootstrap_replicates,cluster_count,log_cluster_ci_low,log_cluster_ci_high,log_cluster_count,Holm_p_primary_family12
primary,operational,score,mean_candidate_p_B,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,1.0
primary,operational,score,PoolMass,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,1.0
primary,operational,score,candidate_PDMS,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,1.0
primary,operational,score,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,0.003998667110963012
primary,operational,score,conservative_feasible_fraction,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
primary,operational,score,mean_candidate_p_B_quality,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
primary,operational,score,QualityMatchedPoolMass,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
primary,operational,score,external_source_fraction,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
primary,operational,score,near_duplicate_representatives_0_10m,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
primary,operational,score,fallback_fraction,1000,1000,1000,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003332222592469177,3000,1000,1.0,1.0,512,
primary,operational,pareto,mean_candidate_p_B,1000,1000,1000,1000,4.2724609375e-07,0.0,0.0,1.15966796875e-06,0.0,0.0,0.003,0.16461179606797735,3000,1000,0.0,1.1493539840780584e-06,512,0.8230589803398868
