pool_type,comparator,metric,status,matched_pair_count,matched_scene_count,all_matched_pair_count,PDMS_gap_mean,PDMS_gap_max,mean_difference,median_difference,pair_ci_low,pair_ci_high,scene_cluster_ci_low,scene_cluster_ci_high,scene_equal_mean,scene_equal_ci_low,scene_equal_ci_high,scene_win_fraction
operational,score,p_B,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
operational,score,p_B_safe,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
operational,score,p_B_quality,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
operational,score,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
operational,pareto,p_B,DESCRIPTIVE_MATCHED,356,115,356,0.001922823465964194,0.24772480221413318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operational,pareto,p_B_safe,DESCRIPTIVE_MATCHED,356,115,356,0.001922823465964194,0.24772480221413318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operational,pareto,p_B_quality,DESCRIPTIVE_MATCHED,356,115,356,0.001922823465964194,0.24772480221413318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
operational,pareto,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,356,,,,,,,,,,,,
operational,gt_geometry,p_B,DESCRIPTIVE_MATCHED,2765,539,2765,0.0029610851541695534,0.24522215825913962,-4.591433092224232e-06,0.0,-7.416930379746835e-06,-2.119122965641953e-06,-7.515116735321025e-06,-2.129810703236163e-06,-5.009063622743469e-06,-8.348804847628985e-06,-2.1409487090290656e-06,0.0
operational,gt_geometry,p_B_safe,DESCRIPTIVE_MATCHED,2765,539,2765,0.0029610851541695534,0.24522215825913962,-4.238245931283906e-06,0.0,-6.710556057866184e-06,-2.119122965641953e-06,-7.0999494739775605e-06,-1.8116702083921041e-06,-4.707096244883235e-06,-8.054063117738979e-06,-1.9157673215390038e-06,0.0
operational,gt_geometry,p_B_quality,DESCRIPTIVE_MATCHED,2765,539,2765,0.0029610851541695534,0.24522215825913962,-3.885058770343581e-06,0.0,-6.357368896925859e-06,-1.7659358047016274e-06,-6.436515928231417e-06,-1.7345384842314267e-06,-4.344735391450952e-06,-7.494902215485761e-06,-1.7309560965890674e-06,0.0
operational,gt_geometry,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,2765,,,,,,,,,,,,
strict,score,p_B,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,score,p_B_safe,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,score,p_B_quality,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,score,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,pareto,p_B,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,pareto,p_B_safe,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,pareto,p_B_quality,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,pareto,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,gt_geometry,p_B,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,gt_geometry,p_B_safe,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,gt_geometry,p_B_quality,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
strict,gt_geometry,candidate_local_gain,UNTESTED_COMMON_SUPPORT_UNAVAILABLE,0,0,0,,,,,,,,,,,,
