split,protocol,method,mean_PDMS,feasible_rate,hard_failure_rate,pairwise_ADE64,centroid_displacement,Spread_AUC,min_PDMS,max_PDMS,std_PDMS,CVaR25_PDMS,Hit16,Hit8,no_safe_group,EP,NC,DAC,TTC,DDC,Comfort,GT_center_distance,CRN_policy_shift
holdout,eval,il_sft,90.64463891239286,0.9212125,0.0372359375,0.1422286614168435,0.1748374485308304,0.118697378129512,87.21142135479647,93.36962020072276,2.2617857766535843,88.40816643070913,0.291225,0.2636375,0.0498,84.83135926069524,99.301875,96.95984375,97.0803125,98.37453125,99.9790625,0.3971175954613588,0.175903020571731
holdout,eval,official_il,91.41399358942084,0.9313125,0.02833125,0.1454736822932958,0.0,0.12170899140127,87.8745588717968,93.76646382375252,2.175874181880448,89.10442312970808,0.27915,0.2296,0.04385,85.27389647603806,99.50765625,97.6359375,97.45125,98.3928125,99.9825,0.3792696193292685,0.0
holdout,eval,pareto,90.6569202622146,0.875646875,0.0498921875,0.2862035843603313,1.1936905424298718,0.2412549678504467,84.54769300291987,94.76603446427622,3.751247710120173,86.844086746632,0.57925,0.5709,0.072,89.72573120990586,98.03546875,96.98953125,92.52234375,98.093203125,99.998125,1.3143000458550795,1.1979660694617775
holdout,eval,psi,90.45315403877578,0.8683734375,0.052540625,0.2855355758711695,1.2950837132409214,0.2405919930830597,84.28871677570585,94.73309956262518,3.834803273734092,86.55703346606859,0.578275,0.56945,0.07575,89.95813928387749,97.716796875,97.03828125,91.84734375,97.994296875,99.9871875,1.411447399458944,1.299780610062182
holdout,eval,score,90.7095492784154,0.876471875,0.0494375,0.2856568093441426,1.1914631684381516,0.2407956726662814,84.60970803881365,94.79554443014392,3.73818356837199,86.91177677980139,0.5797,0.5714625,0.071475,89.74986382438944,98.06796875,97.0021875,92.59796875,98.094609375,99.99828125,1.3120772726601786,1.195726305000484
holdout,native_grpo,il_sft,68.85974354933678,0.688225,0.1859546875,1.9905391934037209,0.17966282660719,1.593051702439785,22.065725230111404,96.65040970221706,27.13631751519838,35.84896765656563,0.5404,0.4377625,0.020575,70.82343902057607,95.246015625,85.67734375,83.36203125,96.95890625,68.75625,0.4618397798827109,0.1833905668837949
holdout,native_grpo,official_il,69.01966745063116,0.692465625,0.18354375,1.9937206166028976,0.0,1.5958393235206605,22.114591179980795,96.68466769237403,27.17041268211849,35.7999410268906,0.55345,0.447,0.0191,70.65350405533015,95.35421875,85.81375,83.6309375,97.054375,69.0715625,0.4455259104726052,0.0
holdout,native_grpo,pareto,67.67694417278388,0.640571875,0.2095671875,2.0662769963026046,1.2086457486692816,1.6567390070080756,20.22023593742924,97.83076898722524,28.60506785637841,33.45462618377822,0.60725,0.5612625,0.0267,73.39112818968756,92.84171875,85.48015625,78.7503125,96.064609375,66.99265625,1.3658914566312823,1.2271858974769712
holdout,native_grpo,psi,67.52535728675598,0.6362546875,0.212184375,2.067534329712391,1.3086141521235928,1.6576901097536088,20.13136370256133,97.89123421697104,28.68711934830325,33.2199969028464,0.60685,0.5619375,0.028425,73.48807060953372,92.41453125,85.6084375,78.31765625,95.84640625,66.73703125,1.4606873978940935,1.3299293672651054
holdout,native_grpo,score,67.71749788894512,0.6411796875,0.2091375,2.0658705523371697,1.2065323519852011,1.6563934475541116,20.25061518576722,97.83678410315086,28.58914855227467,33.49965579146585,0.60725,0.5613875,0.026575,73.41904963627039,92.8821875,85.486875,78.80703125,96.069296875,67.0025,1.3638302701499616,1.2249739284999668
