method,protocol,mean_PDMS,feasible_rate,hard_failure_rate,pairwise_ADE64,centroid_displacement,Spread_AUC,min_PDMS,max_PDMS,std_PDMS,CVaR25_PDMS,Hit16,Hit8,no_safe_group,EP,NC,DAC,TTC,DDC,Comfort,GT_center_distance,CRN_policy_shift
il_sft,eval,90.37882596954846,0.9204140625,0.037953125,0.16620610718615353,0.3197883549034595,0.13833281244710088,86.07982367948905,93.51239171513566,2.6988449990456713,87.67696829479243,0.300125,0.2705,0.047125,84.44534275333572,99.180078125,96.975,96.7421875,98.42265625,99.996875,0.4988920812308797,0.32118781763128934
il_sft,native_grpo,68.82138259906526,0.6911875,0.1859140625,1.9997896440625191,0.3199546263758093,1.6002139481306077,22.596414798095633,96.42190389189827,26.79650993731866,36.20412634419712,0.5145,0.4135,0.02275,70.28621216245881,95.0015625,85.73359375,83.340625,96.806640625,69.1140625,0.5438194389838404,0.32533602114021776
official_il,eval,91.98263354058233,0.93603125,0.023203125,0.14536285685002803,0.0,0.12154664177447558,87.95555043470208,94.18977997685656,2.237407581852558,89.47218684405448,0.2885,0.23725,0.0415,85.93535360767002,99.45078125,98.1234375,97.3359375,98.36171875,99.9984375,0.3955951313404826,0.0
official_il,native_grpo,69.45316479289433,0.69925,0.180546875,1.9923428646326065,0.0,1.5941396503448486,23.03084239785085,96.64470120578667,26.747341787604,36.651638307983134,0.54875,0.447625,0.0225,70.88350636581445,95.31875,85.9640625,83.8171875,96.9484375,69.06875,0.4612705798831151,0.0
pareto,eval,89.56635902161021,0.862953125,0.0561171875,0.31672174897044897,0.9812786062248051,0.26585393014550207,81.30799063357676,95.02949191075655,5.006620082461442,84.33463586572456,0.578125,0.56825,0.069125,88.73070897326151,97.5671875,96.8609375,91.22421875,97.98046875,100.0,1.1069633989817735,0.9914134019240737
pareto,native_grpo,67.33944483998792,0.6396328125,0.211890625,2.0772826125621795,0.9974786417745054,1.665209232509136,20.256992871637767,97.87701047877188,28.599313470692486,33.2185435029833,0.601,0.5510625,0.025375,72.62758583449771,92.362890625,85.53515625,78.18125,95.848046875,67.60703125,1.157109380355952,1.0296414368376137
psi,eval,88.95022535761149,0.849203125,0.0631484375,0.3334219815135002,1.131697215396911,0.27996992666646836,80.140519231856,95.00011878351525,5.5160423068619435,83.28286225601785,0.58,0.5713125,0.07425,88.94166438470926,97.04765625,96.6859375,89.98828125,97.93359375,99.99296875,1.246030696091908,1.1426221585460008
psi,native_grpo,66.76978284995195,0.6298515625,0.219109375,2.088929799437523,1.150658422920853,1.6749495168328286,19.741708544556033,97.94004236168112,28.888939045404573,32.44909027667703,0.605125,0.5595625,0.02675,72.58587503440309,91.736328125,85.3578125,77.346875,95.65390625,66.95,1.3006607987470373,1.1869898263588547
score,eval,89.60119164348588,0.86346875,0.055734375,0.3141249212697148,0.9817094492521137,0.2636877279020846,81.3248718597788,95.04473920752581,4.99706381318464,84.41686271117543,0.578375,0.5681875,0.06925,88.76583429953352,97.60390625,96.86328125,91.25234375,97.9921875,100.0,1.1075093775457228,0.9916080657429993
score,native_grpo,67.35614198694029,0.639984375,0.2117578125,2.0757046715021135,0.997686978386715,1.6638795603513719,20.252953597366552,97.8954973468858,28.606092407683448,33.26199447232697,0.602,0.5526875,0.025125,72.63359572973678,92.389453125,85.52734375,78.22265625,95.857421875,67.61015625,1.157410534944091,1.0289240368306636
