analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
final512_seed_average,holdout,eval,psi,il_sft,mean_PDMS,5000,-0.19148487361707892,0.9751144032669856,-0.6304520139209994,0.26931699704064044,-0.680206684675523,0.30430877701783143,0.566,0.262,991
final512_seed_average,holdout,eval,psi,il_sft,feasible_rate,5000,-0.0528390625,0.0,-0.0590003125,-0.0468015234375,-0.05894051859734067,-0.04641399439568767,0.0556,0.744,991
final512_seed_average,holdout,eval,psi,il_sft,hard_failure_rate,5000,0.0153046875,0.0,0.0113840625,0.0195140625,0.01100497160934002,0.019590219828581838,0.1002,0.8558,991
final512_seed_average,holdout,eval,psi,il_sft,pairwise_ADE64,5000,0.14330691445432603,0.11789604276418686,0.1412590196733922,0.14545716296254657,0.14062663708360465,0.14609556068816482,1.0,0.0,991
final512_seed_average,holdout,eval,psi,il_sft,centroid_displacement,5000,1.120246264710091,0.9223531410098076,1.0934854719639593,1.1476038957202621,1.0726171987881634,1.1703818029502766,0.9518,0.0,991
final512_seed_average,holdout,eval,psi,il_sft,Spread_AUC,5000,0.12189461495354771,0.09979228302836418,0.12010664781494998,0.12362043283689768,0.11958495419438916,0.12427394183404591,1.0,0.0,991
final512_seed_average,holdout,eval,psi,il_sft,min_PDMS,5000,-2.922704579090619,0.1830904706866079,-3.50520333256779,-2.3502019319519567,-3.575389946726826,-2.2917518882139536,0.5142,0.2904,991
final512_seed_average,holdout,eval,psi,il_sft,max_PDMS,5000,1.3634793619024426,1.461947588148135,0.9979017105164936,1.707421135633392,0.9596147881251393,1.7383423642144693,0.5682,0.3712,991
final512_seed_average,holdout,eval,psi,il_sft,std_PDMS,5000,1.5730174970805084,0.1276472569402622,1.3542904038916812,1.798093632398843,1.3435972178351578,1.7918471682066162,0.521,0.2628,991
final512_seed_average,holdout,eval,psi,il_sft,CVaR25_PDMS,5000,-1.8511329646405414,0.47882330176074106,-2.416923600086384,-1.312459227777156,-2.4399895880613314,-1.2716405352941371,0.5362,0.2794,991
