split,protocol,method,mean_PDMS,feasible_rate,hard_failure_rate,pairwise_ADE64,centroid_displacement,Spread_AUC,min_PDMS,max_PDMS,std_PDMS,CVaR25_PDMS,Hit16,Hit8,no_safe_group,EP,NC,DAC,TTC,DDC,Comfort,GT_center_distance,CRN_policy_shift
holdout,eval,il_sft,90.64463891239286,0.9212125,0.0372359375,0.14222866141684354,0.17483744853083044,0.11869737812951207,87.21142135479647,93.36962020072275,2.2617857766535843,88.40816643070913,0.291225,0.2636375,0.0498,84.83135926069524,99.301875,96.95984375,97.0803125,98.37453125,99.9790625,0.3971175954613588,0.17590302057173104
holdout,eval,official_il,91.41399358942083,0.9313125,0.02833125,0.14547368229329585,0.0,0.12170899140127003,87.8745588717968,93.76646382375252,2.175874181880448,89.10442312970808,0.27915,0.2296,0.04385,85.27389647603806,99.50765625,97.6359375,97.45125,98.3928125,99.9825,0.3792696193292685,0.0
holdout,eval,pareto,90.65692026221461,0.875646875,0.0498921875,0.2862035843603313,1.1936905424298718,0.2412549678504467,84.54769300291987,94.76603446427622,3.751247710120173,86.844086746632,0.57925,0.5709,0.072,89.72573120990586,98.03546875,96.98953125,92.52234375,98.093203125,99.998125,1.3143000458550795,1.1979660694617777
holdout,eval,psi,90.45315403877578,0.8683734375,0.052540625,0.28553557587116957,1.2950837132409214,0.24059199308305979,84.28871677570585,94.73309956262518,3.8348032737340922,86.55703346606859,0.578275,0.56945,0.07575,89.95813928387749,97.716796875,97.03828125,91.84734375,97.994296875,99.9871875,1.411447399458944,1.299780610062182
holdout,eval,score,90.70954927841541,0.876471875,0.0494375,0.28565680934414267,1.1914631684381516,0.24079567266628146,84.60970803881365,94.79554443014392,3.73818356837199,86.91177677980139,0.5797,0.5714625,0.071475,89.74986382438944,98.06796875,97.0021875,92.59796875,98.094609375,99.99828125,1.3120772726601786,1.195726305000484
holdout,native_grpo,il_sft,68.85974354933678,0.688225,0.1859546875,1.9905391934037209,0.17966282660719007,1.593051702439785,22.065725230111404,96.65040970221706,27.13631751519838,35.84896765656563,0.5404,0.4377625,0.020575,70.82343902057607,95.246015625,85.67734375,83.36203125,96.95890625,68.75625,0.46183977988271097,0.18339056688379496
holdout,native_grpo,official_il,69.01966745063116,0.692465625,0.18354375,1.9937206166028976,0.0,1.5958393235206605,22.114591179980795,96.68466769237405,27.17041268211849,35.7999410268906,0.55345,0.447,0.0191,70.65350405533015,95.35421875,85.81375,83.6309375,97.054375,69.0715625,0.4455259104726052,0.0
holdout,native_grpo,pareto,67.67694417278388,0.640571875,0.2095671875,2.0662769963026046,1.2086457486692816,1.6567390070080756,20.220235937429237,97.83076898722523,28.605067856378415,33.45462618377822,0.60725,0.5612625,0.0267,73.39112818968756,92.84171875,85.48015625,78.7503125,96.064609375,66.99265625,1.3658914566312823,1.2271858974769712
holdout,native_grpo,psi,67.52535728675598,0.6362546875,0.212184375,2.067534329712391,1.3086141521235928,1.6576901097536088,20.13136370256133,97.89123421697104,28.687119348303252,33.2199969028464,0.60685,0.5619375,0.028425,73.48807060953372,92.41453125,85.6084375,78.31765625,95.84640625,66.73703125,1.4606873978940935,1.3299293672651054
holdout,native_grpo,score,67.71749788894512,0.6411796875,0.2091375,2.0658705523371697,1.2065323519852011,1.6563934475541116,20.25061518576722,97.83678410315086,28.58914855227467,33.49965579146585,0.60725,0.5613875,0.026575,73.41904963627039,92.8821875,85.486875,78.80703125,96.069296875,67.0025,1.3638302701499616,1.2249739284999668
train,eval,il_sft,92.91404869647259,0.951019287109375,0.016754150390625,0.14367220769054256,0.20434281870984705,0.12049287076297333,89.3912682922095,94.90858040289623,2.0629057249070564,90.65676914266945,0.298095703125,0.2752685546875,0.029052734375,86.25844570791878,99.87411499023438,98.57177734375,98.98529052734375,97.735595703125,99.5849609375,0.2691825292936791,0.20538042213593144
train,eval,official_il,92.51300265194955,0.947509765625,0.019287109375,0.14606734776316443,0.0,0.12278774319929653,89.27728529405293,94.86334173838277,2.0778674896141496,90.44643182027467,0.30322265625,0.255615234375,0.02734375,85.8893387355844,99.774169921875,98.52294921875,98.614501953125,97.73406982421875,99.444580078125,0.34372814716879235,0.0
train,eval,pareto,95.59814012116927,0.9346466064453125,0.0138397216796875,0.28428281039668946,1.139712872885866,0.2404061932465993,90.77985082339022,98.13296526175918,2.6716056431569055,92.70886142946269,0.60498046875,0.60009765625,0.02880859375,93.83170009143072,99.76272583007812,98.95782470703125,97.296142578125,97.49069213867188,99.72381591796875,1.2190878407151298,1.1445560297433985
train,eval,psi,95.68566968582871,0.9303436279296875,0.0150299072265625,0.28447879946179455,1.2282624625586323,0.24050432767398888,91.00660625028648,98.29614947472326,2.7175890169563264,92.75012171600581,0.604248046875,0.59912109375,0.02880859375,94.24803311278082,99.69940185546875,98.89678955078125,97.1466064453125,97.34954833984375,99.80926513671875,1.310318821096696,1.233719950003433
train,eval,score,95.66644446213968,0.9363861083984375,0.01373291015625,0.28372882557596313,1.136291377897578,0.23994198915897869,90.96940186923192,98.13933932434671,2.6362682881456525,92.77324983579157,0.60546875,0.6011962890625,0.0283203125,93.8142252987437,99.7833251953125,98.94866943359375,97.4822998046875,97.48764038085938,99.72381591796875,1.2153945543598212,1.1411423186291358
train,native_grpo,il_sft,71.85757745529219,0.727020263671875,0.154205322265625,1.9879490352468565,0.2089879823688534,1.5906431350158527,28.125317729663518,96.68423578602356,24.38366682421389,42.0982527482787,0.526611328125,0.4368896484375,0.024169921875,73.30952104138176,96.35009765625,88.0157470703125,86.13739013671875,96.42105102539062,67.3614501953125,0.33656971332109337,0.2127332859163289
train,native_grpo,official_il,71.78662541472717,0.7286376953125,0.154296875,1.9911190150305629,0.0,1.5933711444959044,27.732434644999397,96.68505057040144,24.588040514868474,41.7853413874583,0.53466796875,0.4404296875,0.02294921875,72.96193601929357,96.2371826171875,88.165283203125,86.0687255859375,96.57745361328125,67.8558349609375,0.40632238851794344,0.0
train,native_grpo,pareto,72.35517337331345,0.6886444091796875,0.1593475341796875,2.0626955712214112,1.1482435309771972,1.6536232127109542,26.12124819264365,98.6752883990011,26.383651042774485,39.86642145373977,0.600341796875,0.563232421875,0.0224609375,78.34121235725107,94.98443603515625,88.714599609375,82.18231201171875,95.70770263671875,65.45867919921875,1.263343033335939,1.1693408242645091
train,native_grpo,psi,72.43655378279301,0.6850128173828125,0.1595458984375,2.064146108692512,1.2360900411204057,1.6546683935448527,25.860593569827998,98.75809563722493,26.59398826053376,39.51160188263275,0.603271484375,0.5675048828125,0.022216796875,78.6561181493631,94.75173950195312,88.934326171875,81.84814453125,95.48263549804688,65.3594970703125,1.351368368318244,1.2602285937318811
train,native_grpo,score,72.3940894517557,0.68927001953125,0.1589508056640625,2.062276762793772,1.1448962643662526,1.6532689105952159,26.14067243164516,98.6495778963076,26.372792206175784,39.875512064616196,0.598876953125,0.5625,0.022705078125,78.35390378018715,95.03097534179688,88.71917724609375,82.2418212890625,95.703125,65.46630859375,1.2597868465218973,1.1659668699794565
