split,protocol,method,scenes
holdout,eval,il_sft,5000
holdout,eval,official_il,5000
holdout,eval,pareto,5000
holdout,eval,psi,5000
holdout,eval,score,5000
holdout,native_grpo,il_sft,5000
holdout,native_grpo,official_il,5000
holdout,native_grpo,pareto,5000
holdout,native_grpo,psi,5000
holdout,native_grpo,score,5000
train,eval,il_sft,512
train,eval,official_il,512
train,eval,pareto,512
train,eval,psi,512
train,eval,score,512
train,native_grpo,il_sft,512
train,native_grpo,official_il,512
train,native_grpo,pareto,512
train,native_grpo,psi,512
train,native_grpo,score,512
