analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
teacher:il_sft:ALL,holdout,eval,psi,il_sft,native_epsilon_loss,1000,0.007028892864062073,0.0034892346357082715,0.006130483349841575,0.007972112709359044,0.006077224013101519,0.00805401778942751,0.871,0.0,530
teacher:il_sft:ALL,holdout,eval,psi,il_sft,nearest_teacher_ADE,5000,0.7435703701009042,0.5134679228067398,0.7195623309346196,0.7681887007231428,0.7027568218772472,0.7863755070038788,0.8606,0.0,991
teacher:il_sft:ALL,holdout,eval,psi,il_sft,Hit64_0p5,5000,-0.5024,-0.5,-0.5164,-0.486795,-0.5219726942329587,-0.48351189877144507,0.0392,0.3866,991
teacher:il_sft:ALL,holdout,eval,psi,il_sft,Mass64_0p5,5000,-0.5351703125,-0.6953125,-0.5485690625,-0.52210453125,-0.55200720353624,-0.5192222864279943,0.0898,0.0834,991
teacher:il_sft:ALL,holdout,eval,psi,il_sft,Hit64_1p0,5000,-0.3566,0.0,-0.3693,-0.3433,-0.3761404792844851,-0.3383480167379018,0.011,0.5894,991
teacher:il_sft:ALL,holdout,eval,psi,il_sft,Mass64_1p0,5000,-0.52004375,-0.640625,-0.532868984375,-0.5067397265625,-0.5373346570553846,-0.5034172085337117,0.0362,0.2174,991
teacher:il_sft:ALL,holdout,eval,psi,score,native_epsilon_loss,1000,0.0014138260362506116,0.0006436715193558484,0.001229498290161837,0.0016196033858160265,0.0011924090957684214,0.0016547027136840813,0.795,0.0,530
teacher:il_sft:ALL,holdout,eval,psi,score,nearest_teacher_ADE,5000,0.10602822199501097,0.0706438347697258,0.10134617491897661,0.11072570619643665,0.09908781472487921,0.11294825952530013,0.7842,0.0,991
teacher:il_sft:ALL,holdout,eval,psi,score,Hit64_0p5,5000,-0.0356,0.0,-0.0408,-0.0306,-0.04111369525520223,-0.030281155027787752,0.0192,0.9022,991
teacher:il_sft:ALL,holdout,eval,psi,score,Mass64_0p5,5000,-0.0312140625,0.0,-0.033918828124999995,-0.0285375,-0.0344741504416271,-0.02808700466717206,0.0972,0.571,991
teacher:il_sft:ALL,holdout,eval,psi,score,Hit64_1p0,5000,-0.0381,0.0,-0.0435,-0.0328,-0.043469954219461225,-0.03258667410175282,0.0188,0.9,991
teacher:il_sft:ALL,holdout,eval,psi,score,Mass64_1p0,5000,-0.035728125,0.0,-0.038525039062499995,-0.0328484375,-0.03883304326077613,-0.032738721845692535,0.0956,0.5338,991
teacher:il_sft:ALL,holdout,eval,psi,pareto,native_epsilon_loss,1000,0.0014101543621527525,0.0006306901486823335,0.0012213063273618444,0.0016280972077389378,0.0011842237172320152,0.0016527453065115437,0.789,0.0,530
teacher:il_sft:ALL,holdout,eval,psi,pareto,nearest_teacher_ADE,5000,0.10466228598318994,0.06720180809497833,0.09984104227702599,0.1093041570824245,0.09786102082058964,0.11187627579446471,0.7768,0.0,991
teacher:il_sft:ALL,holdout,eval,psi,pareto,Hit64_0p5,5000,-0.0347,0.0,-0.0396,-0.029597499999999992,-0.04008622001250363,-0.02954969655114925,0.0186,0.9048,991
teacher:il_sft:ALL,holdout,eval,psi,pareto,Mass64_0p5,5000,-0.030053125,0.0,-0.032615742187500005,-0.027418671874999998,-0.03321451102879719,-0.02709462469195007,0.097,0.5754,991
teacher:il_sft:ALL,holdout,eval,psi,pareto,Hit64_1p0,5000,-0.0365,0.0,-0.0417,-0.0313,-0.04194477806209232,-0.031247937817258875,0.0208,0.899,991
teacher:il_sft:ALL,holdout,eval,psi,pareto,Mass64_1p0,5000,-0.03403125,0.0,-0.0367398828125,-0.0312090234375,-0.03687222575737872,-0.031093099411951056,0.0982,0.5366,991
teacher:il_sft:ALL,holdout,eval,il_sft,official_il,native_epsilon_loss,1000,0.00021433708721451693,6.141931226011366e-05,6.540386238325482e-05,0.0003600261402199976,6.363711933378674e-05,0.0003578663650751721,0.593,0.0,530
teacher:il_sft:ALL,holdout,eval,il_sft,official_il,nearest_teacher_ADE,5000,0.016284194497112183,0.0061933789402246475,0.013421135623736773,0.019219700549335687,0.013130076731198394,0.019298256108775103,0.5572,0.0,991
teacher:il_sft:ALL,holdout,eval,il_sft,official_il,Hit64_0p5,5000,-0.0183,0.0,-0.024,-0.0125,-0.02401216281936891,-0.012562787713527595,0.0222,0.9276,991
teacher:il_sft:ALL,holdout,eval,il_sft,official_il,Mass64_0p5,5000,-0.0261453125,0.0,-0.032184492187500004,-0.0203075,-0.03284649986260302,-0.0198435138357049,0.2468,0.4046,991
teacher:il_sft:ALL,holdout,eval,il_sft,official_il,Hit64_1p0,5000,-0.0024,0.0,-0.0047,-0.0002,-0.004753460101527091,9.811582930530863e-05,0.0038,0.988,991
teacher:il_sft:ALL,holdout,eval,il_sft,official_il,Mass64_1p0,5000,-0.0038203125,0.0,-0.006559453125,-0.0012452343749999996,-0.006353228962775637,-0.0013211656916086649,0.0466,0.8798,991
teacher:il_sft:ALL,holdout,eval,score,official_il,native_epsilon_loss,1000,0.005829403915025978,0.0029850397841073573,0.005101716497796906,0.006592416772065145,0.005055750592774797,0.006647189069589695,0.858,0.0,530
teacher:il_sft:ALL,holdout,eval,score,official_il,nearest_teacher_ADE,5000,0.6538263426030054,0.44520117342472076,0.6324278995319969,0.6749596843024809,0.6175220162767403,0.6908134118290263,0.8348,0.0,991
teacher:il_sft:ALL,holdout,eval,score,official_il,Hit64_0p5,5000,-0.4851,-0.5,-0.4993,-0.47099749999999996,-0.5044476058570594,-0.4668437660922362,0.0238,0.4346,991
teacher:il_sft:ALL,holdout,eval,score,official_il,Mass64_0p5,5000,-0.5301015625,-0.6640625,-0.542590703125,-0.5167634765625,-0.5475300285252835,-0.5129538983960054,0.0752,0.1086,991
teacher:il_sft:ALL,holdout,eval,score,official_il,Hit64_1p0,5000,-0.3209,0.0,-0.3338,-0.3078,-0.34032368886774267,-0.30314079125549953,0.0084,0.6326,991
teacher:il_sft:ALL,holdout,eval,score,official_il,Mass64_1p0,5000,-0.4881359375,-0.515625,-0.5010528125,-0.4755386328125,-0.5047180117317861,-0.471779841530755,0.0266,0.2562,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,native_epsilon_loss,1000,0.005833075589123837,0.0030704201199114323,0.005084425677989475,0.006596836317025281,0.005049099712476297,0.006606090987027866,0.858,0.0,530
teacher:il_sft:ALL,holdout,eval,pareto,official_il,nearest_teacher_ADE,5000,0.6551922786148265,0.44421879202127457,0.63358898235091,0.6757289816407765,0.6196225050285062,0.6923518680101954,0.835,0.0,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,Hit64_0p5,5000,-0.486,-0.5,-0.5009025,-0.4717,-0.5050497056393636,-0.4680893118464728,0.0238,0.4352,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,Mass64_0p5,5000,-0.5312625,-0.6640625,-0.5436663671875,-0.5186755859375001,-0.5483068450270151,-0.5137684625876539,0.0756,0.1084,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,Hit64_1p0,5000,-0.3225,0.0,-0.3353,-0.31,-0.34151869063305157,-0.30466610348034584,0.0084,0.63,991
teacher:il_sft:ALL,holdout,eval,pareto,official_il,Mass64_1p0,5000,-0.4898328125,-0.5234375,-0.5023002734375,-0.477362109375,-0.5076199509733336,-0.47309515345822367,0.0264,0.255,991
