split,method,seed,step,protocol,teacher_origin,kind,native_epsilon_loss_mean,native_epsilon_loss_count,nearest_teacher_ADE_mean,nearest_teacher_ADE_count,Hit64_0p5_mean,Hit64_0p5_count,Mass64_0p5_mean,Mass64_0p5_count,Hit64_1p0_mean,Hit64_1p0_count,Mass64_1p0_mean,Mass64_1p0_count
holdout,il_sft,1701,128,eval,il_sft,ALL,,0,0.32821699464321136,1000,0.82,1000,0.5866875,1000,0.961,1000,0.902625,1000
holdout,il_sft,1701,128,eval,il_sft,GT,,0,0.32821699464321136,1000,0.82,1000,0.5866875,1000,0.961,1000,0.902625,1000
holdout,il_sft,1701,128,eval,pareto,ALL,,0,1.2901734441316879,1000,0.37180000016242265,1000,0.24493828121544794,1000,0.5387000007942319,1000,0.4522265631211223,1000
holdout,il_sft,1701,128,eval,pareto,GT,,0,0.3631532612360186,396,0.803030303030303,396,0.5603693181818182,396,0.946969696969697,396,0.8789851641414141,396
holdout,il_sft,1701,128,eval,pareto,NON_GT,,0,1.2984563873393786,1000,0.35972500036098065,1000,0.2348031251344364,1000,0.5336250008735806,1000,0.44851367255314833,1000
holdout,il_sft,1701,128,eval,psi,ALL,,0,1.3822501204442903,1000,0.3074999974370003,1000,0.20409218570124357,1000,0.4832499981820583,1000,0.3907523416639306,1000
holdout,il_sft,1701,128,eval,psi,GT,,0,0.36153682281294136,391,0.8056265984654731,391,0.5639386189258312,391,0.9462915601023018,391,0.8805147058823529,391
holdout,il_sft,1701,128,eval,psi,NON_GT,,0,1.6196252474071737,943,0.1241251324102962,943,0.07091977060273733,943,0.35869565188947944,943,0.24269286830626105,943
holdout,il_sft,1701,128,eval,score,ALL,,0,1.2878489039559846,1000,0.37255000019222495,1000,0.24570703124599533,1000,0.5406500008717179,1000,0.4538765631933464,1000
holdout,il_sft,1701,128,eval,score,GT,,0,0.36395110758561033,397,0.801007556675063,397,0.5589578085642317,397,0.947103274559194,397,0.8782666876574308,397
holdout,il_sft,1701,128,eval,score,NON_GT,,0,1.2961436809021984,1000,0.36047500039078295,1000,0.2355718751649838,1000,0.5355750009510666,1000,0.4501613288736844,1000
holdout,il_sft,1701,128,native_grpo,il_sft,ALL,,0,0.9009939108788967,1000,0.001,1000,1.5625e-05,1000,0.83,1000,0.039234375,1000
holdout,il_sft,1701,128,native_grpo,il_sft,GT,,0,0.9009939108788967,1000,0.001,1000,1.5625e-05,1000,0.83,1000,0.039234375,1000
holdout,il_sft,1701,128,native_grpo,pareto,ALL,,0,1.4239489162443222,1000,0.000699999988079071,1000,1.0937499813735485e-05,1000,0.4475500005930662,1000,0.019140625010896476,1000
holdout,il_sft,1701,128,native_grpo,pareto,GT,,0,0.9190355716179116,396,0.0025252525252525255,396,3.945707070707071e-05,396,0.8131313131313131,396,0.038312815656565656,396
holdout,il_sft,1701,128,native_grpo,pareto,NON_GT,,0,1.4261526465051906,1000,0.0,1000,0.0,1000,0.44380000065639613,1000,0.018571875020512378,1000
holdout,il_sft,1701,128,native_grpo,psi,ALL,,0,1.47446588394606,1000,0.000699999988079071,1000,1.0937499813735485e-05,1000,0.39309999817609786,1000,0.01640390614559874,1000
holdout,il_sft,1701,128,native_grpo,psi,GT,,0,0.9177202298055829,391,0.0025575447570332483,391,3.9961636828644505e-05,391,0.8184143222506394,391,0.03860294117647059,391
holdout,il_sft,1701,128,native_grpo,psi,NON_GT,,0,1.5747162942513762,943,0.0,943,0.0,943,0.26834570492439025,943,0.00881578074373139,943
holdout,il_sft,1701,128,native_grpo,score,ALL,,0,1.4228564120738634,1000,0.000699999988079071,1000,1.0937499813735485e-05,1000,0.44860000063478944,1000,0.019201562513317914,1000
holdout,il_sft,1701,128,native_grpo,score,GT,,0,0.9195358214960891,397,0.0025188916876574307,397,3.9357682619647354e-05,397,0.8110831234256927,397,0.03821630982367758,397
holdout,il_sft,1701,128,native_grpo,score,NON_GT,,0,1.4250582673815082,1000,0.0,1000,0.0,1000,0.4448500006981194,1000,0.01863281252293382,1000
holdout,il_sft,1701,512,eval,il_sft,ALL,0.0038944067569391338,1000,0.24709359728787095,5000,0.8846,5000,0.730453125,5000,0.9748,5000,0.948246875,5000
holdout,il_sft,1701,512,eval,il_sft,GT,0.0038944067569391338,1000,0.24709359728787095,5000,0.8846,5000,0.730453125,5000,0.9748,5000,0.948246875,5000
holdout,il_sft,1701,512,eval,pareto,ALL,0.022184205159536296,1000,1.1391477860518475,5000,0.42421000043362384,5000,0.3248092188650835,5000,0.5841600010633469,5000,0.5104137508507259,5000
holdout,il_sft,1701,512,eval,pareto,GT,0.004795174234390508,396,0.2566614049610451,1951,0.8831368528959508,1951,0.7289130574064582,1951,0.9682214249103024,1951,0.9407835725269093,1951
holdout,il_sft,1701,512,eval,pareto,NON_GT,0.02212145963501566,1000,1.1486935418935584,5000,0.4184150005262345,5000,0.31482281278058655,5000,0.5825000010848045,5000,0.5066328134076903,5000
holdout,il_sft,1701,512,eval,psi,ALL,0.02556805488977093,1000,1.2343223079837649,5000,0.3546799972295761,5000,0.2686171850880608,5000,0.5395199985265732,5000,0.4595665606783703,5000
holdout,il_sft,1701,512,eval,psi,GT,0.004731616701751114,391,0.24793878579096384,1926,0.8878504672897196,1926,0.7337584371754933,1926,0.9704049844236761,1926,0.9434384735202492,1926
holdout,il_sft,1701,512,eval,psi,NON_GT,0.030730684034720703,943,1.4604820196472315,4728,0.16502749557447716,4728,0.10084040543279578,4728,0.43927664947640876,4728,0.3344283719473619,4728
holdout,il_sft,1701,512,eval,score,ALL,0.022172194311729773,1000,1.1354978020047133,5000,0.4261500005057455,5000,0.32616703141509557,5000,0.5865300011566281,5000,0.5128720321950921,5000
holdout,il_sft,1701,512,eval,score,GT,0.004789471292618601,397,0.25673163675740285,1954,0.882804503582395,1954,0.7287215327533265,1954,0.9682702149437052,1954,0.9408664918116684,1954
holdout,il_sft,1701,512,eval,score,NON_GT,0.02210999509484453,1000,1.1450692809907306,5000,0.4203050005991012,5000,0.3161259378310409,5000,0.5848850011784583,5000,0.5090832041278074,5000
holdout,il_sft,1701,512,native_grpo,il_sft,ALL,0.0038944067569391338,1000,0.8802381318151951,5000,0.0012,5000,1.875e-05,5000,0.8802,5000,0.043784375,5000
holdout,il_sft,1701,512,native_grpo,il_sft,GT,0.0038944067569391338,1000,0.8802381318151951,5000,0.0012,5000,1.875e-05,5000,0.8802,5000,0.043784375,5000
holdout,il_sft,1701,512,native_grpo,pareto,ALL,0.022184205159536296,1000,1.3447488030025667,5000,0.0002600000023841858,5000,4.062500037252903e-06,5000,0.49067000078797335,5000,0.021630781275099143,5000
holdout,il_sft,1701,512,native_grpo,pareto,GT,0.004795174234390508,396,0.8894933661639782,1951,0.0005125576627370579,1951,8.00871348026653e-06,1951,0.8739108149666838,1951,0.04306285238339313,1951
holdout,il_sft,1701,512,native_grpo,pareto,NON_GT,0.02212145963501566,1000,1.3465896020241641,5000,0.0002600000023841858,5000,4.062500037252903e-06,5000,0.4872900008380413,5000,0.0213476562796277,5000
holdout,il_sft,1701,512,native_grpo,psi,ALL,0.02556805488977093,1000,1.3942567059958075,5000,0.0001399999976158142,5000,2.187499962747097e-06,5000,0.4412199983239174,5000,0.0187606248896569,5000
holdout,il_sft,1701,512,native_grpo,psi,GT,0.004731616701751114,391,0.884263160939281,1926,0.0005192107995846313,1926,8.112668743509865e-06,1926,0.8764278296988577,1926,0.04326486240913811,1926
holdout,il_sft,1701,512,native_grpo,psi,NON_GT,0.030730684034720703,943,1.4822023093307783,4728,0.0,4728,0.0,4728,0.32509517745948485,4728,0.01112306339052851,4728
holdout,il_sft,1701,512,native_grpo,score,ALL,0.022172194311729773,1000,1.3428026647684168,5000,0.0003200000047683716,5000,5.000000074505806e-06,5000,0.49277000087052586,5000,0.021727343778894282,5000
holdout,il_sft,1701,512,native_grpo,score,GT,0.004789471292618601,397,0.8895725523376172,1954,0.0005117707267144319,1954,7.996417604912999e-06,1954,0.8735926305015353,1954,0.04302072671443193,1954
holdout,il_sft,1701,512,native_grpo,score,NON_GT,0.02210999509484453,1000,1.3446444887422238,5000,0.0003200000047683716,5000,5.000000074505806e-06,5000,0.4894050009209663,5000,0.0214449219084403,5000
holdout,il_sft,2903,128,eval,il_sft,ALL,,0,0.31372435416653754,1000,0.84,1000,0.6374375,1000,0.96,1000,0.919515625,1000
holdout,il_sft,2903,128,eval,il_sft,GT,,0,0.31372435416653754,1000,0.84,1000,0.6374375,1000,0.96,1000,0.919515625,1000
holdout,il_sft,2903,128,eval,pareto,ALL,,0,1.1691165230063987,1000,0.4172500006094575,1000,0.3025898438240867,1000,0.6027000007987022,1000,0.5181625007577241,1000
holdout,il_sft,2903,128,eval,pareto,GT,,0,0.3279452446678823,396,0.8358585858585859,396,0.6504892676767676,396,0.9545454545454546,396,0.9172190656565656,396
holdout,il_sft,2903,128,eval,pareto,NON_GT,,0,1.1770315546435697,1000,0.41442500064708293,1000,0.2900078127810848,1000,0.6017500008046627,1000,0.5144898445601576,1000
holdout,il_sft,2903,128,eval,psi,ALL,,0,1.2548322122657845,1000,0.3439999973773956,1000,0.25206406037975104,1000,0.5593499986231327,1000,0.4661304670502432,1000
holdout,il_sft,2903,128,eval,psi,GT,,0,0.3270971571259639,391,0.8363171355498721,391,0.652093989769821,391,0.9539641943734015,391,0.9162404092071611,391
holdout,il_sft,2903,128,eval,psi,NON_GT,,0,1.468750825656829,943,0.16219512171735187,943,0.09978376842258954,943,0.46505832422449633,943,0.34934136371176655,943
holdout,il_sft,2903,128,eval,score,ALL,,0,1.1677950385245635,1000,0.41775000062137846,1000,0.3030921875913162,1000,0.6034500008285046,1000,0.5187531257813331,1000
holdout,il_sft,2903,128,eval,score,GT,,0,0.327930525893003,397,0.836272040302267,397,0.6497166246851386,397,0.9546599496221663,397,0.9174275818639799,397
holdout,il_sft,2903,128,eval,score,NON_GT,,0,1.1757552279519785,1000,0.41472500065900386,1000,0.29044140654831424,1000,0.602500000834465,1000,0.5150781258337084,1000
holdout,il_sft,2903,128,native_grpo,il_sft,ALL,,0,0.8997727587223053,1000,0.001,1000,1.5625e-05,1000,0.849,1000,0.040890625,1000
holdout,il_sft,2903,128,native_grpo,il_sft,GT,,0,0.8997727587223053,1000,0.001,1000,1.5625e-05,1000,0.849,1000,0.040890625,1000
holdout,il_sft,2903,128,native_grpo,pareto,ALL,,0,1.380263553980462,1000,0.0,1000,0.0,1000,0.491400000615418,1000,0.02071250001587905,1000
holdout,il_sft,2903,128,native_grpo,pareto,GT,,0,0.912913637179317,396,0.0,396,0.0,396,0.8409090909090909,396,0.03910195707070707,396
holdout,il_sft,2903,128,native_grpo,pareto,NON_GT,,0,1.3816769578800427,1000,0.0,1000,0.0,1000,0.48647500068880617,1000,0.020205468774132897,1000
holdout,il_sft,2903,128,native_grpo,psi,ALL,,0,1.4291822884963807,1000,0.0,1000,0.0,1000,0.43944999846816063,1000,0.01811640615714714,1000
holdout,il_sft,2903,128,native_grpo,psi,GT,,0,0.9133214825559455,391,0.0,391,0.0,391,0.8414322250639387,391,0.0392423273657289,391
holdout,il_sft,2903,128,native_grpo,psi,NON_GT,,0,1.5183600508802464,943,0.0,943,0.0,943,0.32852598067179467,943,0.011322739914806278,943
holdout,il_sft,2903,128,native_grpo,score,ALL,,0,1.3794469526665507,1000,0.0,1000,0.0,1000,0.4912500006139279,1000,0.020725781266670674,1000
holdout,il_sft,2903,128,native_grpo,score,GT,,0,0.9131259688502295,397,0.0,397,0.0,397,0.8413098236775819,397,0.03904282115869018,397
holdout,il_sft,2903,128,native_grpo,score,NON_GT,,0,1.380848765301932,1000,0.0,1000,0.0,1000,0.48625000068545343,1000,0.020219531274866313,1000
holdout,il_sft,2903,512,eval,il_sft,ALL,0.0040458298622324945,1000,0.2505999697390944,5000,0.8812,5000,0.7306,5000,0.9752,5000,0.94993125,5000
holdout,il_sft,2903,512,eval,il_sft,GT,0.0040458298622324945,1000,0.2505999697390944,5000,0.8812,5000,0.7306,5000,0.9752,5000,0.94993125,5000
holdout,il_sft,2903,512,eval,pareto,ALL,0.022876451670067195,1000,1.1473133157452688,5000,0.42031000042557715,5000,0.32439468760249207,5000,0.5828600010514259,5000,0.5094884383504699,5000
holdout,il_sft,2903,512,eval,pareto,GT,0.004939227855027988,396,0.26079059043361674,1951,0.8790363915940543,1951,0.7254052409021015,1951,0.9692465402357765,1951,0.9436106483854434,1951
holdout,il_sft,2903,512,eval,pareto,NON_GT,0.022823623022063307,1000,1.1567304821133155,5000,0.4136800005316734,5000,0.3148639065101859,5000,0.580920001077652,5000,0.5060328915272665,5000
holdout,il_sft,2903,512,eval,psi,ALL,0.02634232560834598,1000,1.2433047937144392,5000,0.35228999726176263,5000,0.26799609135584906,5000,0.5374099984586239,5000,0.4574629668802954,5000
holdout,il_sft,2903,512,eval,psi,GT,0.0048689275198230365,391,0.2520701996208413,1926,0.8826583592938733,1926,0.7304160176531672,1926,0.9714434060228453,1926,0.9463022455867082,1926
holdout,il_sft,2903,512,eval,psi,NON_GT,0.031684820074916104,943,1.4716336054000345,4728,0.16340947528125468,4728,0.10124920672904889,4728,0.43341793542233015,4728,0.3285595783309825,4728
holdout,il_sft,2903,512,eval,score,ALL,0.02286341893413523,1000,1.1437497220474109,5000,0.4221600004932285,5000,0.32573187515160534,5000,0.5850600011354685,5000,0.5118204696898256,5000
holdout,il_sft,2903,512,eval,score,GT,0.004932727123108433,397,0.2608613153650762,1954,0.8787103377686797,1954,0.7251231448311156,1954,0.9692937563971341,1954,0.9436892272262026,1954
holdout,il_sft,2903,512,eval,score,NON_GT,0.022811177550295436,1000,1.153191573690728,5000,0.4154950006004423,5000,0.31616023468489873,5000,0.5831100011624396,5000,0.5083548447423498,5000
holdout,il_sft,2903,512,native_grpo,il_sft,ALL,0.0040458298622324945,1000,0.8803332245528698,5000,0.0012,5000,1.875e-05,5000,0.8814,5000,0.04428125,5000
holdout,il_sft,2903,512,native_grpo,il_sft,GT,0.0040458298622324945,1000,0.8803332245528698,5000,0.0012,5000,1.875e-05,5000,0.8814,5000,0.04428125,5000
holdout,il_sft,2903,512,native_grpo,pareto,ALL,0.022876451670067195,1000,1.3518935385907425,5000,0.00015000000596046448,5000,2.3437500931322574e-06,5000,0.48602000079482793,5000,0.021707656271657907,5000
holdout,il_sft,2903,512,native_grpo,pareto,GT,0.004939227855027988,396,0.8888671651429119,1951,0.0,1951,0.0,1951,0.8749359302921579,1951,0.04375160174269605,1951
holdout,il_sft,2903,512,native_grpo,pareto,NON_GT,0.022823623022063307,1000,1.3539755051119722,5000,0.0003600000023841858,5000,5.625000037252903e-06,5000,0.4833250008326024,5000,0.021249140654172514,5000
holdout,il_sft,2903,512,native_grpo,psi,ALL,0.02634232560834598,1000,1.4024055502487984,5000,0.0,5000,0.0,5000,0.43443999829292296,5000,0.018777968635130673,5000
holdout,il_sft,2903,512,native_grpo,psi,GT,0.0048689275198230365,391,0.8836972378310385,1926,0.0,1926,0.0,1926,0.8769470404984424,1926,0.04397066458982347,1926
holdout,il_sft,2903,512,native_grpo,psi,NON_GT,0.031684820074916104,943,1.492196517547909,4728,0.0,4728,0.0,4728,0.315640862741194,4728,0.010819849822325112,4728
holdout,il_sft,2903,512,native_grpo,score,ALL,0.02286341893413523,1000,1.3499432578732244,5000,0.00021000000834465026,5000,3.2812501303851603e-06,5000,0.4879700008714199,5000,0.021796093775066548,5000
holdout,il_sft,2903,512,native_grpo,score,GT,0.004932727123108433,397,0.8888923068556596,1954,0.0,1954,0.0,1954,0.8746161719549642,1954,0.043716415046059366,1954
holdout,il_sft,2903,512,native_grpo,score,NON_GT,0.022811177550295436,1000,1.3520291038226002,5000,0.0004200000047683716,5000,6.562500074505806e-06,5000,0.48529000090956687,5000,0.02133726565760444,5000
holdout,official_il,0,0,eval,il_sft,ALL,0.0037557812223712973,1000,0.23256258901637047,5000,0.9012,5000,0.756671875,5000,0.9774,5000,0.952909375,5000
holdout,official_il,0,0,eval,il_sft,GT,0.0037557812223712973,1000,0.23256258901637047,5000,0.9012,5000,0.756671875,5000,0.9774,5000,0.952909375,5000
holdout,official_il,0,0,eval,pareto,ALL,0.021178369411076384,1000,1.1028463976214122,5000,0.4317200004461408,5000,0.33883937508970036,5000,0.5928700011637806,5000,0.5145068759565428,5000
holdout,official_il,0,0,eval,pareto,GT,0.004610167115354882,396,0.239953698188941,1951,0.9041517170681702,1951,0.76502434648898,1951,0.9712967708867247,1951,0.9463896719630959,1951
holdout,official_il,0,0,eval,pareto,NON_GT,0.021132456611507557,1000,1.112692689882276,5000,0.4247350005570799,5000,0.3270733596590755,5000,0.591125001187995,5000,0.5111034385078121,5000
holdout,official_il,0,0,eval,psi,ALL,0.024306434216292954,1000,1.196292695473806,5000,0.35993999725580217,5000,0.2794156225066632,5000,0.5466099985301495,5000,0.46122421698207033,5000
holdout,official_il,0,0,eval,psi,GT,0.004477614445243459,391,0.23177177820553924,1926,0.9075804776739356,1926,0.7694055036344756,1926,0.9740394600207685,1926,0.9493039330218068,1926
holdout,official_il,0,0,eval,psi,NON_GT,0.029261472205691395,943,1.4186277126122355,4728,0.16900380695153613,4728,0.10337533697463468,4728,0.44817047348709277,4728,0.3380943644556844,4728
holdout,official_il,0,0,eval,score,ALL,0.02116711396924765,1000,1.0991643450395392,5000,0.43387000052660707,5000,0.34046000014842953,5000,0.5951500012534857,5000,0.5171867198107345,5000
holdout,official_il,0,0,eval,score,GT,0.00460105885652981,397,0.23986151710223166,1954,0.9042988741044012,1954,0.7650492579324463,1954,0.9713408393039918,1954,0.9464719805527124,1954
holdout,official_il,0,0,eval,score,NON_GT,0.021121490706653503,1000,1.1090380807812659,5000,0.4268350006382912,5000,0.3286474222187593,5000,0.5934200012780726,5000,0.513799922987743,5000
holdout,official_il,0,0,native_grpo,il_sft,ALL,0.0037557812223712973,1000,0.8759021929204464,5000,0.001,5000,1.5625e-05,5000,0.8918,5000,0.045559375,5000
holdout,official_il,0,0,native_grpo,il_sft,GT,0.0037557812223712973,1000,0.8759021929204464,5000,0.001,5000,1.5625e-05,5000,0.8918,5000,0.045559375,5000
holdout,official_il,0,0,native_grpo,pareto,ALL,0.021178369411076384,1000,1.3238917376656523,5000,0.0003200000047683716,5000,5.000000074505806e-06,5000,0.4980100008028746,5000,0.022473437520447188,5000
holdout,official_il,0,0,native_grpo,pareto,GT,0.004610167115354882,396,0.8837313536556485,1951,0.0005125576627370579,1951,8.00871348026653e-06,1951,0.8867247565351102,1951,0.045337327011788824,1951
holdout,official_il,0,0,native_grpo,pareto,NON_GT,0.021132456611507557,1000,1.3260128528961401,5000,0.0004600000023841858,5000,7.187500037252903e-06,5000,0.4943300008572638,5000,0.02182335940612829,5000
holdout,official_il,0,0,native_grpo,psi,ALL,0.024306434216292954,1000,1.3709286713177602,5000,0.0001399999976158142,5000,2.187499962747097e-06,5000,0.44839999842643735,5000,0.01949859363557771,5000
holdout,official_il,0,0,native_grpo,psi,GT,0.004477614445243459,391,0.879161955380613,1926,0.0005192107995846313,1926,8.112668743509865e-06,1926,0.8878504672897196,1926,0.045487733644859814,1926
holdout,official_il,0,0,native_grpo,psi,NON_GT,0.029261472205691395,943,1.4550620665490113,4728,0.0,4728,0.0,4728,0.3357127747875079,4728,0.01142941650061107,4728
holdout,official_il,0,0,native_grpo,score,ALL,0.02116711396924765,1000,1.3219984556864584,5000,0.0003800000071525574,5000,5.937500111758709e-06,5000,0.5001400008875132,5000,0.02257187502431683,5000
holdout,official_il,0,0,native_grpo,score,GT,0.00460105885652981,397,0.8837734229916072,1954,0.0005117707267144319,1954,7.996417604912999e-06,1954,0.8863868986693961,1954,0.04529970573183214,1954
holdout,official_il,0,0,native_grpo,score,NON_GT,0.021121490706653503,1000,1.324119537216206,5000,0.0005200000047683716,5000,8.125000074505807e-06,5000,0.4964600009419024,5000,0.0219225000350154,5000
holdout,pareto,1701,128,eval,il_sft,ALL,,0,0.6965595611743629,1000,0.524,1000,0.25825,1000,0.754,1000,0.5348125,1000
holdout,pareto,1701,128,eval,il_sft,GT,,0,0.6965595611743629,1000,0.524,1000,0.25825,1000,0.754,1000,0.5348125,1000
holdout,pareto,1701,128,eval,pareto,ALL,,0,0.6200905227774469,1000,0.5893000003740192,1000,0.2949312500547618,1000,0.8187000005170703,1000,0.6210125006118323,1000
holdout,pareto,1701,128,eval,pareto,GT,,0,0.4491178085463065,396,0.73989898989899,396,0.4146543560606061,396,0.8838383838383839,396,0.7426215277777778,396
holdout,pareto,1701,128,eval,pareto,NON_GT,,0,0.6237018893552231,1000,0.5860750004258006,1000,0.2898804688877426,1000,0.8188250005152077,1000,0.6195359381383169,1000
holdout,pareto,1701,128,eval,psi,ALL,,0,0.6406398155290106,1000,0.5467499976456165,1000,0.2708851547907107,1000,0.808549998909235,1000,0.5918476547221653,1000
holdout,pareto,1701,128,eval,psi,GT,,0,0.4472715889611055,391,0.7416879795396419,391,0.4163203324808184,391,0.8849104859335039,391,0.7448049872122762,391
holdout,pareto,1701,128,eval,psi,NON_GT,,0,0.7436833586854356,943,0.4217921522300797,943,0.19042533779346946,943,0.7679215265420184,943,0.5206778561276673,943
holdout,pareto,1701,128,eval,score,ALL,,0,0.6198802416957407,1000,0.5888500003561378,1000,0.29490312505781185,1000,0.8187000005170703,1000,0.6207968756056856,1000
holdout,pareto,1701,128,eval,score,GT,,0,0.44838361876549887,397,0.7405541561712846,397,0.414397040302267,397,0.8841309823677582,397,0.7430336901763224,397
holdout,pareto,1701,128,eval,score,NON_GT,,0,0.6235148875249185,1000,0.5856250004079193,1000,0.28986054701483227,1000,0.8188250005152077,1000,0.6193109381314716,1000
holdout,pareto,1701,128,native_grpo,il_sft,ALL,,0,1.1220428122878074,1000,0.0,1000,0.0,1000,0.507,1000,0.0174375,1000
holdout,pareto,1701,128,native_grpo,il_sft,GT,,0,1.1220428122878074,1000,0.0,1000,0.0,1000,0.507,1000,0.0174375,1000
holdout,pareto,1701,128,native_grpo,pareto,ALL,,0,1.0664642332538816,1000,0.0,1000,0.0,1000,0.5893000002741814,1000,0.02097031251285225,1000
holdout,pareto,1701,128,native_grpo,pareto,GT,,0,0.9919842165527921,396,0.0,396,0.0,396,0.7247474747474747,396,0.026081123737373736,396
holdout,pareto,1701,128,native_grpo,pareto,NON_GT,,0,1.067228806205415,1000,0.0,1000,0.0,1000,0.5815500003993511,1000,0.020756250016391278,1000
holdout,pareto,1701,128,native_grpo,psi,ALL,,0,1.0684510528654654,1000,0.0,1000,0.0,1000,0.5651999986171723,1000,0.019810937439091503,1000
