source_type,family,run,checkpoint,trajectory_output_key,num_samples,num_pdm_valid,num_pdm_missing_metric_cache,num_pdm_failed,PDMS,delta_vs_a0_0.864891,delta_vs_base_2b_il_0.858575,trajectory_l1,NC,DAC,TTC,comfort,EP,DDC,metrics_path,notes
full_navtest,baseline_a0_official_aligned,step_00100000,/mnt/project/VLA-AD/outputs/a0_stage2_repro_20260531_003029/a0_official_aligned_a0complete/step_00100000.ckpt,,12146,12138,8,0,0.8648911512284444,1.5122844443382633e-07,0.006316151228444422,0.260490880926932,0.981339594661394,0.9472730268578019,0.9427418026033944,0.9995056846267919,0.808920521698952,0.978332509474378,/mnt/project/VLA-AD/outputs/a0_stage2_repro_20260531_003029/a0_official_aligned_a0complete/eval/step_00100000/metrics.json,Original ReCogDrive stage2 reproduction with official-aligned Lightning path.
full_navtest,baseline_base_2b_il,base_2b_il_full,/mnt/project/VLA-AD/checkpoints/recogdrive/ReCogDrive-2B-IL,pred_traj,12146,12138,8,0,0.8585748393389098,-0.006316160661090198,-1.606610902094019e-07,0.2601323393342206,0.979650683802933,0.9429889602899983,0.9363980886472236,0.9997528423133959,0.8060532128106166,0.9799390344373043,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_navtest_cot_lora_eval_20260607T142428Z/eval/base_2b_il_full/metrics.json,Base ReCogDrive-2B-IL checkpoint evaluated in decoupled NAVTEST harness.
full_navtest,decoupled_cot_only_A,A_cot_latest_full_coarse,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_ab_cacheenv_setsid_20260607T022706Z/A/serverA_frozen_vlm_decoupled_highcap_no_risk/cot_alignment/latest.ckpt,pred_coarse_traj,12146,12138,8,0,0.5616558984410005,-0.30323510155899946,-0.2969191015589995,2.0829627267073514,0.7988960289998353,0.8096885813148789,0.6646894051738342,0.83028505519855,0.6143059439646467,0.8991184709177789,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_navtest_cot_lora_eval_20260607T142428Z/eval/A_cot_latest_full_coarse/metrics.json,"CoT-only A line; pred_coarse_traj diagnostic, not final stage2 IL."
full_navtest,decoupled_lora_direct_coarse_B,B_epoch005_lora_direct_online_pred_coarse_traj_full,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_ab_cacheenv_setsid_20260607T022706Z/B/serverB_vlm_lora_decoupled_highcap_no_risk/vlm_lora_cot_alignment/epoch_005.ckpt,pred_coarse_traj,12146,12138,8,0,0.8163069145174008,-0.04858408548259918,-0.042268085482599194,0.7066536197607833,0.9717828307793706,0.904185203493162,0.9153072993903444,0.9756961608172681,0.7889368239367909,0.9758609326083375,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_b_lora_coarse_traj_eval_20260608T094125Z/eval/B_epoch005_lora_direct_online_pred_coarse_traj_full/metrics.json,B LoRA direct-online coarse trajectory sweep; diagnostic CoT/coarse output.
full_navtest,decoupled_lora_direct_pred_traj_B,B_epoch005_lora_direct_online_pred_traj_full,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_ab_cacheenv_setsid_20260607T022706Z/B/serverB_vlm_lora_decoupled_highcap_no_risk/vlm_lora_cot_alignment/epoch_005.ckpt,pred_traj,12146,12138,8,0,0.01924644666078987,-0.8456445533392101,-0.8393285533392101,13.732307440756024,0.4552644587246663,0.13873784808040862,0.18858131487889274,0.0028011204481792717,0.019986348085189776,0.20617070357554787,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_navtest_vlm_pred_traj_eval_20260608T033900Z/eval/B_epoch005_lora_direct_online_pred_traj_full/metrics.json,B LoRA direct-online pred_traj output; very poor because this is not the intended coarse output.
full_navtest,decoupled_stage2_progressive_A,latest_pred_traj,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_ab_cacheenv_setsid_20260607T022706Z/A/serverA_frozen_vlm_decoupled_highcap_no_risk/progressive_sft_decoupled/latest.ckpt,pred_traj,12146,12138,8,0,0.5381520494194422,-0.3267389505805578,-0.3204229505805578,1.9078765112042388,0.8731257208765859,0.7466633712308453,0.7581973966057011,0.46144340088976765,0.5915864724812838,0.8597380128521998,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_a_progressive_all_ckpt_eval_20260608T0633Z/eval/latest_pred_traj/metrics.json,Frozen-VLM decoupled progressive SFT stage2.
full_navtest,decoupled_stage2_progressive_B,step_00120000_pred_traj_online_lora,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_ab_cacheenv_setsid_20260607T022706Z/B/serverB_vlm_lora_decoupled_highcap_no_risk/progressive_sft_decoupled/step_00120000.ckpt,pred_traj,12146,12138,8,0,0.6412836068897456,-0.22360739311025435,-0.21729139311025436,1.0581684190391631,0.944760257043994,0.8179271708683473,0.8389355742296919,0.7094249464491679,0.6201536958888573,0.9540698632394135,/mnt/project/VLA-AD/outputs/last_vla_v2/decoupled_highcap_no_risk_b_progressive_parallel_eval_20260608T221613Z_100k_120k/eval/step_00120000_pred_traj_online_lora/metrics.json,LoRA/online-VLM decoupled progressive SFT stage2.
full_navtest,direct_text_vlm_trajectory,base,/mnt/project/VLA-AD/checkpoints/recogdrive/ReCogDrive-VLM-2B,direct_text_pt,12138,12138,,,0.8458036812583192,-0.019087318741680792,-0.012771318741680804,,0.9807217004448838,0.9346679848409952,0.9368924040204317,0.9999176141044653,0.7867915791128178,0.978703246004284,/mnt/project/VLA-AD/outputs/last_vla_v2/direct_text_navtest_eval_8shard_parallel_20260608T135058Z/summary.csv,"Direct text trajectory emitted by VLM, not stage2 diffusion output. LoRA rows use adapter in lora_adapter_dir."
full_navtest,legacy_highcap_serverA_frozen_vlm,top_step_00050000,/mnt/project/VLA-AD/outputs/last_vla_v2/highcap_no_risk_navtest_eval_20260606T034658Z/checkpoint_snapshot/serverA_frozen_highcap_no_risk/top_step_00050000.ckpt,,12146,12138,8,0,0.4710928250109606,-0.39379817498903935,-0.38748217498903936,2.668525570162866,0.7546136101499423,0.7600922722029988,0.6459054209919262,0.489289833580491,0.5329995908471299,0.8983358049101994,/mnt/project/VLA-AD/outputs/last_vla_v2/highcap_no_risk_navtest_eval_20260606T034658Z/eval/serverA_frozen_highcap_no_risk/top_step_00050000/metrics.json,Old high-cap/no-risk frozen-VLM Server A; deprecated by decoupled/no-residual runs.
full_navtest,no_residual_stage2_A_frozen_vlm,A_latest_pred_traj,/mnt/project/VLA-AD/outputs/last_vla_v2/no_residual_stage2_ab_A_remaining_eval_corrected_20260610T055035Z/checkpoint_snapshots/A/latest.ckpt,pred_traj,12146,12138,8,0,0.8635571035343692,-0.0013338964656307573,0.004982103534369231,0.2629713973772655,0.9816691382435327,0.9443071346185533,0.9379634206623826,0.9995880705223266,0.8139772634335497,0.9786620530565168,/mnt/project/VLA-AD/outputs/last_vla_v2/no_residual_stage2_ab_A_remaining_eval_corrected_20260610T055035Z/eval/A/A_latest_pred_traj/metrics.json,No-residual stage2: diffusion target restored to GT selected_target_norm.
