token,log,split,model,protocol,scope,tolerance_m,scenes,matched_scene,matched_groups,total_groups,high_score_groups,matched_high_score_groups,candidate_pairs,full_score_pairs
005a44fa33b55e7b,2021.10.01.13.28.54_veh-28_00094_00181,confirmation,a5_grpo_300,deployment,within_group,0.25,1,True,2,2,2,2,195,195
005a44fa33b55e7b,2021.10.01.13.28.54_veh-28_00094_00181,confirmation,a5_grpo_300,deployment,merged_two_groups,0.25,1,True,2,2,2,2,403,403
005a44fa33b55e7b,2021.10.01.13.28.54_veh-28_00094_00181,confirmation,a5_grpo_300,deployment,within_group,0.5,1,True,2,2,2,2,239,239
005a44fa33b55e7b,2021.10.01.13.28.54_veh-28_00094_00181,confirmation,a5_grpo_300,deployment,merged_two_groups,0.5,1,True,2,2,2,2,495,495
005a44fa33b55e7b,2021.10.01.13.28.54_veh-28_00094_00181,confirmation,a5_grpo_300,deployment,within_group,1.0,1,True,2,2,2,2,240,240
005a44fa33b55e7b,2021.10.01.13.28.54_veh-28_00094_00181,confirmation,a5_grpo_300,deployment,merged_two_groups,1.0,1,True,2,2,2,2,496,496
007505437ed45b53,2021.10.11.07.12.18_veh-50_00866_01534,confirmation,a5_grpo_300,deployment,within_group,0.25,1,False,0,2,0,0,0,0
007505437ed45b53,2021.10.11.07.12.18_veh-50_00866_01534,confirmation,a5_grpo_300,deployment,merged_two_groups,0.25,1,False,0,2,0,0,0,0
007505437ed45b53,2021.10.11.07.12.18_veh-50_00866_01534,confirmation,a5_grpo_300,deployment,within_group,0.5,1,False,0,2,0,0,0,0
007505437ed45b53,2021.10.11.07.12.18_veh-50_00866_01534,confirmation,a5_grpo_300,deployment,merged_two_groups,0.5,1,False,0,2,0,0,0,0
007505437ed45b53,2021.10.11.07.12.18_veh-50_00866_01534,confirmation,a5_grpo_300,deployment,within_group,1.0,1,False,0,2,0,0,0,0
007505437ed45b53,2021.10.11.07.12.18_veh-50_00866_01534,confirmation,a5_grpo_300,deployment,merged_two_groups,1.0,1,False,0,2,0,0,0,0
008a9f9434c75b99,2021.09.14.18.43.41_veh-45_00965_01195,calibration,a5_grpo_300,deployment,within_group,0.25,1,True,2,2,2,2,48,48
008a9f9434c75b99,2021.09.14.18.43.41_veh-45_00965_01195,calibration,a5_grpo_300,deployment,merged_two_groups,0.25,1,True,2,2,2,2,103,103
008a9f9434c75b99,2021.09.14.18.43.41_veh-45_00965_01195,calibration,a5_grpo_300,deployment,within_group,0.5,1,True,2,2,2,2,64,64
008a9f9434c75b99,2021.09.14.18.43.41_veh-45_00965_01195,calibration,a5_grpo_300,deployment,merged_two_groups,0.5,1,True,2,2,2,2,137,137
008a9f9434c75b99,2021.09.14.18.43.41_veh-45_00965_01195,calibration,a5_grpo_300,deployment,within_group,1.0,1,True,2,2,2,2,90,90
008a9f9434c75b99,2021.09.14.18.43.41_veh-45_00965_01195,calibration,a5_grpo_300,deployment,merged_two_groups,1.0,1,True,2,2,2,2,197,197
01034b2411ce5ea0,2021.10.11.05.34.05_veh-50_01281_01692,confirmation,a5_grpo_300,deployment,within_group,0.25,1,True,2,2,2,2,30,18
01034b2411ce5ea0,2021.10.11.05.34.05_veh-50_01281_01692,confirmation,a5_grpo_300,deployment,merged_two_groups,0.25,1,True,2,2,2,2,57,32
01034b2411ce5ea0,2021.10.11.05.34.05_veh-50_01281_01692,confirmation,a5_grpo_300,deployment,within_group,0.5,1,True,2,2,2,2,50,24
01034b2411ce5ea0,2021.10.11.05.34.05_veh-50_01281_01692,confirmation,a5_grpo_300,deployment,merged_two_groups,0.5,1,True,2,2,2,2,100,52
01034b2411ce5ea0,2021.10.11.05.34.05_veh-50_01281_01692,confirmation,a5_grpo_300,deployment,within_group,1.0,1,True,2,2,2,2,67,29
01034b2411ce5ea0,2021.10.11.05.34.05_veh-50_01281_01692,confirmation,a5_grpo_300,deployment,merged_two_groups,1.0,1,True,2,2,2,2,136,65
019cfd828c3f5b7c,2021.07.16.22.40.23_veh-38_00371_00797,calibration,a5_grpo_300,deployment,within_group,0.25,1,True,2,2,2,2,38,37
019cfd828c3f5b7c,2021.07.16.22.40.23_veh-38_00371_00797,calibration,a5_grpo_300,deployment,merged_two_groups,0.25,1,True,2,2,2,2,62,61
019cfd828c3f5b7c,2021.07.16.22.40.23_veh-38_00371_00797,calibration,a5_grpo_300,deployment,within_group,0.5,1,True,2,2,2,2,56,54
019cfd828c3f5b7c,2021.07.16.22.40.23_veh-38_00371_00797,calibration,a5_grpo_300,deployment,merged_two_groups,0.5,1,True,2,2,2,2,112,109
019cfd828c3f5b7c,2021.07.16.22.40.23_veh-38_00371_00797,calibration,a5_grpo_300,deployment,within_group,1.0,1,True,2,2,2,2,101,98
019cfd828c3f5b7c,2021.07.16.22.40.23_veh-38_00371_00797,calibration,a5_grpo_300,deployment,merged_two_groups,1.0,1,True,2,2,2,2,206,200
022fef6d66485384,2021.07.09.02.42.50_veh-35_00038_02629,calibration,a5_grpo_300,deployment,within_group,0.25,1,True,2,2,2,2,31,27
022fef6d66485384,2021.07.09.02.42.50_veh-35_00038_02629,calibration,a5_grpo_300,deployment,merged_two_groups,0.25,1,True,2,2,2,2,66,58
