model,protocol,split,metric,mean,low,high,scenes,logs
a5_grpo_300,deployment,calibration,all_infeasible,0.0078125,0.0,0.02041025426564069,256,162
a5_grpo_300,deployment,calibration,mixed_feasible,0.044921875,0.021316798614547255,0.072265625,256,162
a5_grpo_300,deployment,calibration,all_feasible,0.947265625,0.9190283400809717,0.9724409448818898,256,162
a5_grpo_300,deployment,calibration,all_full_pdms,0.4375,0.375,0.4977899542522874,256,162
a5_grpo_300,deployment,calibration,all_ep_saturated,0.458984375,0.3957508056425379,0.5177955262654597,256,162
a5_grpo_300,deployment,calibration,all_components_identical,0.4453125,0.3825907097288676,0.5059766932270916,256,162
a5_grpo_300,deployment,calibration,ep_only_components,0.484375,0.4229172548466027,0.5449266476738722,256,162
a5_grpo_300,deployment,calibration,ep_only_identical_gates,0.00390625,0.0,0.012146983311938387,256,162
a5_grpo_300,deployment,calibration,positive_mass,1.0989985466003418,0.7907596278791669,1.4251635038852692,256,162
a5_grpo_300,deployment,calibration,ep_only_strict_mass,0.0,0.0,0.0,256,162
a5_grpo_300,deployment,calibration,ep_only_components_mass,0.6764141321182251,0.5106974461972327,0.8599696906521322,256,162
a5_grpo_300,deployment,calibration,information_active,0.5234375,0.4605768067081604,0.5839710693437681,256,162
a5_grpo_300,deployment,calibration,positive_count,4.0078125,3.3765421634941375,4.609378228305785,256,162
a5_grpo_300,deployment,calibration,feasible_comparison,0.98828125,0.9728662395190634,1.0,256,162
a5_grpo_300,deployment,calibration,positive_ep_up_safety_or_comfort_down_vs_reference_count,0.0,0.0,0.0,256,162
a5_grpo_300,deployment,calibration,positive_ep_up_safety_or_comfort_down_vs_reference_mass,0.0,0.0,0.0,256,162
a5_grpo_300,deployment,calibration,positive_weighted_raw_progress_shift,0.5794267423607338,0.4487448896813084,0.7054053378098265,166,113
a5_grpo_300,deployment,calibration,positive_weighted_end_speed_shift,0.22934087315314777,0.16968174106153347,0.28608419741609153,166,113
a5_grpo_300,deployment,calibration,shadow_fixed_mass,0.39562763960710445,0.14648537696840316,0.6820555107080236,256,162
a5_grpo_300,deployment,calibration,shadow_fixed_positive_disappeared,3.2109375,2.6272868815422847,3.82864375912651,256,162
a5_grpo_300,deployment,calibration,shadow_fixed_positive_flipped,3.03515625,2.4593454454952712,3.636550498870482,256,162
a5_grpo_300,deployment,calibration,shadow_fixed_information_active,0.05078125,0.02643171806167401,0.07708639705882354,256,162
a5_grpo_300,deployment,calibration,shadow_fixed_rank_changed,0.498046875,0.4370366836301951,0.5598475481902448,256,162
a5_grpo_300,deployment,calibration,shadow_fixed_spearman,0.8848717459782456,0.8000096582610361,0.9555314441947673,26,25
a5_grpo_300,deployment,calibration,shadow_full_mass,0.806605483405292,0.3790875132209566,1.294323952274445,256,162
a5_grpo_300,deployment,calibration,shadow_full_positive_disappeared,3.2109375,2.64755356976129,3.828907263294423,256,162
a5_grpo_300,deployment,calibration,shadow_full_positive_flipped,2.734375,2.150519922011698,3.343814258658009,256,162
a5_grpo_300,deployment,calibration,shadow_full_information_active,0.05078125,0.026978230693453537,0.0764711369622476,256,162
a5_grpo_300,deployment,calibration,shadow_full_rank_changed,0.517578125,0.4550730130302347,0.5772070657662206,256,162
a5_grpo_300,deployment,calibration,shadow_full_spearman,0.823281740905288,0.7334951526067663,0.8989521676668853,26,25
