split,model,protocol,scope,tolerance_m,scenes,matched_scene,matched_groups,total_groups,high_score_groups,matched_high_score_groups,candidate_pairs,full_score_pairs,all_group_coverage,high_score_group_coverage,status,generated_candidates
calibration,a5_grpo_300,deployment,merged_two_groups,0.25,256,230.0,459.0,512.0,469.0,457.0,42011.0,31920.0,0.896484375,0.9744136460554372,MEASURED,
calibration,a5_grpo_300,deployment,merged_two_groups,0.5,256,230.0,460.0,512.0,469.0,457.0,56394.0,42537.0,0.8984375,0.9744136460554372,MEASURED,
calibration,a5_grpo_300,deployment,merged_two_groups,1.0,256,230.0,460.0,512.0,469.0,457.0,69845.0,53323.0,0.8984375,0.9744136460554372,MEASURED,
calibration,a5_grpo_300,deployment,within_group,0.25,256,230.0,452.0,512.0,469.0,452.0,20312.0,15451.0,0.8828125,0.9637526652452024,MEASURED,
calibration,a5_grpo_300,deployment,within_group,0.5,256,230.0,455.0,512.0,469.0,455.0,27294.0,20563.0,0.888671875,0.9701492537313432,MEASURED,
calibration,a5_grpo_300,deployment,within_group,1.0,256,230.0,456.0,512.0,469.0,456.0,33714.0,25699.0,0.890625,0.9722814498933902,MEASURED,
calibration,a5_grpo_300,native_grpo,merged_two_groups,0.25,256,235.0,470.0,512.0,475.0,467.0,25833.0,19588.0,0.91796875,0.983157894736842,MEASURED,
calibration,a5_grpo_300,native_grpo,merged_two_groups,0.5,256,235.0,470.0,512.0,475.0,467.0,42426.0,32735.0,0.91796875,0.983157894736842,MEASURED,
calibration,a5_grpo_300,native_grpo,merged_two_groups,1.0,256,235.0,470.0,512.0,475.0,467.0,59295.0,47132.0,0.91796875,0.983157894736842,MEASURED,
calibration,a5_grpo_300,native_grpo,within_group,0.25,256,234.0,461.0,512.0,475.0,461.0,12489.0,9478.0,0.900390625,0.9705263157894736,MEASURED,
calibration,a5_grpo_300,native_grpo,within_group,0.5,256,234.0,462.0,512.0,475.0,462.0,20558.0,15858.0,0.90234375,0.9726315789473684,MEASURED,
calibration,a5_grpo_300,native_grpo,within_group,1.0,256,234.0,463.0,512.0,475.0,463.0,28720.0,22851.0,0.904296875,0.9747368421052632,MEASURED,
calibration,a5_sft,deployment,merged_two_groups,0.25,256,142.0,281.0,512.0,293.0,281.0,62573.0,38272.0,0.548828125,0.9590443686006824,MEASURED,
calibration,a5_sft,deployment,merged_two_groups,0.5,256,142.0,282.0,512.0,293.0,281.0,64073.0,39351.0,0.55078125,0.9590443686006824,MEASURED,
calibration,a5_sft,deployment,merged_two_groups,1.0,256,142.0,283.0,512.0,293.0,281.0,64322.0,39570.0,0.552734375,0.9590443686006824,MEASURED,
calibration,a5_sft,deployment,within_group,0.25,256,142.0,280.0,512.0,293.0,280.0,30283.0,18524.0,0.546875,0.955631399317406,MEASURED,
calibration,a5_sft,deployment,within_group,0.5,256,142.0,280.0,512.0,293.0,280.0,31001.0,19041.0,0.546875,0.955631399317406,MEASURED,
calibration,a5_sft,deployment,within_group,1.0,256,142.0,280.0,512.0,293.0,280.0,31123.0,19148.0,0.546875,0.955631399317406,MEASURED,
calibration,a5_sft,native_grpo,merged_two_groups,0.25,256,159.0,314.0,512.0,328.0,306.0,35927.0,22409.0,0.61328125,0.9329268292682928,MEASURED,
calibration,a5_sft,native_grpo,merged_two_groups,0.5,256,163.0,320.0,512.0,328.0,311.0,51396.0,33104.0,0.625,0.948170731707317,MEASURED,
calibration,a5_sft,native_grpo,merged_two_groups,1.0,256,164.0,323.0,512.0,328.0,313.0,56384.0,36927.0,0.630859375,0.9542682926829268,MEASURED,
