source,split,selector,comparator,metric,mean,low,high,scenes,logs
native_within_group,calibration,A,B,evaluation_risk,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,selection_risk,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,evaluation_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,selection_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,evaluation_DAC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,selection_DAC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,evaluation_TTC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,selection_TTC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,evaluation_hard_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,selection_hard_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,nominal_PDMS,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,nominal_raw_progress,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,nominal_end_speed,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,nominal_EP,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,evaluation_raw_progress,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,evaluation_end_speed,0.0,0.0,0.0,89,73
native_within_group,calibration,A,B,evaluation_PDMS,0.0,0.0,0.0,89,73
native_within_group,calibration,C,A,evaluation_risk,-0.0038623595505617976,-0.007566038676236044,-0.0006868131868131869,89,73
native_within_group,calibration,C,A,selection_risk,-0.0038623595505617976,-0.007994186046511628,-0.00035112359550561797,89,73
native_within_group,calibration,C,A,evaluation_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,C,A,selection_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,C,A,evaluation_DAC_fail,-0.0024578651685393258,-0.0055147058823529415,0.0,89,73
native_within_group,calibration,C,A,selection_DAC_fail,-0.0031601123595505617,-0.007212271341463415,0.0,89,73
native_within_group,calibration,C,A,evaluation_TTC_fail,-0.0014044943820224719,-0.003951149425287357,0.0,89,73
native_within_group,calibration,C,A,selection_TTC_fail,-0.0007022471910112359,-0.0022058823529411764,0.0,89,73
native_within_group,calibration,C,A,evaluation_hard_fail,-0.0024578651685393258,-0.0055147058823529415,0.0,89,73
native_within_group,calibration,C,A,selection_hard_fail,-0.0031601123595505617,-0.007236942394094993,0.00035112359550561797,89,73
native_within_group,calibration,C,A,nominal_PDMS,0.0,0.0,0.0,89,73
native_within_group,calibration,C,A,nominal_raw_progress,-0.011792324427725884,-0.02709487801035844,0.0038948994152359162,89,73
native_within_group,calibration,C,A,nominal_end_speed,-0.01989967494394351,-0.040872591728172335,-0.0011888325317819654,89,73
native_within_group,calibration,C,A,nominal_EP,0.0,0.0,0.0,89,73
native_within_group,calibration,C,A,evaluation_raw_progress,-0.011705990383757947,-0.027449081842818468,0.004314279967174736,89,73
native_within_group,calibration,C,A,evaluation_end_speed,-0.019967962320286418,-0.04166951932402714,-0.0012551001207835595,89,73
native_within_group,calibration,C,A,evaluation_PDMS,0.0035658032338975105,0.0007874698334172626,0.007034286430908388,89,73
native_within_group,calibration,C,B,evaluation_risk,-0.0038623595505617976,-0.007630813953488372,-0.000744047619047619,89,73
native_within_group,calibration,C,B,selection_risk,-0.0038623595505617976,-0.007994186046511628,-0.0003433132763975152,89,73
native_within_group,calibration,C,B,evaluation_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,C,B,selection_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,C,B,evaluation_DAC_fail,-0.0024578651685393258,-0.005580650845864662,0.0,89,73
native_within_group,calibration,C,B,selection_DAC_fail,-0.0031601123595505617,-0.007153614457831325,7.584951456338273e-06,89,73
native_within_group,calibration,C,B,evaluation_TTC_fail,-0.0014044943820224719,-0.004092977335164835,0.0,89,73
native_within_group,calibration,C,B,selection_TTC_fail,-0.0007022471910112359,-0.002259036144578313,0.0,89,73
native_within_group,calibration,C,B,evaluation_hard_fail,-0.0024578651685393258,-0.005681818181818182,0.0,89,73
native_within_group,calibration,C,B,selection_hard_fail,-0.0031601123595505617,-0.007133663731011,0.0,89,73
native_within_group,calibration,C,B,nominal_PDMS,0.0,0.0,0.0,89,73
native_within_group,calibration,C,B,nominal_raw_progress,-0.011792324427725884,-0.02724593374797438,0.0041179229669089405,89,73
native_within_group,calibration,C,B,nominal_end_speed,-0.01989967494394351,-0.041464825328199714,-0.0021319345384010957,89,73
native_within_group,calibration,C,B,nominal_EP,0.0,0.0,0.0,89,73
native_within_group,calibration,C,B,evaluation_raw_progress,-0.011705990383757947,-0.027243825039137092,0.004239631259890285,89,73
native_within_group,calibration,C,B,evaluation_end_speed,-0.019967962320286418,-0.040232843458908894,-0.0019594928267598873,89,73
native_within_group,calibration,C,B,evaluation_PDMS,0.0035658032338975105,0.0008435041887239713,0.006998517644348406,89,73
native_within_group,calibration,D,A,evaluation_risk,-0.004564606741573034,-0.008102227633477633,-0.0014204545454545455,89,73
native_within_group,calibration,D,A,selection_risk,-0.006320224719101123,-0.010802840099715098,-0.002513653507053289,89,73
native_within_group,calibration,D,A,evaluation_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,D,A,selection_NC_fail,0.0,0.0,0.0,89,73
native_within_group,calibration,D,A,evaluation_DAC_fail,-0.0035112359550561797,-0.00677710843373494,-0.0007716049382716049,89,73
native_within_group,calibration,D,A,selection_DAC_fail,-0.0056179775280898875,-0.010044963567323482,-0.002130681818181818,89,73
native_within_group,calibration,D,A,evaluation_TTC_fail,-0.001053370786516854,-0.0033482142857142855,0.0,89,73
native_within_group,calibration,D,A,selection_TTC_fail,-0.0007022471910112359,-0.002232142857142857,0.0,89,73
