benchmark,split,method,stage,variant,round,metric,mean,std_across_runs,scene_bootstrap_ci_low,scene_bootstrap_ci_high,q10,cvar10,n_records,n_scenes,n_runs,run_evidence,ci_scope
NAVSIM v1,navtest,AMPT,APR,paired_anchor,,aggregate_score,0.9144969338834185,,0.9110908942471637,0.9178672499576899,0.8410068504900603,0.4665592635657527,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paired_anchor,,NC,0.9852941176470589,,0.9831108914153897,0.9873949579831933,1.0,0.9852941176470589,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paired_anchor,,DAC,0.9799802273850716,,0.9773438787279618,0.9824518042511122,1.0,0.9799802273850716,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paired_anchor,,DDC,0.9765200197726149,,0.9740484429065744,0.9788680177953535,1.0,0.9765200197726149,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paired_anchor,,TTC,0.9602076124567474,,0.956665018948756,0.9636678200692042,1.0,0.9602076124567474,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paired_anchor,,EP,0.8671810194837611,,0.8635565040609515,0.8708584131177669,0.6645836724584744,0.36735132053889186,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paired_anchor,,C,1.0,,1.0,1.0,1.0,1.0,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paper_final,3,aggregate_score,0.9145046521395536,,0.9110517132355721,0.9179941696550051,0.8408810558766538,0.46555609591123676,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paper_final,3,NC,0.9852941176470589,,0.9831108914153897,0.9873537650354259,1.0,0.9852941176470589,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paper_final,3,DAC,0.979897841489537,,0.9773438787279618,0.9823694183555776,1.0,0.979897841489537,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paper_final,3,DDC,0.9764788268248475,,0.9740484429065744,0.9788268248475861,1.0,0.9764788268248475,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paper_final,3,TTC,0.960042840665678,,0.9565826330532213,0.9635030482781348,1.0,0.960042840665678,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paper_final,3,EP,0.8674798204376025,,0.8637730798270783,0.8712031873081076,0.6649462593428953,0.36708879620097473,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
NAVSIM v1,navtest,AMPT,APR,paper_final,3,C,1.0,,1.0,1.0,1.0,1.0,12138,12138,1,insufficient,scene-level; does not replace multi-run uncertainty
